House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
Flamingo	1956	804	41.1	1152	58.9	4.05
Heany Park	2634	1115	42.33	1519	57.67	0.14
Heathmont East	1275	547	42.9	728	57.1	2.69
Heathmont High	1640	686	41.83	954	58.17	0.82
Karoo	1697	778	45.85	919	54.15	-2.28
Knox Gardens	2995	1318	44.01	1677	55.99	2
Knoxfield	3620	1818	50.22	1802	49.78	2.14
Knoxfield North	1320	633	47.95	687	52.05	2.31
Lysterfield	1114	436	39.14	678	60.86	2.77
Melbourne (Aston)	54	32	59.26	22	40.74	12.71
Morack	2336	948	40.58	1388	59.42	-0.59
Mountain Gate	3598	1842	51.2	1756	48.8	-0.64
Park Ridge	2176	990	45.5	1186	54.5	0.16
Parkmore	2500	1312	52.48	1188	47.52	2.7
Rowville	4110	1910	46.47	2200	53.53	1.6
Rowville East	2984	1393	46.68	1591	53.32	0.14
Scoresby	2605	1319	50.63	1286	49.37	0.65
Scoresby East	786	391	49.75	395	50.25	1.01
Special Hospital Team 1	113	53	46.9	60	53.1	14.23
Special Hospital Team 2	229	65	28.38	164	71.62	5.27
Studfield East	2796	1430	51.14	1366	48.86	1.7
Templeton	1384	700	50.58	684	49.42	2.98
Vermont	890	373	41.91	517	58.09	6
Wantirna	2024	956	47.23	1068	52.77	5.74
Wantirna Heights	1451	678	46.73	773	53.27	2.76
Wantirna High	3452	1460	42.29	1992	57.71	3.36
Wantirna South	2332	1021	43.78	1311	56.22	2.94
Weeden Heights	2566	1080	42.09	1486	57.91	3
ABSENT	4441	1963	44.2	2478	55.8	-
POSTAL	3496	1415	40.47	2081	59.53	-
PRE POLL	3462	1459	42.14	2003	57.86	-
PROVISIONAL	306	149	48.69	157	51.31	-
Division Total	79696	36469	45.76	43227	54.24	1.35


Ballarat						

Polling Place	Formal	CARD		RONALDSON		Swing
	Votes	(ALP)	%	(LP)	%	%
Alfredton	465	203	43.66	262	56.34	6.4
Alfredton West	2022	652	32.25	1370	67.75	1.54
Amphitheatre	219	69	31.51	150	68.49	-3.04
Ascot	137	21	15.33	116	84.67	1.87
Avoca	866	344	39.72	522	60.28	-1
Ballan	1468	736	50.14	732	49.86	3.59
Ballarat	1347	649	48.18	698	51.82	0.91
Ballarat City	556	139	25	417	75	-3.73
Ballarat North	2096	917	43.75	1179	56.25	-0.63
Ballarat North West	1185	445	37.55	740	62.45	-0.14
Ballarat South	1271	747	58.77	524	41.23	5.28
Ballarat South West	1969	943	47.89	1026	52.11	1.07
Black Hill	2195	1051	47.88	1144	52.12	-2.29
Blackwood	280	181	64.64	99	35.36	0.68
Brown Hill	1791	914	51.03	877	48.97	0.37
Bungaree	324	92	28.4	232	71.6	3.15
Buninyong	2198	1041	47.36	1157	52.64	3.4
Burrumbeet	181	48	26.52	133	73.48	0.81
Canadian	1863	1094	58.72	769	41.28	1.72
Clarkes Hill	174	44	25.29	130	74.71	4.86
Clunes	979	506	51.69	473	48.31	2.54
Concongella	246	75	30.49	171	69.51	0.31
Creswick	1558	783	50.26	775	49.74	1.45
Creswick North	409	237	57.95	172	42.05	3.35
Daylesford	1992	1145	57.48	847	42.52	4.36
Delacombe	1651	735	44.52	916	55.48	-1.94
Drummond	192	115	59.9	77	40.1	3.17
Elaine	277	114	41.16	163	58.84	4.66
Glenlyon	310	183	59.03	127	40.97	7.59
Glenorchy	166	38	22.89	128	77.11	0.87
Gordon	488	246	50.41	242	49.59	3.17
Great Western	297	126	42.42	171	57.58	1.72
Haddon	907	420	46.31	487	53.69	-2.29
Halls Gap	214	67	31.31	147	68.69	-4.94
Hepburn Springs	535	337	62.99	198	37.01	2.4
Landsborough	183	49	26.78	134	73.22	4.07
Learmonth	373	136	36.46	237	63.54	2.38
Lexton	209	104	49.76	105	50.24	7.73
Little Bendigo	134	82	61.19	52	38.81	15.48
Magpie	225	100	44.44	125	55.56	-0.66
Marnoo	158	17	10.76	141	89.24	2.63
Melbourne (Ballarat)	47	22	46.81	25	53.19	-4.01
Miners Rest	599	222	37.06	377	62.94	0.41
Moonambel	174	95	54.6	79	45.4	10.67
Mount Clear	2197	928	42.24	1269	57.76	0.55
Mount Egerton	222	148	66.67	74	33.33	14.16
Mount Pleasant	1855	1037	55.9	818	44.1	2.04
Mount Wallace	124	56	45.16	68	54.84	8.25
Napoleons	453	230	50.77	223	49.23	1.07
Natte Yallock	78	11	14.1	67	85.9	1.2
Navarre	67	13	19.4	54	80.6	3.61
Newington	512	246	48.05	266	51.95	-5.81
Newlyn	397	156	39.29	241	60.71	9.29
Redan	1800	915	50.83	885	49.17	-3.37
Redan North	741	418	56.41	323	43.59	2.06
Ross Creek	507	194	38.26	313	61.74	-2.48
Sebastopol	2882	1531	53.12	1351	46.88	-1.28
Smeaton	254	104	40.94	150	59.06	9.17
Soldiers Hill	1561	830	53.17	731	46.83	2.72
Special Hospital Team 1	166	68	40.96	98	59.04	3.11
Special Hospital Team 2	156	55	35.26	101	64.74	1.26
Special Hospital Team 3	140	68	48.57	72	51.43	8.57
Special Hospital Team 4	137	51	37.23	86	62.77	-0.43
Springbank	171	62	36.26	109	63.74	2.17
Stawell	1593	714	44.82	879	55.18	1.27
Stawell District Hospital	404	145	35.89	259	64.11	-6.41
Stawell West	1889	833	44.1	1056	55.9	0.49
Talbot	510	287	56.27	223	43.73	6.84
The Stockade	1475	794	53.83	681	46.17	1.37
Warrenheip	641	235	36.66	406	63.34	-1.51
Waubra	246	100	40.65	146	59.35	12.13
Wendouree	2123	886	41.73	1237	58.27	0.71
Wendouree East	1390	649	46.69	741	53.31	-1.27
Wendouree North	2733	1338	48.96	1395	51.04	-0.4
Wendouree West	1247	862	69.13	385	30.87	-2.69
Yandoit	135	52	38.52	83	61.48	3.99
ABSENT	3567	1647	46.17	1920	53.83	-
POSTAL	3848	1642	42.67	2206	57.33	-
PRE POLL	4366	1977	45.28	2389	54.72	-
PROVISIONAL	813	484	59.53	329	40.47	-
Division Total	76330	36050	47.23	40280	52.77	0.9


Batman						

Polling Place	Formal	FERGUSON		ROWE		Swing
	Votes	(ALP)	%	(LP)	%	%
Alphington	1254	889	70.89	365	29.11	3.43
Alphington North	1373	1028	74.87	345	25.13	5.47
Bell	1911	1498	78.39	413	21.61	5.61
Boldrewood	1828	1453	79.49	375	20.51	8.71
Burbank	1156	919	79.5	237	20.5	4.62
Croxton	1410	1162	82.41	248	17.59	6.51
Faircote	747	564	75.5	183	24.5	4.69
Fairfield	2051	1518	74.01	533	25.99	0.28
Fairfield North	1168	871	74.57	297	25.43	5.63
Keon Park	820	630	76.83	190	23.17	3.33
Kingsbury	1802	1275	70.75	527	29.25	5.41
Melbourne (Batman)	86	64	74.42	22	25.58	12.88
Merrilands	1980	1594	80.51	386	19.49	6.9
Murray	1307	994	76.05	313	23.95	7.92
Newlands	1477	1179	79.82	298	20.18	7.85
Northcote	3505	2813	80.26	692	19.74	5.35
Northcote North	1689	1340	79.34	349	20.66	6.33
Northcote South	2477	1953	78.85	524	21.15	3.42
Northcote West	847	666	78.63	181	21.37	3.27
Oakhill	1204	827	68.69	377	31.31	4.37
Preston	1213	976	80.46	237	19.54	7.86
Preston East	2306	1837	79.66	469	20.34	6.65
Preston North	634	512	80.76	122	19.24	6.56
Preston North East	1881	1601	85.11	280	14.89	4.55
Preston South	1904	1568	82.35	336	17.65	7.78
Preston West	2457	1911	77.78	546	22.22	4.37
Regent	2150	1661	77.26	489	22.74	5.92
Regent West	1184	799	67.48	385	32.52	2.64
Reservoir	1528	1125	73.63	403	26.37	6.63
Reservoir Central	2379	1767	74.27	612	25.73	6.31
Reservoir East	994	781	78.57	213	21.43	5.41
Reservoir North	2815	2124	75.45	691	24.55	3.22
Reservoir North East	1554	1200	77.22	354	22.78	5.37
Reservoir South	998	676	67.74	322	32.26	3.76
Reservoir West	1376	965	70.13	411	29.87	4.36
Ruthven	3637	2845	78.22	792	21.78	7.55
Special Hospital Team 1	470	238	50.64	232	49.36	-22.38
Thornbury	2629	2061	78.39	568	21.61	3.65
Thornbury Central	539	430	79.78	109	20.22	6.4
Thornbury East	2436	1929	79.19	507	20.81	6.94
Thornbury South	2246	1756	78.18	490	21.82	3.96
Thornbury West	562	415	73.84	147	26.16	1.56
Westgarth	1200	968	80.67	232	19.33	3.41
ABSENT	3953	2845	71.97	1108	28.03	-
POSTAL	3491	2433	69.69	1058	30.31	-
PRE POLL	3314	2399	72.39	915	27.61	-
PROVISIONAL	611	510	83.47	101	16.53	-
Division Total	80553	61569	76.43	18984	23.57	5.12


Bendigo						

Polling Place	Formal	GIBBONS		TURNER		Swing
	Votes	(ALP)	%	(LP)	%	%
Axedale	521	198	38	323	62	4
Bealiba	185	80	43.24	105	56.76	8.9
Bendigo Base Hospital	198	111	56.06	87	43.94	4.51
Bendigo Central	1924	1078	56.03	846	43.97	5.12
Bendigo East	675	369	54.67	306	45.33	6.47
Bendigo North	954	582	61.01	372	38.99	0.71
Big Hill	464	220	47.41	244	52.59	7.64
Bowenvale	230	119	51.74	111	48.26	6
Bridgewater	386	125	32.38	261	67.62	5.35
California Gully	1046	684	65.39	362	34.61	5.88
Campbells Creek	840	505	60.12	335	39.88	5.11
Carisbrook	721	351	48.68	370	51.32	3.16
Castlemaine	2664	1596	59.91	1068	40.09	4.56
Castlemaine North	1262	766	60.7	496	39.3	4.43
Central Deborah	704	401	56.96	303	43.04	6.38
Chewton	469	312	66.52	157	33.48	0.07
Comet Hill	1233	768	62.29	465	37.71	4.17
Dunolly	770	413	53.64	357	46.36	7.06
Eaglehawk	2460	1545	62.8	915	37.2	6.21
Eaglehawk North	473	291	61.52	182	38.48	5.35
Elmore	569	201	35.33	368	64.67	4.24
Elphinstone	320	176	55	144	45	6.23
Eppalock	185	77	41.62	108	58.38	2.67
Epsom	1150	542	47.13	608	52.87	6.35
Flora Hill	1902	903	47.48	999	52.52	1.82
Golden Square	2949	1674	56.77	1275	43.23	3.38
Golden Square South	984	506	51.42	478	48.58	1.8
Goornong	332	138	41.57	194	58.43	6.75
Guildford	207	126	60.87	81	39.13	8.29
Harcourt	747	396	53.01	351	46.99	6.87
Heathcote	1714	939	54.78	775	45.22	7.81
Huntly	983	477	48.52	506	51.48	7.39
Inglewood	738	330	44.72	408	55.28	4.69
Ironbark	871	538	61.77	333	38.23	2.83
Jobs Gully	1185	706	59.58	479	40.42	-0.5
Junortoun	427	206	48.24	221	51.76	6.26
Kangaroo Flat	3099	1721	55.53	1378	44.47	5.75
Kangaroo Flat South	1315	738	56.12	577	43.88	3
Kennington	1465	706	48.19	759	51.81	5.16
Korong Vale	192	85	44.27	107	55.73	5.33
Laanecoorie	161	37	22.98	124	77.02	-0.85
Lockwood	653	338	51.76	315	48.24	4.98
Long Gully	876	558	63.7	318	36.3	7.27
Maiden Gully	1237	641	51.82	596	48.18	0.19
Maldon	1235	688	55.71	547	44.29	5.37
Mandurang	388	198	51.03	190	48.97	11.32
Marong	507	256	50.49	251	49.51	6
Maryborough	2933	1650	56.26	1283	43.74	2.76
Maryborough East	1985	1228	61.86	757	38.14	1.78
Melbourne (Bendigo)	44	29	65.91	15	34.09	6.82
Newbridge	197	76	38.58	121	61.42	7.65
Newstead	633	370	58.45	263	41.55	7.83
Quarry Hill	914	536	58.64	378	41.36	4.69
Raywood	342	141	41.23	201	58.77	2.34
Redesdale	276	113	40.94	163	59.06	11.31
Sparrowhawk	618	500	80.91	118	19.09	9.1
Special Hospital Team 1	149	62	41.61	87	58.39	-0.75
Special Hospital Team 2	179	68	37.99	111	62.01	10.64
Special Hospital Team 3	161	54	33.54	107	66.46	-14.43
Special Hospital Team 4	137	69	50.36	68	49.64	2.41
Spring Gully	1584	809	51.07	775	48.93	4.9
St Laurence	217	93	42.86	124	57.14	6.4
Strath Hill	1908	761	39.88	1147	60.12	2.25
Strathdale	2347	993	42.31	1354	57.69	5.01
Strathfieldsaye	1428	642	44.96	786	55.04	2.66
Taradale	319	178	55.8	141	44.2	6.45
Tarnagulla	182	94	51.65	88	48.35	7.39
Tooborac	110	37	33.64	73	66.36	0.3
Wedderburn	774	351	45.35	423	54.65	6.15
Weeroona	2017	1156	57.31	861	42.69	3.05
White Hills	1356	743	54.79	613	45.21	9.06
Winters Flat	503	312	62.03	191	37.97	3.04
Woodvale	144	65	45.14	79	54.86	2.79
ABSENT	3147	1566	49.76	1581	50.24	-
POSTAL	3719	1910	51.36	1809	48.64	-
PRE POLL	4428	2254	50.9	2174	49.1	-
PROVISIONAL	716	451	62.99	265	37.01	-
Division Total	78037	41726	53.47	36311	46.53	4.35


Bruce						

Polling Place	Formal	GRIFFIN		WOOD		Swing
	Votes	(ALP)	%	(LP)	%	%
Albany Rise	3317	2032	61.26	1285	38.74	7.68
Brandon Park	3405	1751	51.42	1654	48.58	5.64
Brentwood	3009	1376	45.73	1633	54.27	7.11
Camelot	1519	674	44.37	845	55.63	3.43
Clareville	2177	1433	65.82	744	34.18	8.21
Dandenong North	2875	2143	74.54	732	25.46	9.35
Dandenong West (Bruce)	910	627	68.9	283	31.1	5.29
Gladeswood	2710	1576	58.15	1134	41.85	3.54
Glen Waverley Central	367	171	46.59	196	53.41	5.33
Glen Waverley Heights	1398	679	48.57	719	51.43	5.8
Glen Waverley South	1284	641	49.92	643	50.08	1.43
Harrisfield	2772	2048	73.88	724	26.12	10.57
Highvale	2169	984	45.37	1185	54.63	3.81
Jells Park	2090	704	33.68	1386	66.32	5.72
Lyndale	3934	2755	70.03	1179	29.97	6.64
Melbourne (Bruce)	49	24	48.98	25	51.02	-6.95
Monash East	1236	756	61.17	480	38.83	7.8
Mount View	4312	1503	34.86	2809	65.14	4.13
Mulgrave	1926	1128	58.57	798	41.43	5.38
Oakwood Park	1218	898	73.73	320	26.27	9.27
Pinewood (Bruce)	1138	533	46.84	605	53.16	4.53
Rosewood Downs	3048	1641	53.84	1407	46.16	4.41
Sandown Park	2100	1680	80	420	20	10.38
Silverton	3828	2745	71.71	1083	28.29	6.15
Special Hospital Team 1	20	11	55	9	45	26.43
The Glen	1967	1094	55.62	873	44.38	7.27
Waverley Meadows	2104	1089	51.76	1015	48.24	5.23
Wayburne	1057	473	44.75	584	55.25	5.02
Wheelers Hill	1514	512	33.82	1002	66.18	3.93
Wheelers Hill South	2722	1204	44.23	1518	55.77	3.78
Whiteside	1114	878	78.82	236	21.18	6.37
Wooranna Park	1969	1356	68.87	613	31.13	4.62
Yarraman Park	1455	1058	72.71	397	27.29	9.26
ABSENT	4028	2349	58.32	1679	41.68	-
POSTAL	3692	1864	50.49	1828	49.51	-
PRE POLL	3585	1792	49.99	1793	50.01	-
PROVISIONAL	411	303	73.72	108	26.28	-
Division Total	78429	44485	56.72	33944	43.28	5.96


Burke						

Polling Place	Formal	O'KEEFE		PETROVICH		Swing
	Votes	(ALP)	%	(LP)	%	%
Bacchus Marsh	3678	1950	53.02	1728	46.98	0.49
Balliang	55	10	18.18	45	81.82	-4.4
Bolinda	221	84	38.01	137	61.99	7.84
Bullengarook	330	178	53.94	152	46.06	4.74
Clarkefield	134	64	47.76	70	52.24	10.52
Coburn	3211	2176	67.77	1035	32.23	-0.94
Darley	2982	1640	55	1342	45	-1.38
Darraweit Guim	149	68	45.64	81	54.36	4.73
Deer Park	947	799	84.37	148	15.63	4.31
Deer Park Central	2408	1868	77.57	540	22.43	0.76
Deer Park West	3407	2710	79.54	697	20.46	1.97
Gisborne	2921	1299	44.47	1622	55.53	0.44
Kurunjang	1654	1113	67.29	541	32.71	0.04
Kyneton	3236	1577	48.73	1659	51.27	2.97
Lancefield	1177	544	46.22	633	53.78	2.7
Macedon	1006	535	53.18	471	46.82	4.52
Malmsbury	344	214	62.21	130	37.79	5.07
Melbourne (Burke)	57	28	49.12	29	50.88	-2.19
Melton	3727	2466	66.17	1261	33.83	1.25
Melton Central	396	234	59.09	162	40.91	-2.22
Melton South	2878	2000	69.49	878	30.51	2.1
Mount Macedon	584	254	43.49	330	56.51	1.67
Myrniong	182	103	56.59	79	43.41	1.27
New Gisborne	985	432	43.86	553	56.14	1.28
Newham	339	142	41.89	197	58.11	8.24
Riddell	1511	714	47.25	797	52.75	1.32
Rockbank	871	597	68.54	274	31.46	6.21
Romsey	1785	888	49.75	897	50.25	2.42
Rowsley	115	35	30.43	80	69.57	2.36
Special Hospital Team 1	45	17	37.78	28	62.22	4.44
Sunbury	3168	1432	45.2	1736	54.8	-0.09
Sunbury East	1442	877	60.82	565	39.18	-5.4
Sunbury Heights	1779	1029	57.84	750	42.16	-1.16
Sunbury North	2095	1041	49.69	1054	50.31	-2.7
Sunbury West	4311	2296	53.26	2015	46.74	-2.22
Toolern	310	123	39.68	187	60.32	1.42
Trentham	636	339	53.3	297	46.7	5.23
Tylden	388	171	44.07	217	55.93	-0.28
Wedge Park	1426	865	60.66	561	39.34	-5.68
Westmelton	2833	1856	65.51	977	34.49	1.08
Woodend	2595	1481	57.07	1114	42.93	1.93
ABSENT	4311	2470	57.3	1841	42.7	-
POSTAL	2411	1187	49.23	1224	50.77	-
PRE POLL	3252	1696	52.15	1556	47.85	-
PROVISIONAL	742	472	63.61	270	36.39	-
Division Total	73034	42074	57.61	30960	42.39	0.58


Calwell						

Polling Place	Formal	THEOPHANOUS		BLAKE		Swing
	Votes	(ALP)	%	(LP)	%	%
Bethal	2463	2095	85.06	368	14.94	2.32
Broadmeadows	1918	1605	83.68	313	16.32	3.77
Broadmeadows North	3736	3029	81.08	707	18.92	3.39
Bulla	298	129	43.29	169	56.71	-0.86
Campbellfield	2125	1773	83.44	352	16.56	3.06
Coolaroo	1937	1529	78.94	408	21.06	1.48
Delahey	3257	2691	82.62	566	17.38	0.84
Diggers Rest	1078	653	60.58	425	39.42	1.12
Gladstone Park	4087	2706	66.21	1381	33.79	2.17
Gladstone Views	2813	1837	65.3	976	34.7	2.59
Glenroy West	3050	2007	65.8	1043	34.2	2.35
Greenvale	4060	2294	56.5	1766	43.5	2.76
Jacana	1566	1222	78.03	344	21.97	3.05
Keilor	3673	1571	42.77	2102	57.23	1.53
Keilor Downs	2660	1826	68.65	834	31.35	1.62
Meadow Fair	1254	1054	84.05	200	15.95	4.21
Meadow Heights	4007	3321	82.88	686	17.12	2.46
Melbourne (Calwell)	70	43	61.43	27	38.57	-9.59
Melbourne Airport	152	109	71.71	43	28.29	4.82
Monmia	4009	2860	71.34	1149	28.66	-0.31
Oak Park	1966	1150	58.49	816	41.51	2.78
Roxburgh Park	2106	1533	72.79	573	27.21	0.01
Sydenham	4260	2770	65.02	1490	34.98	-0.27
Taylors Lakes	5990	3648	60.9	2342	39.1	0.7
Tullamarine	3540	2349	66.36	1191	33.64	2.84
Upfield	1584	1325	83.65	259	16.35	2.53
Westmeadows	3115	2143	68.8	972	31.2	1.06
ABSENT	3840	2466	64.22	1374	35.78	-
POSTAL	1477	887	60.05	590	39.95	-
PRE POLL	3351	2130	63.56	1221	36.44	-
PROVISIONAL	777	579	74.52	198	25.48	-
Division Total	80219	55334	68.98	24885	31.02	1.78


Casey						

Polling Place	Formal	ARMENIO		WOOLDRIDGE		Swing
	Votes	(ALP)	%	(LP)	%	%
Bayswater North	2910	1375	47.25	1535	52.75	-3.32
Bimbadeen Heights	1908	880	46.12	1028	53.88	0.98
Birmingham	3578	1720	48.07	1858	51.93	1.92
Chirnside Park	2069	848	40.99	1221	59.01	2.5
Coldstream	1320	550	41.67	770	58.33	3.39
Croydon	1322	635	48.03	687	51.97	-1.33
Croydon Central	2156	1064	49.35	1092	50.65	3.49
Croydon East	2776	1336	48.13	1440	51.87	3.88
Croydon Hills	4288	1638	38.2	2650	61.8	-0.67
Croydon North	2337	1149	49.17	1188	50.83	4.76
Croydon West	1601	776	48.47	825	51.53	1.63
Gruyere	308	80	25.97	228	74.03	5.26
Kallista (Casey)	896	507	56.58	389	43.42	6.84
Kilsyth	2414	1233	51.08	1181	48.92	2.42
Kilsyth South	1596	847	53.07	749	46.93	2.21
Lilydale	3357	1461	43.52	1896	56.48	2.05
Lilydale North	609	272	44.66	337	55.34	3.04
Lilydale West	2762	1137	41.17	1625	58.83	1.66
Manchester	1861	935	50.24	926	49.76	1.18
Melbourne (Casey)	49	28	57.14	21	42.86	13.39
Monbulk	2199	1016	46.2	1183	53.8	2.46
Montrose	3327	1565	47.04	1762	52.96	2.94
Montrose South	847	352	41.56	495	58.44	2.22
Mooroolbark	2284	1187	51.97	1097	48.03	3.43
Mooroolbark East	1898	846	44.57	1052	55.43	0.21
Mooroolbark South	2172	1088	50.09	1084	49.91	4.02
Mount Dandenong (Casey)	656	340	51.83	316	48.17	4.16
Mount Evelyn	1266	577	45.58	689	54.42	3.4
Rolling Hills	1747	670	38.35	1077	61.65	-2.82
Seville	1411	611	43.3	800	56.7	2.05
Silvan	588	208	35.37	380	64.63	3.59
Special Hospital Team 1	36	23	63.89	13	36.11	25.96
Special Hospital Team 2	407	144	35.38	263	64.62	7.4
The Patch	476	217	45.59	259	54.41	-2.16
Wandin East	259	87	33.59	172	66.41	6.86
Wandin North	1029	407	39.55	622	60.45	2.65
Wandin Yallock	526	181	34.41	345	65.59	8.54
Yarra Road	812	263	32.39	549	67.61	-7.9
ABSENT	4038	1875	46.43	2163	53.57	-
POSTAL	3291	1230	37.37	2061	62.63	-
PRE POLL	4157	1778	42.77	2379	57.23	-
PROVISIONAL	450	259	57.56	191	42.44	-
Division Total	73993	33395	45.13	40598	54.87	1.78


Chisholm						

Polling Place	Formal	BURKE		VLAHOS		Swing
	Votes	(ALP)	%	(LP)	%	%
Ashwood	3470	2006	57.81	1464	42.19	5.91
Bennettswood	2905	1582	54.46	1323	45.54	4.18
Box Hill	2006	1187	59.17	819	40.83	6.22
Box Hill Central	1626	975	59.96	651	40.04	8.77
Box Hill North	1350	744	55.11	606	44.89	4.84
Box Hill South	1652	868	52.54	784	47.46	5.37
Burwood Central	1996	1020	51.1	976	48.9	4.8
Chadstone East	2276	1504	66.08	772	33.92	6.59
Clayton	1628	1125	69.1	503	30.9	3.78
Clayton East	1456	985	67.65	471	32.35	3.14
Clayton North	2004	1347	67.22	657	32.78	4.18
Elgar Park	1742	725	41.62	1017	58.38	6.81
Essex Heights	3208	1448	45.14	1760	54.86	5
Glendal	2644	1223	46.26	1421	53.74	7.12
Huntingdale	1058	718	67.86	340	32.14	9.73
Kerrimuir	2651	1408	53.11	1243	46.89	4.61
Koonung Heights	2496	1178	47.2	1318	52.8	2.83
Manooka	1123	592	52.72	531	47.28	2.05
Melbourne (Chisholm)	68	47	69.12	21	30.88	21.29
Mont Albert	1995	797	39.95	1198	60.05	2.75
Mount Waverley	0	0	0	0	0	-33.74
Mount Waverley South	3849	1715	44.56	2134	55.44	5.46
Oakleigh	1273	843	66.22	430	33.78	2.07
Oakleigh East	1439	899	62.47	540	37.53	7.37
Oakleigh North	1722	997	57.9	725	42.1	1.14
Pinewood (Chisholm)	2232	1049	47	1183	53	3.59
Special Hospital Team 1	66	35	53.03	31	46.97	17.97
Special Hospital Team 2	53	18	33.96	35	66.04	-5.38
Special Hospital Team 3	16	12	75	4	25	17.86
Surrey Hills	1565	602	38.47	963	61.53	4.49
Sussex Heights	2184	1274	58.33	910	41.67	4.63
Syndal North	3226	1411	43.74	1815	56.26	5.8
Syndal South	2054	876	42.65	1178	57.35	4.61
Tally Ho (Chisholm)	1634	866	53	768	47	7.52
Tyne	1227	635	51.75	592	48.25	5.34
Wattle Park	2385	1270	53.25	1115	46.75	4.87
Waverley North	1191	604	50.71	587	49.29	3.53
ABSENT	4873	2392	49.09	2481	50.91	-
POSTAL	3642	1664	45.69	1978	54.31	-
PRE POLL	4158	2016	48.48	2142	51.52	-
PROVISIONAL	373	230	61.66	143	38.34	-
Division Total	78516	40887	52.07	37629	47.93	4.67


Corangamite						

Polling Place	Formal	BJORK-BILLINGS		McARTHUR		Swing
	Votes	(ALP)	%	(LP)	%	%
Aireys Inlet	521	269	51.63	252	48.37	3.68
Alvie	192	50	26.04	142	73.96	3.7
Anglesea	1361	662	48.64	699	51.36	3.94
Apollo Bay	1108	522	47.11	586	52.89	5.26
Bannockburn	1269	576	45.39	693	54.61	-0.38
Barongarook	177	74	41.81	103	58.19	-8.51
Barwon Heads	1429	790	55.28	639	44.72	4.49
Beeac	381	117	30.71	264	69.29	-0.16
Bellaire	3350	1360	40.6	1990	59.4	3.54
Bellbrae	509	229	44.99	280	55.01	3.09
Belmont	2061	998	48.42	1063	51.58	2.88
Belmont North	2444	1205	49.3	1239	50.7	5.37
Birregurra	568	233	41.02	335	58.98	2
Carlisle River	98	38	38.78	60	61.22	16.88
Ceres	488	148	30.33	340	69.67	1.9
Colac	1725	794	46.03	931	53.97	3.84
Colac East	1943	794	40.86	1149	59.14	3.7
Colac West	1809	764	42.23	1045	57.77	2.73
Collendina	2974	1573	52.89	1401	47.11	1.63
Connewarre	245	136	55.51	109	44.49	9.1
Cororooke	437	158	36.16	279	63.84	1.79
Cressy	145	34	23.45	111	76.55	10.27
Deans Marsh	245	120	48.98	125	51.02	10.23
Dereel	246	139	56.5	107	43.5	-0.46
Drysdale (Corangamite)	727	290	39.89	437	60.11	2.71
Elliminyt	1395	486	34.84	909	65.16	1.58
Forrest	293	138	47.1	155	52.9	6.83
Freshwater Creek	244	82	33.61	162	66.39	1.99
Gellibrand River	279	160	57.35	119	42.65	3.32
Grovedale	3685	1896	51.45	1789	48.55	5.36
Grovedale East	1172	499	42.58	673	57.42	-4.23
Highton	1119	405	36.19	714	63.81	1.24
Highton North	2805	1011	36.04	1794	63.96	4.52
Indented Head	356	160	44.94	196	55.06	4.99
Inverleigh	581	273	46.99	308	53.01	3.84
Irrewillipe East	150	32	21.33	118	78.67	8.21
Lavers Hill	171	67	39.18	104	60.82	3.92
Lethbridge	390	198	50.77	192	49.23	4.07
Lorne	859	391	45.52	468	54.48	5.47
Mandama	2305	1104	47.9	1201	52.1	-1.37
Melbourne (Corangamite)	50	30	60	20	40	14.72
Meredith	415	171	41.2	244	58.8	1.04
Moriac	748	265	35.43	483	64.57	3.79
Mount Duneed	459	191	41.61	268	58.39	10.58
Oberon	2007	1058	52.72	949	47.28	3.94
Oberon South	1626	805	49.51	821	50.49	2.54
Ocean Grove	2455	1229	50.06	1226	49.94	3.91
Pirron Yallock (Corangamite)	146	36	24.66	110	75.34	2.57
Point Lonsdale	1611	610	37.86	1001	62.14	4.01
Portarlington	1891	971	51.35	920	48.65	6.99
Queenscliff	819	391	47.74	428	52.26	4.46
Rokewood	205	73	35.61	132	64.39	8.01
Shelford	152	37	24.34	115	75.66	-5.72
Simpson (Corangamite)	191	13	6.81	178	93.19	-4.07
Special Hospital Team 1	88	30	34.09	58	65.91	6.07
Special Hospital Team 2	61	16	26.23	45	73.77	-
Special Hospital Team 3	65	28	43.08	37	56.92	-
St Leonards	999	574	57.46	425	42.54	8.54
Teesdale	577	331	57.37	246	42.63	1.42
Torquay	3667	1880	51.27	1787	48.73	2.13
Wallington	694	265	38.18	429	61.82	3.38
Warrion	166	55	33.13	111	66.87	6.58
Winchelsea	1064	503	47.27	561	52.73	1.39
Wiridjil (Corangamite)	118	16	13.56	102	86.44	1.06
Wurdi Boluc	151	60	39.74	91	60.26	13.42
ABSENT	4213	2023	48.02	2190	51.98	-
POSTAL	2694	1083	40.2	1611	59.8	-
PRE POLL	4496	1952	43.42	2544	56.58	-
PROVISIONAL	531	279	52.54	252	47.46	-
Division Total	74615	33950	45.5	40665	54.5	3.19


Corio						

