House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences 																																								
By Polling Place																																								
																																								
Farrer																																								
				SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			LEY			CORBETT			PATERSON			TAYLOR			GIBSON			
	FOURTH			0	0.00			Excluded		1	33.33		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					3
		TOTAL		33	2.10					553	35.22		57	3.63		17	1.08		4	0.25		238	15.16		604	38.47					26	1.66		38	2.42					1570
	FIFTH			1	25.00					0	0.00		0	0.00		1	25.00			Excluded		0	0.00		1	25.00					1	25.00		0	0.00					4
		TOTAL		34	2.17					553	35.22		57	3.63		18	1.15					238	15.16		605	38.54					27	1.72		38	2.42					1570
	SIXTH			1	5.56					6	33.33		2	11.11			Excluded					4	22.22		3	16.67					0	0.00		2	11.11					18
		TOTAL		35	2.23					559	35.61		59	3.76								242	15.41		608	38.73					27	1.72		40	2.55					1570
	SEVENTH			7	25.93					3	11.11		0	0.00								5	18.52		5	18.52						Excluded		7	25.93					27
		TOTAL		42	2.68					562	35.80		59	3.76								247	15.73		613	39.04								47	2.99					1570
	EIGHTH			9	19.15					12	25.53		7	14.89								8	17.02		11	23.40									Excluded					47
		TOTAL		51	3.25					574	36.56		66	4.20								255	16.24		624	39.75														1570
	NINTH				Excluded					24	47.06		4	7.84								16	31.37		7	13.73														51
		TOTAL								598	38.09		70	4.46								271	17.26		631	40.19														1570
	TENTH									38	54.29			Excluded								19	27.14		13	18.57														70
		TOTAL								636	40.51											290	18.47		644	41.02														1570
	ELEVENTH									214	73.79												Excluded		76	26.21														290
		TOTAL								850	54.14														720	45.86														1570
																									Elected															
																																								
Gerogery                                                       																																								
	FIRST			7	2.54		0	0.00		60	21.74		20	7.25		4	1.45		9	3.26		33	11.96		130	47.10		2	0.72		9	3.26		1	0.36		1	0.36		276
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		7	2.54		1	0.36		61	22.10		20	7.25		4	1.45		9	3.26		33	11.96		130	47.10					9	3.26		1	0.36		1	0.36		276
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1
		TOTAL		7	2.54		1	0.36		61	22.10		20	7.25		4	1.45		9	3.26		33	11.96		130	47.10					9	3.26		2	0.72					276
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		7	2.54					61	22.10		20	7.25		5	1.81		9	3.26		33	11.96		130	47.10					9	3.26		2	0.72					276
	FIFTH			0	0.00					0	0.00		3	33.33		1	11.11			Excluded		2	22.22		2	22.22					0	0.00		1	11.11					9
		TOTAL		7	2.54					61	22.10		23	8.33		6	2.17					35	12.68		132	47.83					9	3.26		3	1.09					276
	SIXTH			0	0.00					0	0.00		1	16.67			Excluded					1	16.67		1	16.67					1	16.67		2	33.33					6
		TOTAL		7	2.54					61	22.10		24	8.70								36	13.04		133	48.19					10	3.62		5	1.81					276
	SEVENTH			5	50.00					1	10.00		0	0.00								1	10.00		0	0.00						Excluded		3	30.00					10
		TOTAL		12	4.35					62	22.46		24	8.70								37	13.41		133	48.19								8	2.90					276
	EIGHTH			1	12.50					1	12.50		2	25.00								1	12.50		3	37.50									Excluded					8
		TOTAL		13	4.71					63	22.83		26	9.42								38	13.77		136	49.28														276
	NINTH				Excluded					3	23.08		1	7.69								8	61.54		1	7.69														13
		TOTAL								66	23.91		27	9.78								46	16.67		137	49.64														276
	TENTH									12	44.44			Excluded								6	22.22		9	33.33														27
		TOTAL								78	28.26											52	18.84		146	52.90														276
	ELEVENTH									41	78.85												Excluded		11	21.15														52
		TOTAL								119	43.12														157	56.88														276
																									Elected															
																																								
Glenroy                                                        																																								
	FIRST			90	4.23		10	0.47		333	15.64		133	6.25		19	0.89		32	1.50		490	23.02		868	40.77		17	0.80		103	4.84		17	0.80		17	0.80		2129
	SECOND			0	0.00		4	23.53		0	0.00		0	0.00		0	0.00		2	11.76		1	5.88		3	17.65			Excluded		3	17.65		3	17.65		1	5.88		17
		TOTAL		90	4.23		14	0.66		333	15.64		133	6.25		19	0.89		34	1.60		491	23.06		871	40.91					106	4.98		20	0.94		18	0.85		2129
	THIRD			0	0.00		2	11.11		1	5.56		1	5.56		2	11.11		0	0.00		1	5.56		1	5.56					4	22.22		6	33.33			Excluded		18
		TOTAL		90	4.23		16	0.75		334	15.69		134	6.29		21	0.99		34	1.60		492	23.11		872	40.96					110	5.17		26	1.22					2129
	FOURTH			4	25.00			Excluded		2	12.50		1	6.25		5	31.25		0	0.00		2	12.50		0	0.00					0	0.00		2	12.50					16
		TOTAL		94	4.42					336	15.78		135	6.34		26	1.22		34	1.60		494	23.20		872	40.96					110	5.17		28	1.32					2129
	FIFTH			4	11.76					12	35.29		5	14.71		1	2.94			Excluded		2	5.88		3	8.82					1	2.94		6	17.65					34
		TOTAL		98	4.60					348	16.35		140	6.58		27	1.27					496	23.30		875	41.10					111	5.21		34	1.60					2129
	SIXTH			3	11.11					9	33.33		1	3.70			Excluded					5	18.52		3	11.11					1	3.70		5	18.52					27
		TOTAL		101	4.74					357	16.77		141	6.62								501	23.53		878	41.24					112	5.26		39	1.83					2129
	SEVENTH			51	45.54					10	8.93		0	0.00								26	23.21		6	5.36						Excluded		19	16.96					112
		TOTAL		152	7.14					367	17.24		141	6.62								527	24.75		884	41.52								58	2.72					2129
	EIGHTH			16	27.59					10	17.24		10	17.24								8	13.79		14	24.14									Excluded					58
		TOTAL		168	7.89					377	17.71		151	7.09								535	25.13		898	42.18														2129
	NINTH				Excluded					55	32.74		16	9.52								58	34.52		39	23.21														168
		TOTAL								432	20.29		167	7.84								593	27.85		937	44.01														2129
	TENTH									53	31.74			Excluded								53	31.74		61	36.53														167
		TOTAL								485	22.78											646	30.34		998	46.88														2129
	ELEVENTH									464	71.83												Excluded		182	28.17														646
		TOTAL								949	44.57														1180	55.43														2129
																									Elected															
																																								
Gol Gol                                                        																																								
	FIRST			8	1.63		1	0.20		192	39.18		81	16.53		2	0.41		0	0.00		69	14.08		125	25.51		2	0.41		8	1.63		1	0.20		1	0.20		490
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		8	1.63		1	0.20		193	39.39		81	16.53		3	0.61		0	0.00		69	14.08		125	25.51					8	1.63		1	0.20		1	0.20		490
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00		0	0.00			Excluded		1
		TOTAL		8	1.63		1	0.20		193	39.39		81	16.53		3	0.61		0	0.00		69	14.08		125	25.51					9	1.84		1	0.20					490
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		8	1.63					193	39.39		81	16.53		4	0.82		0	0.00		69	14.08		125	25.51					9	1.84		1	0.20					490
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		8	1.63					193	39.39		81	16.53		4	0.82					69	14.08		125	25.51					9	1.84		1	0.20					490
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					1	25.00		1	25.00					0	0.00		2	50.00					4
		TOTAL		8	1.63					193	39.39		81	16.53								70	14.29		126	25.71					9	1.84		3	0.61					490
	SEVENTH			4	44.44					0	0.00		0	0.00								0	0.00		3	33.33						Excluded		2	22.22					9
		TOTAL		12	2.45					193	39.39		81	16.53								70	14.29		129	26.33								5	1.02					490
	EIGHTH			0	0.00					1	20.00		0	0.00								3	60.00		1	20.00									Excluded					5
		TOTAL		12	2.45					194	39.59		81	16.53								73	14.90		130	26.53														490
	NINTH				Excluded					4	33.33		1	8.33								6	50.00		1	8.33														12
		TOTAL								198	40.41		82	16.73								79	16.12		131	26.73														490
	TENTH									20	24.39			Excluded								8	9.76		54	65.85														82
		TOTAL								218	44.49											87	17.76		185	37.76														490
	ELEVENTH									65	74.71												Excluded		22	25.29														87
		TOTAL								283	57.76														207	42.24														490
																									Elected															
																																								
Hatfield                                                       																																								
	FIRST			0	0.00		0	0.00		28	68.29		1	2.44		0	0.00		0	0.00		2	4.88		10	24.39		0	0.00		0	0.00		0	0.00		0	0.00		41
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		28	68.29		1	2.44		0	0.00		0	0.00		2	4.88		10	24.39					0	0.00		0	0.00		0	0.00		41
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		0	0.00		28	68.29		1	2.44		0	0.00		0	0.00		2	4.88		10	24.39					0	0.00		0	0.00					41
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					28	68.29		1	2.44		0	0.00		0	0.00		2	4.88		10	24.39					0	0.00		0	0.00					41
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					28	68.29		1	2.44		0	0.00					2	4.88		10	24.39					0	0.00		0	0.00					41
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					28	68.29		1	2.44								2	4.88		10	24.39					0	0.00		0	0.00					41
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		0	0.00					28	68.29		1	2.44								2	4.88		10	24.39								0	0.00					41
	EIGHTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00									Excluded					0
		TOTAL		0	0.00					28	68.29		1	2.44								2	4.88		10	24.39														41
	NINTH				Excluded					0	0.00		0	0.00								0	0.00		0	0.00														0
		TOTAL								28	68.29		1	2.44								2	4.88		10	24.39														41
	TENTH									0	0.00			Excluded								0	0.00		1	100.00														1
		TOTAL								28	68.29											2	4.88		11	26.83														41
	ELEVENTH									2	100.00												Excluded		0	0.00														2
		TOTAL								30	73.17														11	26.83														41
																									Elected															
																																								
Henty                                                          																																								
	FIRST			17	2.34		1	0.14		241	33.15		55	7.57		9	1.24		5	0.69		121	16.64		258	35.49		1	0.14		7	0.96		6	0.83		6	0.83		727
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		17	2.34		1	0.14		241	33.15		55	7.57		9	1.24		5	0.69		121	16.64		258	35.49					7	0.96		7	0.96		6	0.83		727
	THIRD			0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	33.33		3	50.00			Excluded		6
		TOTAL		17	2.34		2	0.28		241	33.15		55	7.57		9	1.24		5	0.69		121	16.64		258	35.49					9	1.24		10	1.38					727
	FOURTH			0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	50.00		0	0.00					2
		TOTAL		17	2.34					242	33.29		55	7.57		9	1.24		5	0.69		121	16.64		258	35.49					10	1.38		10	1.38					727
	FIFTH			1	20.00					0	0.00		3	60.00		0	0.00			Excluded		1	20.00		0	0.00					0	0.00		0	0.00					5
		TOTAL		18	2.48					242	33.29		58	7.98		9	1.24					122	16.78		258	35.49					10	1.38		10	1.38					727
	SIXTH			0	0.00					2	22.22		0	0.00			Excluded					0	0.00		2	22.22					0	0.00		5	55.56					9
		TOTAL		18	2.48					244	33.56		58	7.98								122	16.78		260	35.76					10	1.38		15	2.06					727
	SEVENTH			3	30.00					0	0.00		0	0.00								4	40.00		1	10.00						Excluded		2	20.00					10
		TOTAL		21	2.89					244	33.56		58	7.98								126	17.33		261	35.90								17	2.34					727
	EIGHTH			4	23.53					2	11.76		6	35.29								3	17.65		2	11.76									Excluded					17
		TOTAL		25	3.44					246	33.84		64	8.80								129	17.74		263	36.18														727
	NINTH				Excluded					9	36.00		6	24.00								5	20.00		5	20.00														25
		TOTAL								255	35.08		70	9.63								134	18.43		268	36.86														727
	TENTH									30	42.86			Excluded								20	28.57		20	28.57														70
		TOTAL								285	39.20											154	21.18		288	39.61														727
	ELEVENTH									113	73.38												Excluded		41	26.62														154
		TOTAL								398	54.75														329	45.25														727
																									Elected															
																																								
Holbrook                                                       																																								
	FIRST			23	2.05		4	0.36		283	25.18		67	5.96		18	1.60		14	1.25		234	20.82		458	40.75		3	0.27		12	1.07		7	0.62		1	0.09		1124
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00		0	0.00		0	0.00		3
		TOTAL		23	2.05		4	0.36		283	25.18		67	5.96		18	1.60		14	1.25		234	20.82		461	41.01					12	1.07		7	0.62		1	0.09		1124
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1
		TOTAL		23	2.05		4	0.36		283	25.18		67	5.96		18	1.60		14	1.25		234	20.82		461	41.01					12	1.07		8	0.71					1124
	FOURTH			2	50.00			Excluded		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00					0	0.00		1	25.00					4
		TOTAL		25	2.22					283	25.18		67	5.96		19	1.69		14	1.25		234	20.82		461	41.01					12	1.07		9	0.80					1124
	FIFTH			3	21.43					3	21.43		1	7.14		2	14.29			Excluded		2	14.29		1	7.14					0	0.00		2	14.29					14
		TOTAL		28	2.49					286	25.44		68	6.05		21	1.87					236	21.00		462	41.10					12	1.07		11	0.98					1124
	SIXTH			1	4.76					2	9.52		4	19.05			Excluded					6	28.57		1	4.76					3	14.29		4	19.05					21
		TOTAL		29	2.58					288	25.62		72	6.41								242	21.53		463	41.19					15	1.33		15	1.33					1124
	SEVENTH			6	40.00					1	6.67		2	13.33								2	13.33		2	13.33						Excluded		2	13.33					15
		TOTAL		35	3.11					289	25.71		74	6.58								244	21.71		465	41.37								17	1.51					1124
	EIGHTH			4	23.53					2	11.76		3	17.65								4	23.53		4	23.53									Excluded					17
		TOTAL		39	3.47					291	25.89		77	6.85								248	22.06		469	41.73														1124
	NINTH				Excluded					16	41.03		2	5.13								17	43.59		4	10.26														39
		TOTAL								307	27.31		79	7.03								265	23.58		473	42.08														1124
	TENTH									22	27.85			Excluded								29	36.71		28	35.44														79
		TOTAL								329	29.27											294	26.16		501	44.57														1124
	ELEVENTH									223	75.85												Excluded		71	24.15														294
		TOTAL								552	49.11														572	50.89														1124
																									Elected															
																																								
Howlong                                                        																																								
	FIRST			50	3.80		7	0.53		253	19.24		70	5.32		11	0.84		26	1.98		353	26.84		477	36.27		12	0.91		27	2.05		17	1.29		12	0.91		1315
	SECOND			0	0.00		3	25.00		1	8.33		0	0.00		2	16.67		0	0.00		2	16.67		1	8.33			Excluded		1	8.33		2	16.67		0	0.00		12
		TOTAL		50	3.80		10	0.76		254	19.32		70	5.32		13	0.99		26	1.98		355	27.00		478	36.35					28	2.13		19	1.44		12	0.91		1315
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	8.33		0	0.00		0	0.00		1	8.33					1	8.33		9	75.00			Excluded		12
		TOTAL		50	3.80		10	0.76		254	19.32		70	5.32		14	1.06		26	1.98		355	27.00		479	36.43					29	2.21		28	2.13					1315
	FOURTH			1	10.00			Excluded		1	10.00		1	10.00		6	60.00		0	0.00		0	0.00		0	0.00					0	0.00		1	10.00					10
		TOTAL		51	3.88					255	19.39		71	5.40		20	1.52		26	1.98		355	27.00		479	36.43					29	2.21		29	2.21					1315
	FIFTH			3	11.54					6	23.08		3	11.54		3	11.54			Excluded		5	19.23		4	15.38					1	3.85		1	3.85					26
		TOTAL		54	4.11					261	19.85		74	5.63		23	1.75					360	27.38		483	36.73					30	2.28		30	2.28					1315
	SIXTH			2	8.70					1	4.35		4	17.39			Excluded					1	4.35		1	4.35					0	0.00		14	60.87					23
		TOTAL		56	4.26					262	19.92		78	5.93								361	27.45		484	36.81					30	2.28		44	3.35					1315
	SEVENTH			15	50.00					5	16.67		1	3.33								2	6.67		3	10.00						Excluded		4	13.33					30
		TOTAL		71	5.40					267	20.30		79	6.01								363	27.60		487	37.03								48	3.65					1315
	EIGHTH			12	25.00					9	18.75		14	29.17								8	16.67		5	10.42									Excluded					48
		TOTAL		83	6.31					276	20.99		93	7.07								371	28.21		492	37.41														1315
	NINTH				Excluded					32	38.55		8	9.64								37	44.58		6	7.23														83
		TOTAL								308	23.42		101	7.68								408	31.03		498	37.87														1315
	TENTH									35	34.65			Excluded								30	29.70		36	35.64														101
		TOTAL								343	26.08											438	33.31		534	40.61														1315
	ELEVENTH									353	80.59												Excluded		85	19.41														438
		TOTAL								696	52.93														619	47.07														1315
																									Elected															
																																								
Hume                                                           																																								
	FIRST			38	2.65		11	0.77		209	14.59		69	4.82		22	1.54		18	1.26		365	25.49		618	43.16		9	0.63		47	3.28		19	1.33		7	0.49		1432
	SECOND			0	0.00		1	11.11		1	11.11		0	0.00		0	0.00		0	0.00		1	11.11		3	33.33			Excluded		2	22.22		1	11.11		0	0.00		9
		TOTAL		38	2.65		12	0.84		210	14.66		69	4.82		22	1.54		18	1.26		366	25.56		621	43.37					49	3.42		20	1.40		7	0.49		1432
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	28.57					1	14.29		4	57.14			Excluded		7
		TOTAL		38	2.65		12	0.84		210	14.66		69	4.82		22	1.54		18	1.26		366	25.56		623	43.51					50	3.49		24	1.68					1432
	FOURTH			0	0.00			Excluded		4	33.33		0	0.00		4	33.33		0	0.00		0	0.00		1	8.33					1	8.33		2	16.67					12
		TOTAL		38	2.65					214	14.94		69	4.82		26	1.82		18	1.26		366	25.56		624	43.58					51	3.56		26	1.82					1432
	FIFTH			3	16.67					4	22.22		1	5.56		1	5.56			Excluded		0	0.00		5	27.78					2	11.11		2	11.11					18
		TOTAL		41	2.86					218	15.22		70	4.89		27	1.89					366	25.56		629	43.92					53	3.70		28	1.96					1432
	SIXTH			2	7.41					5	18.52		2	7.41			Excluded					2	7.41		4	14.81					1	3.70		11	40.74					27
		TOTAL		43	3.00					223	15.57		72	5.03								368	25.70		633	44.20					54	3.77		39	2.72					1432
	SEVENTH			16	29.63					6	11.11		2	3.70								11	20.37		6	11.11						Excluded		13	24.07					54
		TOTAL		59	4.12					229	15.99		74	5.17								379	26.47		639	44.62								52	3.63					1432
	EIGHTH			14	26.92					10	19.23		7	13.46								7	13.46		14	26.92									Excluded					52
		TOTAL		73	5.10					239	16.69		81	5.66								386	26.96		653	45.60														1432
