House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
		TOTAL					95	9.42					97	9.61								574	56.89		243	24.08								1009	
	EIGHTH							Excluded					47	49.47								31	32.63		17	17.89								95	
		TOTAL											144	14.27								605	59.96		260	25.77								1009	
	NINTH													Excluded								61	42.36		83	57.64								144	
		TOTAL																				666	66.01		343	33.99								1009	
																						Elected													
																																			
Gunnedah South                                                 																																			
	FIRST			8	0.77		88	8.50		7	0.68		56	5.41		7	0.68		8	0.77		644	62.22		193	18.65		2	0.19		22	2.13		1035	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		8	0.77		88	8.50		7	0.68		56	5.41		7	0.68		8	0.77		645	62.32		194	18.74					22	2.13		1035	
	THIRD			0	0.00		2	25.00		1	12.50		2	25.00		0	0.00			Excluded		2	25.00		1	12.50					0	0.00		8	
		TOTAL		8	0.77		90	8.70		8	0.77		58	5.60		7	0.68					647	62.51		195	18.84					22	2.13		1035	
	FOURTH				Excluded		4	50.00		1	12.50		0	0.00		0	0.00					0	0.00		0	0.00					3	37.50		8	
		TOTAL					94	9.08		9	0.87		58	5.60		7	0.68					647	62.51		195	18.84					25	2.42		1035	
	FIFTH						3	33.33			Excluded		2	22.22		3	33.33					0	0.00		1	11.11					0	0.00		9	
		TOTAL					97	9.37					60	5.80		10	0.97					647	62.51		196	18.94					25	2.42		1035	
	SIXTH						9	36.00					6	24.00		0	0.00					4	16.00		6	24.00						Excluded		25	
		TOTAL					106	10.24					66	6.38		10	0.97					651	62.90		202	19.52								1035	
	SEVENTH						3	30.00					1	10.00			Excluded					2	20.00		4	40.00								10	
		TOTAL					109	10.53					67	6.47								653	63.09		206	19.90								1035	
	EIGHTH							Excluded					41	37.61								30	27.52		38	34.86								109	
		TOTAL											108	10.43								683	65.99		244	23.57								1035	
	NINTH													Excluded								38	35.19		70	64.81								108	
		TOTAL																				721	69.66		314	30.34								1035	
																						Elected													
																																			
Gurley                                                         																																			
	FIRST			2	1.87		3	2.80		1	0.93		11	10.28		1	0.93		2	1.87		77	71.96		3	2.80		1	0.93		6	5.61		107	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		2	1.87		3	2.80		1	0.93		11	10.28		1	0.93		2	1.87		77	71.96		3	2.80					7	6.54		107	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00					1	50.00		2	
		TOTAL		2	1.87		3	2.80		1	0.93		12	11.21		1	0.93					77	71.96		3	2.80					8	7.48		107	
	FOURTH				Excluded		0	0.00		1	50.00		0	0.00		0	0.00					0	0.00		0	0.00					1	50.00		2	
		TOTAL					3	2.80		2	1.87		12	11.21		1	0.93					77	71.96		3	2.80					9	8.41		107	
	FIFTH						2	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					5	4.67					12	11.21		1	0.93					77	71.96		3	2.80					9	8.41		107	
	SIXTH						2	22.22					2	22.22		0	0.00					2	22.22		3	33.33						Excluded		9	
		TOTAL					7	6.54					14	13.08		1	0.93					79	73.83		6	5.61								107	
	SEVENTH						0	0.00					0	0.00			Excluded					1	100.00		0	0.00								1	
		TOTAL					7	6.54					14	13.08								80	74.77		6	5.61								107	
	EIGHTH							Excluded					2	28.57								2	28.57		3	42.86								7	
		TOTAL											16	14.95								82	76.64		9	8.41								107	
	NINTH													Excluded								10	62.50		6	37.50								16	
		TOTAL																				92	85.98		15	14.02								107	
																						Elected													
																																			
Gwabegar                                                       																																			
	FIRST			2	1.57		5	3.94		1	0.79		28	22.05		0	0.00		0	0.00		60	47.24		27	21.26		1	0.79		3	2.36		127	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	1.57		5	3.94		1	0.79		28	22.05		0	0.00		0	0.00		61	48.03		27	21.26					3	2.36		127	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.57		5	3.94		1	0.79		28	22.05		0	0.00					61	48.03		27	21.26					3	2.36		127	
	FOURTH				Excluded		1	50.00		1	50.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					6	4.72		2	1.57		28	22.05		0	0.00					61	48.03		27	21.26					3	2.36		127	
	FIFTH						1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					1	50.00		2	
		TOTAL					7	5.51					28	22.05		0	0.00					61	48.03		27	21.26					4	3.15		127	
	SIXTH						1	25.00					0	0.00		0	0.00					2	50.00		1	25.00						Excluded		4	
		TOTAL					8	6.30					28	22.05		0	0.00					63	49.61		28	22.05								127	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					8	6.30					28	22.05								63	49.61		28	22.05								127	
	EIGHTH							Excluded					6	75.00								0	0.00		2	25.00								8	
		TOTAL											34	26.77								63	49.61		30	23.62								127	
	NINTH													Excluded								20	58.82		14	41.18								34	
		TOTAL																				83	65.35		44	34.65								127	
																						Elected													
																																			
Hargraves                                                      																																			
	FIRST			2	0.98		26	12.75		1	0.49		38	18.63		2	0.98		1	0.49		108	52.94		25	12.25		0	0.00		1	0.49		204	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	0.98		26	12.75		1	0.49		38	18.63		2	0.98		1	0.49		108	52.94		25	12.25					1	0.49		204	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		2	0.98		26	12.75		1	0.49		38	18.63		2	0.98					109	53.43		25	12.25					1	0.49		204	
	FOURTH				Excluded		1	50.00		0	0.00		0	0.00		1	50.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					27	13.24		1	0.49		38	18.63		3	1.47					109	53.43		25	12.25					1	0.49		204	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00		1	
		TOTAL					27	13.24					38	18.63		3	1.47					109	53.43		26	12.75					1	0.49		204	
	SIXTH						1	100.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		1	
		TOTAL					28	13.73					38	18.63		3	1.47					109	53.43		26	12.75								204	
	SEVENTH						1	33.33					1	33.33			Excluded					1	33.33		0	0.00								3	
		TOTAL					29	14.22					39	19.12								110	53.92		26	12.75								204	
	EIGHTH							Excluded					3	10.34								7	24.14		19	65.52								29	
		TOTAL											42	20.59								117	57.35		45	22.06								204	
	NINTH													Excluded								16	38.10		26	61.90								42	
		TOTAL																				133	65.20		71	34.80								204	
																						Elected													
																																			
Ilford                                                         																																			
	FIRST			1	0.51		27	13.78		2	1.02		36	18.37		11	5.61		2	1.02		94	47.96		21	10.71		1	0.51		1	0.51		196	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.51		28	14.29		2	1.02		36	18.37		11	5.61		2	1.02		94	47.96		21	10.71					1	0.51		196	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00					0	0.00		2	
		TOTAL		1	0.51		28	14.29		2	1.02		36	18.37		11	5.61					95	48.47		22	11.22					1	0.51		196	
	FOURTH				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					29	14.80		2	1.02		36	18.37		11	5.61					95	48.47		22	11.22					1	0.51		196	
	FIFTH						2	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					31	15.82					36	18.37		11	5.61					95	48.47		22	11.22					1	0.51		196	
	SIXTH						1	100.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		1	
		TOTAL					32	16.33					36	18.37		11	5.61					95	48.47		22	11.22								196	
	SEVENTH						6	54.55					2	18.18			Excluded					1	9.09		2	18.18								11	
		TOTAL					38	19.39					38	19.39								96	48.98		24	12.24								196	
	EIGHTH							Excluded					13	34.21								14	36.84		11	28.95								38	
		TOTAL											51	26.02								110	56.12		35	17.86								196	
	NINTH													Excluded								23	45.10		28	54.90								51	
		TOTAL																				133	67.86		63	32.14								196	
																						Elected													
																																			
Kandos                                                         																																			
	FIRST			17	1.77		104	10.86		11	1.15		122	12.73		20	2.09		14	1.46		190	19.83		465	48.54		8	0.84		7	0.73		958	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		3	37.50		1	12.50		0	0.00		1	12.50			Excluded		3	37.50		8	
		TOTAL		17	1.77		104	10.86		11	1.15		122	12.73		23	2.40		15	1.57		190	19.83		466	48.64					10	1.04		958	
	THIRD			1	6.67		1	6.67		1	6.67		0	0.00		2	13.33			Excluded		5	33.33		2	13.33					3	20.00		15	
		TOTAL		18	1.88		105	10.96		12	1.25		122	12.73		25	2.61					195	20.35		468	48.85					13	1.36		958	
	FOURTH				Excluded		10	55.56		6	33.33		1	5.56		1	5.56					0	0.00		0	0.00					0	0.00		18	
		TOTAL					115	12.00		18	1.88		123	12.84		26	2.71					195	20.35		468	48.85					13	1.36		958	
	FIFTH						6	33.33			Excluded		3	16.67		5	27.78					0	0.00		2	11.11					2	11.11		18	
		TOTAL					121	12.63					126	13.15		31	3.24					195	20.35		470	49.06					15	1.57		958	
	SIXTH						3	20.00					1	6.67		1	6.67					3	20.00		7	46.67						Excluded		15	
		TOTAL					124	12.94					127	13.26		32	3.34					198	20.67		477	49.79								958	
	SEVENTH						11	34.38					7	21.88			Excluded					4	12.50		10	31.25								32	
		TOTAL					135	14.09					134	13.99								202	21.09		487	50.84								958	
	EIGHTH							Excluded					51	37.78								37	27.41		47	34.81								135	
		TOTAL											185	19.31								239	24.95		534	55.74								958	
	NINTH													Excluded								85	45.95		100	54.05								185	
		TOTAL																				324	33.82		634	66.18								958	
																						Elected													
																																			
Kelvin                                                         																																			
	FIRST			2	1.48		12	8.89		3	2.22		7	5.19		4	2.96		1	0.74		93	68.89		8	5.93		0	0.00		5	3.70		135	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.48		12	8.89		3	2.22		7	5.19		4	2.96		1	0.74		93	68.89		8	5.93					5	3.70		135	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		2	1.48		13	9.63		3	2.22		7	5.19		4	2.96					93	68.89		8	5.93					5	3.70		135	
	FOURTH				Excluded		0	0.00		0	0.00		2	100.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					13	9.63		3	2.22		9	6.67		4	2.96					93	68.89		8	5.93					5	3.70		135	
	FIFTH						1	33.33			Excluded		0	0.00		1	33.33					0	0.00		1	33.33					0	0.00		3	
		TOTAL					14	10.37					9	6.67		5	3.70					93	68.89		9	6.67					5	3.70		135	
	SIXTH						0	0.00					0	0.00		0	0.00					3	60.00		2	40.00						Excluded		5	
		TOTAL					14	10.37					9	6.67		5	3.70					96	71.11		11	8.15								135	
	SEVENTH						0	0.00					0	0.00			Excluded					2	40.00		3	60.00								5	
		TOTAL					14	10.37					9	6.67								98	72.59		14	10.37								135	
	EIGHTH							Excluded					10	71.43								4	28.57		0	0.00								14	
		TOTAL											19	14.07								102	75.56		14	10.37								135	
	NINTH													Excluded								13	68.42		6	31.58								19	
		TOTAL																				115	85.19		20	14.81								135	
																						Elected													
																																			
Leadville                                                      																																			
	FIRST			0	0.00		3	2.68		0	0.00		14	12.50		0	0.00		0	0.00		66	58.93		27	24.11		0	0.00		2	1.79		112	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		3	2.68		0	0.00		14	12.50		0	0.00		0	0.00		66	58.93		27	24.11					2	1.79		112	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		3	2.68		0	0.00		14	12.50		0	0.00					66	58.93		27	24.11					2	1.79		112	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					3	2.68		0	0.00		14	12.50		0	0.00					66	58.93		27	24.11					2	1.79		112	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					3	2.68					14	12.50		0	0.00					66	58.93		27	24.11					2	1.79		112	
	SIXTH						1	50.00					1	50.00		0	0.00					0	0.00		0	0.00						Excluded		2	
		TOTAL					4	3.57					15	13.39		0	0.00					66	58.93		27	24.11								112	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					4	3.57					15	13.39								66	58.93		27	24.11								112	
	EIGHTH							Excluded					1	25.00								2	50.00		1	25.00								4	
		TOTAL											16	14.29								68	60.71		28	25.00								112	
	NINTH													Excluded								6	37.50		10	62.50								16	
		TOTAL																				74	66.07		38	33.93								112	
																						Elected													
																																			
Lightning Ridge                                                																																			
	FIRST			50	3.90		64	4.99		38	2.96		258	20.11		28	2.18		31	2.42		465	36.24		337	26.27		5	0.39		7	0.55		1283	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00			Excluded		4	80.00		5	
		TOTAL		50	3.90		64	4.99		38	2.96		258	20.11		28	2.18		31	2.42		465	36.24		338	26.34					11	0.86		1283	
	THIRD			0	0.00		8	25.81		1	3.23		4	12.90		9	29.03			Excluded		6	19.35		2	6.45					1	3.23		31	
		TOTAL		50	3.90		72	5.61		39	3.04		262	20.42		37	2.88					471	36.71		340	26.50					12	0.94		1283	
	FOURTH				Excluded		24	48.00		5	10.00		5	10.00		2	4.00					4	8.00		1	2.00					9	18.00		50	
		TOTAL					96	7.48		44	3.43		267	20.81		39	3.04					475	37.02		341	26.58					21	1.64		1283	
	FIFTH						19	43.18			Excluded		6	13.64		8	18.18					8	18.18		2	4.55					1	2.27		44	
		TOTAL					115	8.96					273	21.28		47	3.66					483	37.65		343	26.73					22	1.71		1283	
	SIXTH						6	27.27					7	31.82		1	4.55					3	13.64		5	22.73						Excluded		22	
		TOTAL					121	9.43					280	21.82		48	3.74					486	37.88		348	27.12								1283	
	SEVENTH						10	20.83					14	29.17			Excluded					10	20.83		14	29.17								48	
		TOTAL					131	10.21					294	22.92								496	38.66		362	28.22								1283	
	EIGHTH							Excluded					64	48.85								34	25.95		33	25.19								131	
		TOTAL											358	27.90								530	41.31		395	30.79								1283	
	NINTH													Excluded								177	49.44		181	50.56								358	
		TOTAL																				707	55.11		576	44.89								1283	
																						Elected													
																																			
Louth                                                          																																			
	FIRST			2	4.08		3	6.12		3	6.12		6	12.24		0	0.00		2	4.08		29	59.18		4	8.16		0	0.00		0	0.00		49	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	4.08		3	6.12		3	6.12		6	12.24		0	0.00		2	4.08		29	59.18		4	8.16					0	0.00		49	
	THIRD			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		3	6.12		4	8.16		3	6.12		6	12.24		0	0.00					29	59.18		4	8.16					0	0.00		49	
	FOURTH				Excluded		1	33.33		0	0.00		1	33.33		1	33.33					0	0.00		0	0.00					0	0.00		3	
		TOTAL					5	10.20		3	6.12		7	14.29		1	2.04					29	59.18		4	8.16					0	0.00		49	
	FIFTH						0	0.00			Excluded		2	66.67		1	33.33					0	0.00		0	0.00					0	0.00		3	
		TOTAL					5	10.20					9	18.37		2	4.08					29	59.18		4	8.16					0	0.00		49	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					5	10.20					9	18.37		2	4.08					29	59.18		4	8.16								49	
	SEVENTH						0	0.00					1	50.00			Excluded					1	50.00		0	0.00								2	
		TOTAL					5	10.20					10	20.41								30	61.22		4	8.16								49	
	EIGHTH							Excluded					2	40.00								2	40.00		1	20.00								5	
		TOTAL											12	24.49								32	65.31		5	10.20								49	
	NINTH													Excluded								7	58.33		5	41.67								12	
		TOTAL																				39	79.59		10	20.41								49	
																						Elected													
																																			
Lue                                                            																																			
	FIRST			1	0.68		16	10.96		6	4.11		19	13.01		5	3.42		3	2.05		76	52.05		20	13.70		0	0.00		0	0.00		146	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.68		16	10.96		6	4.11		19	13.01		5	3.42		3	2.05		76	52.05		20	13.70					0	0.00		146	
	THIRD			0	0.00		0	0.00		0	0.00		2	66.67		0	0.00			Excluded		1	33.33		0	0.00					0	0.00		3	
		TOTAL		1	0.68		16	10.96		6	4.11		21	14.38		5	3.42					77	52.74		20	13.70					0	0.00		146	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	100.00		1	
		TOTAL					16	10.96		6	4.11		21	14.38		5	3.42					77	52.74		20	13.70					1	0.68		146	
	FIFTH						1	16.67			Excluded		0	0.00		1	16.67					0	0.00		4	66.67					0	0.00		6	
		TOTAL					17	11.64					21	14.38		6	4.11					77	52.74		24	16.44					1	0.68		146	
	SIXTH						0	0.00					1	100.00		0	0.00					0	0.00		0	0.00						Excluded		1	
		TOTAL					17	11.64					22	15.07		6	4.11					77	52.74		24	16.44								146	
	SEVENTH						2	33.33					1	16.67			Excluded					1	16.67		2	33.33								6	
		TOTAL					19	13.01					23	15.75								78	53.42		26	17.81								146	
	EIGHTH							Excluded					7	36.84								4	21.05		8	42.11								19	
		TOTAL											30	20.55								82	56.16		34	23.29								146	
	NINTH													Excluded								16	53.33		14	46.67								30	
		TOTAL																				98	67.12		48	32.88								146	
																						Elected													
																																			
Mendooran                                                      																																			
	FIRST			3	0.67		19	4.22		2	0.44		61	13.56		2	0.44		7	1.56		228	50.67		121	26.89		2	0.44		5	1.11		450	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		3	0.67		19	4.22		2	0.44		61	13.56		2	0.44		7	1.56		229	50.89		121	26.89					6	1.33		450	
	THIRD			1	14.29		1	14.29		1	14.29		2	28.57		1	14.29			Excluded		1	14.29		0	0.00					0	0.00		7	
		TOTAL		4	0.89		20	4.44		3	0.67		63	14.00		3	0.67					230	51.11		121	26.89					6	1.33		450	
	FOURTH				Excluded		4	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		4	
		TOTAL					24	5.33		3	0.67		63	14.00		3	0.67					230	51.11		121	26.89					6	1.33		450	
	FIFTH						0	0.00			Excluded		0	0.00		1	33.33					0	0.00		1	33.33					1	33.33		3	
		TOTAL					24	5.33					63	14.00		4	0.89					230	51.11		122	27.11					7	1.56		450	
	SIXTH						1	14.29					0	0.00		1	14.29					2	28.57		3	42.86						Excluded		7	
		TOTAL					25	5.56					63	14.00		5	1.11					232	51.56		125	27.78								450	
	SEVENTH						1	20.00					2	40.00			Excluded					1	20.00		1	20.00								5	
		TOTAL					26	5.78					65	14.44								233	51.78		126	28.00								450	
	EIGHTH							Excluded					10	38.46								9	34.62		7	26.92								26	
