House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
	FIRST			13	1.02		27	2.11		1	0.08		2	0.16		30	2.35		19	1.49		29	2.27		450	35.21		41	3.21		588	46.01		4	0.31		74	5.79		1278	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		0	0.00		0	0.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		13	1.02		28	2.19		1	0.08		2	0.16		30	2.35		20	1.56		30	2.35		450	35.21		41	3.21		588	46.01					75	5.87		1278	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		13	1.02		28	2.19					2	0.16		30	2.35		20	1.56		30	2.35		450	35.21		42	3.29		588	46.01					75	5.87		1278	
	FOURTH			1	50.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL		14	1.10		28	2.19								30	2.35		20	1.56		30	2.35		450	35.21		42	3.29		589	46.09					75	5.87		1278	
	FIFTH				Excluded		9	64.29								0	0.00		2	14.29		0	0.00		0	0.00		0	0.00		1	7.14					2	14.29		14	
		TOTAL					37	2.90								30	2.35		22	1.72		30	2.35		450	35.21		42	3.29		590	46.17					77	6.03		1278	
	SIXTH						8	36.36								1	4.55			Excluded		0	0.00		3	13.64		2	9.09		4	18.18					4	18.18		22	
		TOTAL					45	3.52								31	2.43					30	2.35		453	35.45		44	3.44		594	46.48					81	6.34		1278	
	SEVENTH						2	6.67								2	6.67						Excluded		5	16.67		1	3.33		19	63.33					1	3.33		30	
		TOTAL					47	3.68								33	2.58								458	35.84		45	3.52		613	47.97					82	6.42		1278	
	EIGHTH						6	18.18									Excluded								10	30.30		9	27.27		8	24.24					0	0.00		33	
		TOTAL					53	4.15																	468	36.62		54	4.23		621	48.59					82	6.42		1278	
	NINTH						28	34.15																	12	14.63		13	15.85		29	35.37						Excluded		82	
		TOTAL					81	6.34																	480	37.56		67	5.24		650	50.86								1278	
	TENTH						32	47.76																	24	35.82			Excluded		11	16.42								67	
		TOTAL					113	8.84																	504	39.44					661	51.72								1278	
	ELEVENTH							Excluded																	79	69.91					34	30.09								113	
		TOTAL																							583	45.62					695	54.38								1278	
																															Elected										
																																									
Grafton Hospital                                               																																									
	FIRST			2	0.69		11	3.78		1	0.34		1	0.34		8	2.75		8	2.75		1	0.34		112	38.49		13	4.47		115	39.52		1	0.34		18	6.19		291	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		3	1.03		11	3.78		1	0.34		1	0.34		8	2.75		8	2.75		1	0.34		112	38.49		13	4.47		115	39.52					18	6.19		291	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	1.03		11	3.78					1	0.34		8	2.75		8	2.75		2	0.69		112	38.49		13	4.47		115	39.52					18	6.19		291	
	FOURTH			1	100.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	1.37		11	3.78								8	2.75		8	2.75		2	0.69		112	38.49		13	4.47		115	39.52					18	6.19		291	
	FIFTH				Excluded		3	75.00								0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					14	4.81								8	2.75		8	2.75		3	1.03		112	38.49		13	4.47		115	39.52					18	6.19		291	
	SIXTH						2	25.00								0	0.00			Excluded		1	12.50		3	37.50		1	12.50		0	0.00					1	12.50		8	
		TOTAL					16	5.50								8	2.75					4	1.37		115	39.52		14	4.81		115	39.52					19	6.53		291	
	SEVENTH						2	50.00								0	0.00						Excluded		1	25.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL					18	6.19								8	2.75								116	39.86		15	5.15		115	39.52					19	6.53		291	
	EIGHTH						1	12.50									Excluded								1	12.50		3	37.50		3	37.50					0	0.00		8	
		TOTAL					19	6.53																	117	40.21		18	6.19		118	40.55					19	6.53		291	
	NINTH						5	26.32																	4	21.05		0	0.00		10	52.63						Excluded		19	
		TOTAL					24	8.25																	121	41.58		18	6.19		128	43.99								291	
	TENTH						11	61.11																	5	27.78			Excluded		2	11.11								18	
		TOTAL					35	12.03																	126	43.30					130	44.67								291	
	ELEVENTH							Excluded																	22	62.86					13	37.14								35	
		TOTAL																							148	50.86					143	49.14								291	
																															Elected										
																																									
Grafton North                                                  																																									
	FIRST			24	1.41		63	3.71		2	0.12		6	0.35		31	1.82		20	1.18		17	1.00		590	34.71		32	1.88		777	45.71		3	0.18		135	7.94		1700	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		24	1.41		63	3.71		2	0.12		6	0.35		31	1.82		20	1.18		17	1.00		590	34.71		35	2.06		777	45.71					135	7.94		1700	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL		24	1.41		63	3.71					6	0.35		32	1.88		20	1.18		17	1.00		590	34.71		35	2.06		778	45.76					135	7.94		1700	
	FOURTH			2	33.33		2	33.33						Excluded		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67					0	0.00		6	
		TOTAL		26	1.53		65	3.82								33	1.94		20	1.18		17	1.00		590	34.71		35	2.06		779	45.82					135	7.94		1700	
	FIFTH				Excluded		15	57.69								1	3.85		0	0.00		0	0.00		1	3.85		1	3.85		2	7.69					6	23.08		26	
		TOTAL					80	4.71								34	2.00		20	1.18		17	1.00		591	34.76		36	2.12		781	45.94					141	8.29		1700	
	SIXTH						2	10.00								4	20.00			Excluded		0	0.00		2	10.00		5	25.00		3	15.00					4	20.00		20	
		TOTAL					82	4.82								38	2.24					17	1.00		593	34.88		41	2.41		784	46.12					145	8.53		1700	
	SEVENTH						3	17.65								3	17.65						Excluded		1	5.88		0	0.00		10	58.82					0	0.00		17	
		TOTAL					85	5.00								41	2.41								594	34.94		41	2.41		794	46.71					145	8.53		1700	
	EIGHTH						9	21.95									Excluded								13	31.71		10	24.39		7	17.07					2	4.88		41	
		TOTAL					94	5.53																	607	35.71		51	3.00		801	47.12					147	8.65		1700	
	NINTH						55	37.41																	40	27.21		12	8.16		40	27.21						Excluded		147	
		TOTAL					149	8.76																	647	38.06		63	3.71		841	49.47								1700	
	TENTH						25	39.68																	24	38.10			Excluded		14	22.22								63	
		TOTAL					174	10.24																	671	39.47					855	50.29								1700	
	ELEVENTH							Excluded																	126	72.41					48	27.59								174	
		TOTAL																							797	46.88					903	53.12								1700	
																															Elected										
																																									
Grafton South                                                  																																									
	FIRST			15	1.54		30	3.07		2	0.20		0	0.00		13	1.33		21	2.15		9	0.92		368	37.70		27	2.77		392	40.16		1	0.10		98	10.04		976	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		15	1.54		30	3.07		2	0.20		0	0.00		13	1.33		21	2.15		9	0.92		368	37.70		27	2.77		392	40.16					99	10.14		976	
	THIRD			1	50.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		16	1.64		30	3.07					0	0.00		14	1.43		21	2.15		9	0.92		368	37.70		27	2.77		392	40.16					99	10.14		976	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		16	1.64		30	3.07								14	1.43		21	2.15		9	0.92		368	37.70		27	2.77		392	40.16					99	10.14		976	
	FIFTH				Excluded		8	50.00								2	12.50		1	6.25		0	0.00		1	6.25		0	0.00		3	18.75					1	6.25		16	
		TOTAL					38	3.89								16	1.64		22	2.25		9	0.92		369	37.81		27	2.77		395	40.47					100	10.25		976	
	SIXTH						2	9.09								4	18.18			Excluded		1	4.55		4	18.18		3	13.64		4	18.18					4	18.18		22	
		TOTAL					40	4.10								20	2.05					10	1.02		373	38.22		30	3.07		399	40.88					104	10.66		976	
	SEVENTH						0	0.00								2	20.00						Excluded		3	30.00		0	0.00		5	50.00					0	0.00		10	
		TOTAL					40	4.10								22	2.25								376	38.52		30	3.07		404	41.39					104	10.66		976	
	EIGHTH						14	63.64									Excluded								3	13.64		2	9.09		1	4.55					2	9.09		22	
		TOTAL					54	5.53																	379	38.83		32	3.28		405	41.50					106	10.86		976	
	NINTH						39	36.79																	23	21.70		7	6.60		37	34.91						Excluded		106	
		TOTAL					93	9.53																	402	41.19		39	4.00		442	45.29								976	
	TENTH						14	35.90																	18	46.15			Excluded		7	17.95								39	
		TOTAL					107	10.96																	420	43.03					449	46.00								976	
	ELEVENTH							Excluded																	72	67.29					35	32.71								107	
		TOTAL																							492	50.41					484	49.59								976	
																															Elected										
																																									
Grevillia                                                      																																									
	FIRST			1	0.68		9	6.16		0	0.00		0	0.00		0	0.00		1	0.68		1	0.68		25	17.12		5	3.42		98	67.12		0	0.00		6	4.11		146	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.68		9	6.16		0	0.00		0	0.00		0	0.00		1	0.68		1	0.68		25	17.12		5	3.42		98	67.12					6	4.11		146	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.68		9	6.16					0	0.00		0	0.00		1	0.68		1	0.68		25	17.12		5	3.42		98	67.12					6	4.11		146	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.68		9	6.16								0	0.00		1	0.68		1	0.68		25	17.12		5	3.42		98	67.12					6	4.11		146	
	FIFTH				Excluded		1	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					10	6.85								0	0.00		1	0.68		1	0.68		25	17.12		5	3.42		98	67.12					6	4.11		146	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					10	6.85								0	0.00					1	0.68		25	17.12		6	4.11		98	67.12					6	4.11		146	
	SEVENTH						0	0.00								0	0.00						Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					10	6.85								0	0.00								26	17.81		6	4.11		98	67.12					6	4.11		146	
	EIGHTH						0	0.00									Excluded								0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					10	6.85																	26	17.81		6	4.11		98	67.12					6	4.11		146	
	NINTH						3	50.00																	2	33.33		0	0.00		1	16.67						Excluded		6	
		TOTAL					13	8.90																	28	19.18		6	4.11		99	67.81								146	
	TENTH						1	16.67																	5	83.33			Excluded		0	0.00								6	
		TOTAL					14	9.59																	33	22.60					99	67.81								146	
	ELEVENTH							Excluded																	11	78.57					3	21.43								14	
		TOTAL																							44	30.14					102	69.86								146	
																															Elected										
																																									
Gundurimba South                                               																																									
	FIRST			1	0.65		24	15.58		0	0.00		1	0.65		4	2.60		6	3.90		5	3.25		25	16.23		9	5.84		71	46.10		0	0.00		8	5.19		154	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.65		24	15.58		0	0.00		1	0.65		4	2.60		6	3.90		5	3.25		25	16.23		9	5.84		71	46.10					8	5.19		154	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.65		24	15.58					1	0.65		4	2.60		6	3.90		5	3.25		25	16.23		9	5.84		71	46.10					8	5.19		154	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		1	0.65		24	15.58								4	2.60		7	4.55		5	3.25		25	16.23		9	5.84		71	46.10					8	5.19		154	
	FIFTH				Excluded		0	0.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00		1	
		TOTAL					24	15.58								4	2.60		7	4.55		5	3.25		25	16.23		9	5.84		71	46.10					9	5.84		154	
	SIXTH						1	14.29								0	0.00			Excluded		0	0.00		2	28.57		3	42.86		1	14.29					0	0.00		7	
		TOTAL					25	16.23								4	2.60					5	3.25		27	17.53		12	7.79		72	46.75					9	5.84		154	
	SEVENTH						2	40.00								0	0.00						Excluded		0	0.00		1	20.00		2	40.00					0	0.00		5	
		TOTAL					27	17.53								4	2.60								27	17.53		13	8.44		74	48.05					9	5.84		154	
	EIGHTH						2	50.00									Excluded								0	0.00		1	25.00		1	25.00					0	0.00		4	
		TOTAL					29	18.83																	27	17.53		14	9.09		75	48.70					9	5.84		154	
	NINTH						5	55.56																	1	11.11		0	0.00		3	33.33						Excluded		9	
		TOTAL					34	22.08																	28	18.18		14	9.09		78	50.65								154	
	TENTH						7	50.00																	6	42.86			Excluded		1	7.14								14	
		TOTAL					41	26.62																	34	22.08					79	51.30								154	
	ELEVENTH							Excluded																	22	53.66					19	46.34								41	
		TOTAL																							56	36.36					98	63.64								154	
																															Elected										
																																									
Harwood Island                                                 																																									
	FIRST			3	1.09		11	4.00		0	0.00		1	0.36		1	0.36		4	1.45		6	2.18		78	28.36		13	4.73		112	40.73		0	0.00		46	16.73		275	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	1.09		11	4.00		0	0.00		1	0.36		1	0.36		4	1.45		6	2.18		78	28.36		13	4.73		112	40.73					46	16.73		275	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	1.09		11	4.00					1	0.36		1	0.36		4	1.45		6	2.18		78	28.36		13	4.73		112	40.73					46	16.73		275	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	1.09		12	4.36								1	0.36		4	1.45		6	2.18		78	28.36		13	4.73		112	40.73					46	16.73		275	
	FIFTH				Excluded		3	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					15	5.45								1	0.36		4	1.45		6	2.18		78	28.36		13	4.73		112	40.73					46	16.73		275	
	SIXTH						1	25.00								2	50.00			Excluded		0	0.00		0	0.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL					16	5.82								3	1.09					6	2.18		78	28.36		14	5.09		112	40.73					46	16.73		275	
	SEVENTH						1	16.67								0	0.00						Excluded		0	0.00		0	0.00		3	50.00					2	33.33		6	
		TOTAL					17	6.18								3	1.09								78	28.36		14	5.09		115	41.82					48	17.45		275	
	EIGHTH						0	0.00									Excluded								2	66.67		1	33.33		0	0.00					0	0.00		3	
		TOTAL					17	6.18																	80	29.09		15	5.45		115	41.82					48	17.45		275	
	NINTH						24	50.00																	8	16.67		6	12.50		10	20.83						Excluded		48	
		TOTAL					41	14.91																	88	32.00		21	7.64		125	45.45								275	
	TENTH						6	28.57																	11	52.38			Excluded		4	19.05								21	
		TOTAL					47	17.09																	99	36.00					129	46.91								275	
	ELEVENTH							Excluded																	27	57.45					20	42.55								47	
		TOTAL																							126	45.82					149	54.18								275	
																															Elected										
																																									
Horseshoe Creek                                                																																									
	FIRST			2	1.14		28	16.00		0	0.00		4	2.29		5	2.86		2	1.14		4	2.29		31	17.71		24	13.71		64	36.57		0	0.00		11	6.29		175	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.14		28	16.00		0	0.00		4	2.29		5	2.86		2	1.14		4	2.29		31	17.71		24	13.71		64	36.57					11	6.29		175	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.14		28	16.00					4	2.29		5	2.86		2	1.14		4	2.29		31	17.71		24	13.71		64	36.57					11	6.29		175	
	FOURTH			1	25.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	75.00					0	0.00		4	
		TOTAL		3	1.71		28	16.00								5	2.86		2	1.14		4	2.29		31	17.71		24	13.71		67	38.29					11	6.29		175	
	FIFTH				Excluded		1	33.33								0	0.00		0	0.00		0	0.00		2	66.67		0	0.00		0	0.00					0	0.00		3	
		TOTAL					29	16.57								5	2.86		2	1.14		4	2.29		33	18.86		24	13.71		67	38.29					11	6.29		175	
	SIXTH						0	0.00								1	50.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL					29	16.57								6	3.43					4	2.29		33	18.86		25	14.29		67	38.29					11	6.29		175	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		4	100.00					0	0.00		4	
		TOTAL					29	16.57								6	3.43								33	18.86		25	14.29		71	40.57					11	6.29		175	
	EIGHTH						2	33.33									Excluded								2	33.33		2	33.33		0	0.00					0	0.00		6	
		TOTAL					31	17.71																	35	20.00		27	15.43		71	40.57					11	6.29		175	
	NINTH						5	45.45																	2	18.18		3	27.27		1	9.09						Excluded		11	
		TOTAL					36	20.57																	37	21.14		30	17.14		72	41.14								175	
	TENTH						10	33.33																	16	53.33			Excluded		4	13.33								30	
		TOTAL					46	26.29																	53	30.29					76	43.43								175	
	ELEVENTH							Excluded																	37	80.43					9	19.57								46	
		TOTAL																							90	51.43					85	48.57								175	
																															Elected										
																																									
Iluka                                                          																																									
	FIRST			13	1.20		78	7.20		0	0.00		7	0.65		7	0.65		9	0.83		11	1.02		383	35.36		33	3.05		442	40.81		3	0.28		97	8.96		1083	
	SECOND			1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		3	
		TOTAL		14	1.29		79	7.29		0	0.00		7	0.65		7	0.65		9	0.83		11	1.02		383	35.36		33	3.05		443	40.90					97	8.96		1083	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		14	1.29		79	7.29					7	0.65		7	0.65		9	0.83		11	1.02		383	35.36		33	3.05		443	40.90					97	8.96		1083	
	FOURTH			0	0.00		5	71.43						Excluded		0	0.00		1	14.29		0	0.00		0	0.00		0	0.00		1	14.29					0	0.00		7	
		TOTAL		14	1.29		84	7.76								7	0.65		10	0.92		11	1.02		383	35.36		33	3.05		444	41.00					97	8.96		1083	
	FIFTH				Excluded		10	71.43								0	0.00		0	0.00		0	0.00		1	7.14		0	0.00		3	21.43					0	0.00		14	
		TOTAL					94	8.68								7	0.65		10	0.92		11	1.02		384	35.46		33	3.05		447	41.27					97	8.96		1083	
	SIXTH						1	10.00								1	10.00			Excluded		1	10.00		1	10.00		4	40.00		1	10.00					1	10.00		10	
		TOTAL					95	8.77								8	0.74					12	1.11		385	35.55		37	3.42		448	41.37					98	9.05		1083	
	SEVENTH						1	8.33								1	8.33						Excluded		1	8.33		1	8.33		8	66.67					0	0.00		12	
		TOTAL					96	8.86								9	0.83								386	35.64		38	3.51		456	42.11					98	9.05		1083	
	EIGHTH						3	33.33									Excluded								1	11.11		0	0.00		3	33.33					2	22.22		9	
		TOTAL					99	9.14																	387	35.73		38	3.51		459	42.38					100	9.23		1083	
