Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Bathurst West		                              	26	1.23	 	864	41.03	 	52	2.47	 	2	0.09	 	14	0.66	 	40	1.9	 	728	34.57	 	204	9.69	 	1	0.05	 	64	3.04	 	0	0	 	14	0.66	 	0	0	 	1	0.05	 	5	0.24	 	1	0.05	 	22	1.04	 	62	2.94	 	6	0.28	 	2106	97.59	 	52	2.41	 	2158	2.85
Black Springs		                              	1	0.4	 	130	52.63	 	2	0.81	 	1	0.4	 	2	0.81	 	4	1.62	 	56	22.67	 	16	6.48	 	1	0.4	 	24	9.72	 	0	0	 	1	0.4	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.4	 	8	3.24	 	0	0	 	247	97.24	 	7	2.76	 	254	0.34
Blayney		                                    	20	1.09	 	808	44.01	 	24	1.31	 	2	0.11	 	6	0.33	 	38	2.07	 	651	35.46	 	107	5.83	 	3	0.16	 	102	5.56	 	2	0.11	 	21	1.14	 	0	0	 	0	0	 	2	0.11	 	0	0	 	14	0.76	 	36	1.96	 	0	0	 	1836	97.71	 	43	2.29	 	1879	2.48
Bletchington		                               	19	0.8	 	1012	42.49	 	49	2.06	 	2	0.08	 	7	0.29	 	22	0.92	 	874	36.69	 	169	7.09	 	4	0.17	 	75	3.15	 	0	0	 	17	0.71	 	1	0.04	 	1	0.04	 	2	0.08	 	4	0.17	 	20	0.84	 	101	4.24	 	3	0.13	 	2382	96.91	 	76	3.09	 	2458	3.24
Bloomfield Hospital		                        	2	1.47	 	64	47.06	 	0	0	 	0	0	 	0	0	 	4	2.94	 	39	28.68	 	14	10.29	 	0	0	 	6	4.41	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.74	 	6	4.41	 	0	0	 	136	100	 	0	0	 	136	0.18
Borenore		                                   	2	0.81	 	147	59.27	 	6	2.42	 	3	1.21	 	0	0	 	0	0	 	48	19.35	 	22	8.87	 	0	0	 	11	4.44	 	0	0	 	1	0.4	 	0	0	 	0	0	 	1	0.4	 	0	0	 	0	0	 	7	2.82	 	0	0	 	248	97.64	 	6	2.36	 	254	0.34
Bowen		                                      	23	0.93	 	1059	42.67	 	55	2.22	 	3	0.12	 	14	0.56	 	23	0.93	 	894	36.02	 	156	6.29	 	2	0.08	 	121	4.88	 	1	0.04	 	23	0.93	 	0	0	 	1	0.04	 	1	0.04	 	3	0.12	 	26	1.05	 	72	2.9	 	5	0.2	 	2482	96.92	 	79	3.08	 	2561	3.38
Bowenfels South		                            	3	1.36	 	75	34.09	 	7	3.18	 	0	0	 	3	1.36	 	6	2.73	 	86	39.09	 	22	10	 	0	0	 	11	5	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.91	 	5	2.27	 	0	0	 	220	96.07	 	9	3.93	 	229	0.3
Burraga		                                    	0	0	 	38	46.91	 	0	0	 	0	0	 	0	0	 	5	6.17	 	27	33.33	 	2	2.47	 	0	0	 	4	4.94	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.23	 	1	1.23	 	3	3.7	 	0	0	 	0	0	 	81	96.43	 	3	3.57	 	84	0.11
Bylong		                                     	1	1.75	 	42	73.68	 	0	0	 	0	0	 	0	0	 	0	0	 	10	17.54	 	1	1.75	 	0	0	 	3	5.26	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	57	95	 	3	5	 	60	0.08
Calare School		                              	10	0.58	 	926	53.9	 	23	1.34	 	1	0.06	 	3	0.17	 	17	0.99	 	467	27.18	 	133	7.74	 	1	0.06	 	50	2.91	 	0	0	 	13	0.76	 	0	0	 	1	0.06	 	0	0	 	1	0.06	 	11	0.64	 	54	3.14	 	7	0.41	 	1718	97.89	 	37	2.11	 	1755	2.32
Canobolas		                                  	6	3.7	 	108	66.67	 	3	1.85	 	0	0	 	0	0	 	4	2.47	 	21	12.96	 	7	4.32	 	0	0	 	2	1.23	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	10	6.17	 	1	0.62	 	162	97.59	 	4	2.41	 	166	0.22
Canowindra		                                 	7	0.56	 	640	51	 	13	1.04	 	0	0	 	2	0.16	 	8	0.64	 	371	29.56	 	84	6.69	 	1	0.08	 	89	7.09	 	1	0.08	 	9	0.72	 	0	0	 	1	0.08	 	1	0.08	 	2	0.16	 	5	0.4	 	18	1.43	 	3	0.24	 	1255	95.51	 	59	4.49	 	1314	1.73
Capertee		                                   	3	2.17	 	47	34.06	 	1	0.72	 	0	0	 	3	2.17	 	4	2.9	 	59	42.75	 	8	5.8	 	0	0	 	11	7.97	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.72	 	0	0	 	0	0	 	1	0.72	 	0	0	 	138	97.87	 	3	2.13	 	141	0.19
Carcoar		                                    	0	0	 	77	37.02	 	4	1.92	 	0	0	 	0	0	 	3	1.44	 	90	43.27	 	11	5.29	 	0	0	 	13	6.25	 	0	0	 	1	0.48	 	0	0	 	0	0	 	3	1.44	 	1	0.48	 	0	0	 	4	1.92	 	1	0.48	 	208	98.58	 	3	1.42	 	211	0.28
Cargo		                                      	4	1.65	 	116	47.93	 	6	2.48	 	1	0.41	 	0	0	 	0	0	 	94	38.84	 	15	6.2	 	0	0	 	5	2.07	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.41	 	0	0	 	242	97.58	 	6	2.42	 	248	0.33
Cooerwull		                                  	27	1.28	 	529	24.99	 	29	1.37	 	0	0	 	0	0	 	24	1.13	 	1135	53.61	 	181	8.55	 	3	0.14	 	104	4.91	 	0	0	 	13	0.61	 	0	0	 	1	0.05	 	4	0.19	 	2	0.09	 	10	0.47	 	50	2.36	 	5	0.24	 	2117	96.45	 	78	3.55	 	2195	2.9
Cudal		                                      	4	0.9	 	280	63.06	 	5	1.13	 	0	0	 	2	0.45	 	4	0.9	 	86	19.37	 	19	4.28	 	0	0	 	23	5.18	 	0	0	 	3	0.68	 	0	0	 	0	0	 	0	0	 	0	0	 	7	1.58	 	10	2.25	 	1	0.23	 	444	97.16	 	13	2.84	 	457	0.6
Cullen Bullen		                              	3	1.66	 	28	15.47	 	2	1.1	 	0	0	 	0	0	 	2	1.1	 	125	69.06	 	6	3.31	 	3	1.66	 	8	4.42	 	0	0	 	3	1.66	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.55	 	0	0	 	181	95.77	 	8	4.23	 	189	0.25
Cumnock		                                    	0	0	 	224	65.31	 	1	0.29	 	1	0.29	 	3	0.87	 	2	0.58	 	67	19.53	 	14	4.08	 	0	0	 	21	6.12	 	0	0	 	2	0.58	 	0	0	 	1	0.29	 	0	0	 	0	0	 	3	0.87	 	4	1.17	 	0	0	 	343	97.44	 	9	2.56	 	352	0.46
Curra Creek		                                	0	0	 	44	67.69	 	0	0	 	0	0	 	0	0	 	0	0	 	7	10.77	 	2	3.08	 	0	0	 	3	4.62	 	0	0	 	1	1.54	 	0	0	 	0	0	 	0	0	 	1	1.54	 	0	0	 	7	10.77	 	0	0	 	65	98.48	 	1	1.52	 	66	0.09
Eglinton		                                   	15	1.1	 	605	44.35	 	28	2.05	 	3	0.22	 	14	1.03	 	16	1.17	 	406	29.77	 	134	9.82	 	2	0.15	 	67	4.91	 	0	0	 	15	1.1	 	0	0	 	0	0	 	3	0.22	 	4	0.29	 	14	1.03	 	33	2.42	 	5	0.37	 	1364	97.57	 	34	2.43	 	1398	1.84
Errowanbang		                                	1	1.43	 	52	74.29	 	0	0	 	0	0	 	0	0	 	0	0	 	11	15.71	 	5	7.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.43	 	0	0	 	70	95.89	 	3	4.11	 	73	0.1
Euchareena		                                 	2	1.72	 	68	58.62	 	0	0	 	1	0.86	 	0	0	 	3	2.59	 	22	18.97	 	6	5.17	 	1	0.86	 	4	3.45	 	0	0	 	2	1.72	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	6	5.17	 	1	0.86	 	116	96.67	 	4	3.33	 	120	0.16
Eugowra		                                    	5	0.98	 	297	58.24	 	6	1.18	 	0	0	 	3	0.59	 	6	1.18	 	141	27.65	 	25	4.9	 	2	0.39	 	20	3.92	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.2	 	0	0	 	1	0.2	 	1	0.2	 	2	0.39	 	510	97.89	 	11	2.11	 	521	0.69
Glen Alice		                                 	2	3.7	 	37	68.52	 	0	0	 	0	0	 	0	0	 	1	1.85	 	7	12.96	 	2	3.7	 	0	0	 	3	5.56	 	0	0	 	2	3.7	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	54	100	 	0	0	 	54	0.07
Glenroi		                                    	27	1.28	 	598	28.26	 	46	2.17	 	2	0.09	 	16	0.76	 	27	1.28	 	1065	50.33	 	99	4.68	 	5	0.24	 	96	4.54	 	1	0.05	 	32	1.51	 	1	0.05	 	2	0.09	 	8	0.38	 	8	0.38	 	30	1.42	 	52	2.46	 	1	0.05	 	2116	96.31	 	81	3.69	 	2197	2.9
Hampton		                                    	0	0	 	64	50	 	2	1.56	 	2	1.56	 	1	0.78	 	0	0	 	30	23.44	 	15	11.72	 	0	0	 	13	10.16	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.78	 	0	0	 	128	95.52	 	6	4.48	 	134	0.18
Hartley		                                    	7	3.02	 	118	50.86	 	9	3.88	 	0	0	 	0	0	 	1	0.43	 	51	21.98	 	28	12.07	 	0	0	 	7	3.02	 	0	0	 	1	0.43	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.43	 	8	3.45	 	1	0.43	 	232	97.89	 	5	2.11	 	237	0.31
Hermitage		                                  	10	1.66	 	120	19.93	 	4	0.66	 	1	0.17	 	8	1.33	 	11	1.83	 	324	53.82	 	53	8.8	 	1	0.17	 	37	6.15	 	0	0	 	2	0.33	 	0	0	 	0	0	 	1	0.17	 	2	0.33	 	6	1	 	22	3.65	 	0	0	 	602	98.21	 	11	1.79	 	613	0.81
Hill End		                                   	0	0	 	35	38.89	 	0	0	 	0	0	 	1	1.11	 	0	0	 	46	51.11	 	2	2.22	 	0	0	 	5	5.56	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.11	 	0	0	 	90	95.74	 	4	4.26	 	94	0.12
Ilford		                                     	2	0.98	 	114	55.88	 	3	1.47	 	0	0	 	8	3.92	 	0	0	 	42	20.59	 	13	6.37	 	0	0	 	13	6.37	 	0	0	 	1	0.49	 	0	0	 	0	0	 	0	0	 	0	0	 	3	1.47	 	5	2.45	 	0	0	 	204	97.61	 	5	2.39	 	209	0.28
Jenolan Caves		                              	1	2.78	 	12	33.33	 	1	2.78	 	0	0	 	0	0	 	2	5.56	 	7	19.44	 	7	19.44	 	0	0	 	3	8.33	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	2.78	 	2	5.56	 	0	0	 	36	97.3	 	1	2.7	 	37	0.05
Kandos		                                     	14	1.37	 	241	23.63	 	25	2.45	 	0	0	 	43	4.22	 	9	0.88	 	548	53.73	 	47	4.61	 	1	0.1	 	58	5.69	 	0	0	 	15	1.47	 	0	0	 	1	0.1	 	2	0.2	 	6	0.59	 	3	0.29	 	7	0.69	 	0	0	 	1020	94.27	 	62	5.73	 	1082	1.43
Kelso		                                      	26	0.99	 	1093	41.42	 	77	2.92	 	3	0.11	 	9	0.34	 	33	1.25	 	967	36.64	 	214	8.11	 	0	0	 	92	3.49	 	0	0	 	16	0.61	 	4	0.15	 	2	0.08	 	12	0.45	 	7	0.27	 	26	0.99	 	50	1.89	 	8	0.3	 	2639	97.16	 	77	2.84	 	2716	3.58
Kirkconnell		                                	4	2.61	 	64	41.83	 	7	4.58	 	0	0	 	0	0	 	1	0.65	 	47	30.72	 	14	9.15	 	0	0	 	9	5.88	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.31	 	1	0.65	 	3	1.96	 	1	0.65	 	153	98.71	 	2	1.29	 	155	0.2
Lithgow		                                    	18	0.95	 	424	22.39	 	42	2.22	 	1	0.05	 	9	0.48	 	19	1	 	1037	54.75	 	179	9.45	 	2	0.11	 	60	3.17	 	1	0.05	 	12	0.63	 	0	0	 	0	0	 	5	0.26	 	4	0.21	 	17	0.9	 	58	3.06	 	6	0.32	 	1894	97.38	 	51	2.62	 	1945	2.57
Lithgow Hospital		                           	0	0	 	39	37.86	 	0	0	 	0	0	 	0	0	 	1	0.97	 	49	47.57	 	10	9.71	 	0	0	 	1	0.97	 	0	0	 	1	0.97	 	0	0	 	0	0	 	1	0.97	 	0	0	 	1	0.97	 	0	0	 	0	0	 	103	97.17	 	3	2.83	 	106	0.14
Littleton		                                  	3	0.52	 	134	23.14	 	3	0.52	 	2	0.35	 	1	0.17	 	12	2.07	 	314	54.23	 	64	11.05	 	1	0.17	 	23	3.97	 	0	0	 	1	0.17	 	0	0	 	0	0	 	4	0.69	 	0	0	 	4	0.69	 	13	2.25	 	0	0	 	579	96.18	 	23	3.82	 	602	0.79
Lucknow		                                    	3	0.96	 	185	59.49	 	9	2.89	 	1	0.32	 	3	0.96	 	3	0.96	 	57	18.33	 	25	8.04	 	1	0.32	 	8	2.57	 	1	0.32	 	2	0.64	 	0	0	 	0	0	 	1	0.32	 	1	0.32	 	1	0.32	 	9	2.89	 	1	0.32	 	311	97.8	 	7	2.2	 	318	0.42
Lyndhurst		                                  	2	0.87	 	115	49.78	 	2	0.87	 	0	0	 	0	0	 	2	0.87	 	74	32.03	 	10	4.33	 	0	0	 	20	8.66	 	0	0	 	1	0.43	 	1	0.43	 	1	0.43	 	2	0.87	 	0	0	 	0	0	 	1	0.43	 	0	0	 	231	95.45	 	11	4.55	 	242	0.32
Mandurama		                                  	0	0	 	121	60.8	 	3	1.51	 	0	0	 	2	1.01	 	0	0	 	52	26.13	 	13	6.53	 	0	0	 	4	2.01	 	0	0	 	1	0.5	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.5	 	1	0.5	 	1	0.5	 	199	98.03	 	4	1.97	 	203	0.27
Manildra		                                   	5	0.9	 	294	52.69	 	1	0.18	 	1	0.18	 	2	0.36	 	4	0.72	 	179	32.08	 	20	3.58	 	1	0.18	 	25	4.48	 	1	0.18	 	1	0.18	 	0	0	 	0	0	 	0	0	 	2	0.36	 	4	0.72	 	18	3.23	 	0	0	 	558	97.89	 	12	2.11	 	570	0.75
March		                                      	1	0.53	 	127	67.55	 	3	1.6	 	0	0	 	0	0	 	1	0.53	 	33	17.55	 	12	6.38	 	0	0	 	1	0.53	 	0	0	 	1	0.53	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.53	 	8	4.26	 	0	0	 	188	100	 	0	0	 	188	0.25
Meadow Flat		                                	2	1.38	 	62	42.76	 	3	2.07	 	0	0	 	1	0.69	 	3	2.07	 	40	27.59	 	14	9.66	 	0	0	 	17	11.72	 	0	0	 	1	0.69	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.69	 	1	0.69	 	0	0	 	145	96.67	 	5	3.33	 	150	0.2
Millthorpe		                                 	11	1.77	 	335	53.95	 	17	2.74	 	0	0	 	4	0.64	 	6	0.97	 	147	23.67	 	55	8.86	 	2	0.32	 	18	2.9	 	0	0	 	3	0.48	 	0	0	 	0	0	 	1	0.16	 	3	0.48	 	4	0.64	 	14	2.25	 	1	0.16	 	621	96.28	 	24	3.72	 	645	0.85
Mitchell Campus		                            	1	0.75	 	43	32.33	 	10	7.52	 	0	0	 	0	0	 	0	0	 	38	28.57	 	23	17.29	 	0	0	 	4	3.01	 	0	0	 	3	2.26	 	0	0	 	0	0	 	2	1.5	 	4	3.01	 	2	1.5	 	3	2.26	 	0	0	 	133	99.25	 	1	0.75	 	134	0.18
Molong		                                     	14	1.09	 	650	50.7	 	16	1.25	 	1	0.08	 	5	0.39	 	9	0.7	 	359	28	 	74	5.77	 	0	0	 	64	4.99	 	1	0.08	 	5	0.39	 	0	0	 	0	0	 	5	0.39	 	4	0.31	 	8	0.62	 	66	5.15	 	1	0.08	 	1282	96.03	 	53	3.97	 	1335	1.76
Morts Estate		                               	2	0.44	 	92	20.09	 	6	1.31	 	0	0	 	0	0	 	6	1.31	 	285	62.23	 	40	8.73	 	1	0.22	 	16	3.49	 	0	0	 	3	0.66	 	0	0	 	0	0	 	2	0.44	 	2	0.44	 	0	0	 	1	0.22	 	2	0.44	 	458	97.45	 	12	2.55	 	470	0.62
Mullion Creek		                              	4	1.73	 	129	55.84	 	1	0.43	 	1	0.43	 	0	0	 	2	0.87	 	53	22.94	 	25	10.82	 	0	0	 	9	3.9	 	0	0	 	1	0.43	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.87	 	4	1.73	 	0	0	 	231	97.88	 	5	2.12	 	236	0.31
Mumbil		                                     	5	3.03	 	63	38.18	 	0	0	 	0	0	 	3	1.82	 	4	2.42	 	55	33.33	 	13	7.88	 	0	0	 	11	6.67	 	0	0	 	2	1.21	 	0	0	 	0	0	 	0	0	 	0	0	 	6	3.64	 	2	1.21	 	1	0.61	 	165	98.8	 	2	1.2	 	167	0.22
Nashdale		                                   	3	0.97	 	200	64.72	 	5	1.62	 	0	0	 	1	0.32	 	4	1.29	 	41	13.27	 	38	12.3	 	0	0	 	8	2.59	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.32	 	2	0.65	 	6	1.94	 	0	0	 	309	99.68	 	1	0.32	 	310	0.41
Neurea		                                     	1	1.39	 	54	75	 	0	0	 	0	0	 	0	0	 	1	1.39	 	9	12.5	 	2	2.78	 	0	0	 	1	1.39	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.39	 	3	4.17	 	0	0	 	72	97.3	 	2	2.7	 	74	0.1
Neville		                                    	0	0	 	90	70.31	 	1	0.78	 	0	0	 	0	0	 	1	0.78	 	27	21.09	 	3	2.34	 	0	0	 	2	1.56	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.78	 	0	0	 	3	2.34	 	0	0	 	128	98.46	 	2	1.54	 	130	0.17
Newbridge		                                  	1	0.76	 	65	49.24	 	3	2.27	 	0	0	 	0	0	 	0	0	 	33	25	 	14	10.61	 	1	0.76	 	9	6.82	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.76	 	4	3.03	 	1	0.76	 	132	98.51	 	2	1.49	 	134	0.18
O'Connell		                                  	2	0.84	 	122	51.26	 	11	4.62	 	1	0.42	 	0	0	 	1	0.42	 	46	19.33	 	35	14.71	 	0	0	 	8	3.36	 	0	0	 	1	0.42	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	11	4.62	 	0	0	 	238	99.58	 	1	0.42	 	239	0.32
Oakey Park		                                 	3	0.9	 	63	18.98	 	4	1.2	 	2	0.6	 	1	0.3	 	8	2.41	 	210	63.25	 	21	6.33	 	0	0	 	5	1.51	 	0	0	 	2	0.6	 	0	0	 	0	0	 	1	0.3	 	1	0.3	 	3	0.9	 	8	2.41	 	0	0	 	332	97.08	 	10	2.92	 	342	0.45
Oberon		                                     	36	1.93	 	952	51.1	 	30	1.61	 	4	0.21	 	4	0.21	 	26	1.4	 	523	28.07	 	109	5.85	 	1	0.05	 	91	4.88	 	0	0	 	14	0.75	 	0	0	 	2	0.11	 	2	0.11	 	1	0.05	 	19	1.02	 	45	2.42	 	4	0.21	 	1863	96.08	 	76	3.92	 	1939	2.56
Orange		                                     	18	0.77	 	1142	48.66	 	57	2.43	 	5	0.21	 	7	0.3	 	24	1.02	 	701	29.87	 	214	9.12	 	5	0.21	 	44	1.87	 	0	0	 	20	0.85	 	0	0	 	5	0.21	 	4	0.17	 	1	0.04	 	15	0.64	 	82	3.49	 	3	0.13	 	2347	97.02	 	72	2.98	 	2419	3.19
Orange East		                                	20	1.5	 	557	41.72	 	24	1.8	 	3	0.22	 	9	0.67	 	15	1.12	 	499	37.38	 	106	7.94	 	2	0.15	 	39	2.92	 	0	0	 	19	1.42	 	0	0	 	1	0.07	 	4	0.3	 	6	0.45	 	6	0.45	 	24	1.8	 	1	0.07	 	1335	96.39	 	50	3.61	 	1385	1.83
Orange Hospital		                            	7	1.9	 	176	47.7	 	10	2.71	 	1	0.27	 	1	0.27	 	1	0.27	 	126	34.15	 	27	7.32	 	0	0	 	9	2.44	 	0	0	 	1	0.27	 	0	0	 	1	0.27	 	0	0	 	1	0.27	 	3	0.81	 	5	1.36	 	0	0	 	369	98.66	 	5	1.34	 	374	0.49
Orange North		                               	7	0.79	 	434	49.21	 	20	2.27	 	1	0.11	 	1	0.11	 	2	0.23	 	274	31.07	 	64	7.26	 	0	0	 	21	2.38	 	1	0.11	 	5	0.57	 	0	0	 	1	0.11	 	1	0.11	 	0	0	 	11	1.25	 	39	4.42	 	0	0	 	882	96.92	 	28	3.08	 	910	1.2
Orange South		                               	13	0.77	 	842	49.73	 	40	2.36	 	3	0.18	 	7	0.41	 	19	1.12	 	507	29.95	 	117	6.91	 	2	0.12	 	56	3.31	 	0	0	 	9	0.53	 	0	0	 	0	0	 	2	0.12	 	4	0.24	 	11	0.65	 	59	3.48	 	2	0.12	 	1693	97.41	 	45	2.59	 	1738	2.29
Orange West		                                	38	1.12	 	1844	54.14	 	49	1.44	 	4	0.12	 	15	0.44	 	33	0.97	 	921	27.04	 	241	7.08	 	1	0.03	 	97	2.85	 	1	0.03	 	22	0.65	 	1	0.03	 	2	0.06	 	4	0.12	 	4	0.12	 	25	0.73	 	102	2.99	 	2	0.06	 	3406	97.43	 	90	2.57	 	3496	4.61
Peel		                                       	0	0	 	53	49.53	 	6	5.61	 	0	0	 	0	0	 	2	1.87	 	20	18.69	 	16	14.95	 	0	0	 	6	5.61	 	0	0	 	2	1.87	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.93	 	1	0.93	 	0	0	 	107	99.07	 	1	0.93	 	108	0.14
Perthville		                                 	2	0.46	 	251	57.57	 	12	2.75	 	0	0	 	4	0.92	 	3	0.69	 	98	22.48	 	23	5.28	 	0	0	 	19	4.36	 	0	0	 	5	1.15	 	0	0	 	1	0.23	 	1	0.23	 	0	0	 	2	0.46	 	15	3.44	 	0	0	 	436	97.54	 	11	2.46	 	447	0.59
Portland		                                   	11	0.88	 	219	17.51	 	10	0.8	 	2	0.16	 	3	0.24	 	14	1.12	 	827	66.11	 	65	5.2	 	2	0.16	 	46	3.68	 	1	0.08	 	7	0.56	 	1	0.08	 	3	0.24	 	0	0	 	1	0.08	 	11	0.88	 	27	2.16	 	1	0.08	 	1251	97.96	 	26	2.04	 	1277	1.68
Raglan		                                     	8	1.12	 	261	36.5	 	22	3.08	 	1	0.14	 	2	0.28	 	10	1.4	 	272	38.04	 	66	9.23	 	0	0	 	27	3.78	 	2	0.28	 	5	0.7	 	0	0	 	3	0.42	 	2	0.28	 	3	0.42	 	4	0.56	 	23	3.22	 	4	0.56	 	715	98.08	 	14	1.92	 	729	0.96
Rockley		                                    	3	1.18	 	145	56.86	 	3	1.18	 	0	0	 	1	0.39	 	3	1.18	 	60	23.53	 	13	5.1	 	0	0	 	20	7.84	 	0	0	 	2	0.78	 	0	0	 	0	0	 	1	0.39	 	0	0	 	2	0.78	 	1	0.39	 	1	0.39	 	255	99.61	 	1	0.39	 	256	0.34
Rydal		                                      	0	0	 	50	40	 	3	2.4	 	0	0	 	0	0	 	5	4	 	39	31.2	 	12	9.6	 	0	0	 	11	8.8	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.8	 	0	0	 	4	3.2	 	0	0	 	125	97.66	 	3	2.34	 	128	0.17
Rylstone		                                   	7	0.94	 	310	41.78	 	15	2.02	 	1	0.13	 	30	4.04	 	6	0.81	 	257	34.64	 	45	6.06	 	0	0	 	49	6.6	 	0	0	 	3	0.4	 	2	0.27	 	0	0	 	1	0.13	 	4	0.54	 	3	0.4	 	9	1.21	 	0	0	 	742	95.99	 	31	4.01	 	773	1.02
Sofala		                                     	3	2.78	 	47	43.52	 	5	4.63	 	0	0	 	0	0	 	4	3.7	 	30	27.78	 	10	9.26	 	0	0	 	7	6.48	 	0	0	 	0	0	 	1	0.93	 	0	0	 	0	0	 	0	0	 	1	0.93	 	0	0	 	0	0	 	108	99.08	 	1	0.92	 	109	0.14
Spring Hill		                                	0	0	 	122	54.71	 	1	0.45	 	0	0	 	0	0	 	0	0	 	72	32.29	 	13	5.83	 	0	0	 	8	3.59	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	1.35	 	4	1.79	 	0	0	 	223	99.55	 	1	0.45	 	224	0.3
Spring Terrace		                             	1	0.44	 	150	66.08	 	4	1.76	 	0	0	 	1	0.44	 	1	0.44	 	38	16.74	 	20	8.81	 	0	0	 	3	1.32	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	7	3.08	 	2	0.88	 	227	97.42	 	6	2.58	 	233	0.31
Stuart Town		                                	1	0.51	 	83	42.35	 	3	1.53	 	0	0	 	0	0	 	0	0	 	79	40.31	 	13	6.63	 	0	0	 	12	6.12	 	0	0	 	1	0.51	 	0	0	 	0	0	 	1	0.51	 	0	0	 	1	0.51	 	2	1.02	 	0	0	 	196	98	 	4	2	 	200	0.26
Summer Hill Creek		                          	1	0.61	 	78	47.56	 	7	4.27	 	0	0	 	0	0	 	0	0	 	38	23.17	 	16	9.76	 	0	0	 	13	7.93	 	1	0.61	 	4	2.44	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.61	 	5	3.05	 	0	0	 	164	95.91	 	7	4.09	 	171	0.23
Sydney (Calare)		                            	1	1.59	 	33	52.38	 	3	4.76	 	0	0	 	0	0	 	1	1.59	 	14	22.22	 	5	7.94	 	0	0	 	3	4.76	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.59	 	2	3.17	 	0	0	 	63	100	 	0	0	 	63	0.08
Tarana		                                     	1	1.12	 	49	55.06	 	1	1.12	 	0	0	 	0	0	 	0	0	 	20	22.47	 	14	15.73	 	0	0	 	1	1.12	 	0	0	 	1	1.12	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.25	 	0	0	 	89	98.89	 	1	1.11	 	90	0.12
The Lagoon		                                 	0	0	 	70	62.5	 	1	0.89	 	0	0	 	2	1.79	 	0	0	 	19	16.96	 	8	7.14	 	0	0	 	7	6.25	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.89	 	0	0	 	4	3.57	 	0	0	 	0	0	 	112	99.12	 	1	0.88	 	113	0.15
Trunkey Creek		                              	0	0	 	83	59.71	 	2	1.44	 	0	0	 	0	0	 	2	1.44	 	30	21.58	 	7	5.04	 	0	0	 	10	7.19	 	0	0	 	1	0.72	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.72	 	2	1.44	 	1	0.72	 	139	97.2	 	4	2.8	 	143	0.19
