Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Mooloolah		                                  	7	0.71	 	0	0	 	0	0	 	7	0.71	 	68	6.87	 	3	0.3	 	8	0.81	 	1	0.1	 	209	21.11	 	0	0	 	4	0.4	 	0	0	 	0	0	 	77	7.78	 	3	0.3	 	272	27.47	 	260	26.26	 	8	0.81	 	0	0	 	8	0.81	 	54	5.45	 	1	0.1	 	990	96.96	 	31	3.04	 	1021	1.43
Mountain Creek		                             	10	0.35	 	2	0.07	 	0	0	 	6	0.21	 	103	3.57	 	0	0	 	50	1.73	 	0	0	 	401	13.89	 	1	0.03	 	10	0.35	 	0	0	 	2	0.07	 	193	6.68	 	8	0.28	 	666	23.06	 	1378	47.71	 	4	0.14	 	0	0	 	3	0.1	 	51	1.77	 	0	0	 	2888	97.93	 	61	2.07	 	2949	4.12
Palmwoods		                                  	5	0.3	 	1	0.06	 	1	0.06	 	5	0.3	 	118	7.03	 	4	0.24	 	65	3.87	 	0	0	 	317	18.89	 	0	0	 	6	0.36	 	1	0.06	 	2	0.12	 	152	9.06	 	3	0.18	 	334	19.9	 	606	36.11	 	7	0.42	 	0	0	 	5	0.3	 	46	2.74	 	0	0	 	1678	96.49	 	61	3.51	 	1739	2.43
Shelly Beach		                               	9	0.71	 	0	0	 	1	0.08	 	4	0.32	 	90	7.12	 	5	0.4	 	10	0.79	 	1	0.08	 	155	12.26	 	0	0	 	1	0.08	 	0	0	 	2	0.16	 	106	8.39	 	0	0	 	340	26.9	 	497	39.32	 	9	0.71	 	0	0	 	4	0.32	 	29	2.29	 	1	0.08	 	1264	98.06	 	25	1.94	 	1289	1.8
Sippy Downs		                                	3	0.34	 	0	0	 	0	0	 	2	0.23	 	47	5.32	 	0	0	 	33	3.74	 	0	0	 	145	16.42	 	2	0.23	 	1	0.11	 	0	0	 	0	0	 	64	7.25	 	3	0.34	 	193	21.86	 	363	41.11	 	7	0.79	 	0	0	 	0	0	 	20	2.27	 	0	0	 	883	98.22	 	16	1.78	 	899	1.26
Woombye		                                    	6	0.4	 	0	0	 	1	0.07	 	3	0.2	 	183	12.07	 	4	0.26	 	81	5.34	 	0	0	 	316	20.84	 	2	0.13	 	6	0.4	 	2	0.13	 	3	0.2	 	119	7.85	 	5	0.33	 	297	19.59	 	432	28.5	 	4	0.26	 	0	0	 	5	0.33	 	46	3.03	 	1	0.07	 	1516	97.87	 	33	2.13	 	1549	2.17
Special Hospitals		                          	5	0.95	 	0	0	 	0	0	 	0	0	 	21	3.98	 	1	0.19	 	1	0.19	 	0	0	 	65	12.31	 	0	0	 	3	0.57	 	0	0	 	0	0	 	15	2.84	 	0	0	 	121	22.92	 	292	55.3	 	0	0	 	0	0	 	3	0.57	 	1	0.19	 	0	0	 	528	94.12	 	33	5.88	 	561	0.78
Total Ordinary		                             	279	0.49	 	11	0.02	 	24	0.04	 	191	0.34	 	2810	4.97	 	103	0.18	 	1198	2.12	 	36	0.06	 	8772	15.53	 	25	0.04	 	182	0.32	 	34	0.06	 	29	0.05	 	4427	7.84	 	82	0.15	 	14091	24.94	 	22389	39.63	 	215	0.38	 	18	0.03	 	102	0.18	 	1453	2.57	 	26	0.05	 	56497	96.88	 	1822	3.12	 	58319	81.56
ABSENT		                                     	19	0.44	 	2	0.05	 	0	0	 	14	0.32	 	242	5.55	 	9	0.21	 	104	2.38	 	9	0.21	 	622	14.26	 	7	0.16	 	27	0.62	 	5	0.11	 	2	0.05	 	348	7.98	 	10	0.23	 	1131	25.93	 	1568	35.95	 	19	0.44	 	1	0.02	 	10	0.23	 	211	4.84	 	2	0.05	 	4362	98.44	 	69	1.56	 	4431	6.2
POSTAL		                                     	16	0.46	 	2	0.06	 	2	0.06	 	7	0.2	 	215	6.13	 	9	0.26	 	63	1.8	 	3	0.09	 	464	13.23	 	1	0.03	 	1	0.03	 	2	0.06	 	1	0.03	 	195	5.56	 	7	0.2	 	756	21.56	 	1674	47.75	 	19	0.54	 	0	0	 	2	0.06	 	66	1.88	 	1	0.03	 	3506	98.35	 	59	1.65	 	3565	4.99
PRE_POLL		                                   	24	0.52	 	0	0	 	1	0.02	 	15	0.33	 	163	3.55	 	9	0.2	 	65	1.42	 	4	0.09	 	683	14.88	 	1	0.02	 	22	0.48	 	7	0.15	 	7	0.15	 	296	6.45	 	11	0.24	 	1133	24.68	 	1994	43.43	 	14	0.3	 	0	0	 	13	0.28	 	128	2.79	 	1	0.02	 	4591	98.9	 	51	1.1	 	4642	6.49
PROVISIONAL		                                	0	0	 	0	0	 	1	0.19	 	4	0.74	 	25	4.66	 	2	0.37	 	8	1.49	 	0	0	 	84	15.64	 	0	0	 	6	1.12	 	3	0.56	 	1	0.19	 	30	5.59	 	1	0.19	 	156	29.05	 	185	34.45	 	3	0.56	 	0	0	 	1	0.19	 	27	5.03	 	0	0	 	537	98.17	 	10	1.83	 	547	0.76
Division Summary		                           	338	0.49	 	15	0.02	 	28	0.04	 	231	0.33	 	3455	4.97	 	132	0.19	 	1438	2.07	 	52	0.07	 	10625	15.29	 	34	0.05	 	238	0.34	 	51	0.07	 	40	0.06	 	5296	7.62	 	111	0.16	 	17267	24.85	 	27810	40.02	 	270	0.39	 	19	0.03	 	128	0.18	 	1885	2.71	 	30	0.04	 	69493	97.19	 	2011	2.81	 	71504	94.31


Forde (76745)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aratula		                                    	1	0.23	 	0	0	 	0	0	 	0	0	 	105	24.65	 	0	0	 	1	0.23	 	0	0	 	149	34.98	 	0	0	 	2	0.47	 	0	0	 	0	0	 	24	5.63	 	0	0	 	46	10.8	 	94	22.07	 	1	0.23	 	0	0	 	0	0	 	3	0.7	 	0	0	 	426	97.71	 	10	2.29	 	436	0.61
Beaudesert		                                 	19	0.69	 	0	0	 	1	0.04	 	17	0.62	 	327	11.84	 	6	0.22	 	33	1.19	 	2	0.07	 	453	16.4	 	8	0.29	 	9	0.33	 	5	0.18	 	1	0.04	 	206	7.46	 	3	0.11	 	697	25.24	 	927	33.56	 	7	0.25	 	0	0	 	11	0.4	 	29	1.05	 	1	0.04	 	2762	94.78	 	152	5.22	 	2914	4.06
Beaudesert Hospital		                        	7	1.68	 	0	0	 	0	0	 	2	0.48	 	53	12.71	 	2	0.48	 	3	0.72	 	1	0.24	 	66	15.83	 	1	0.24	 	2	0.48	 	0	0	 	0	0	 	18	4.32	 	2	0.48	 	123	29.5	 	135	32.37	 	0	0	 	0	0	 	0	0	 	2	0.48	 	0	0	 	417	95.86	 	18	4.14	 	435	0.61
Beechmont		                                  	3	0.78	 	0	0	 	0	0	 	0	0	 	45	11.72	 	0	0	 	6	1.56	 	0	0	 	45	11.72	 	0	0	 	0	0	 	1	0.26	 	0	0	 	55	14.32	 	0	0	 	83	21.61	 	121	31.51	 	0	0	 	0	0	 	1	0.26	 	24	6.25	 	0	0	 	384	97.71	 	9	2.29	 	393	0.55
Beenleigh		                                  	25	0.76	 	0	0	 	0	0	 	19	0.58	 	91	2.77	 	7	0.21	 	33	1	 	10	0.3	 	521	15.83	 	5	0.15	 	14	0.43	 	1	0.03	 	4	0.12	 	241	7.32	 	6	0.18	 	1278	38.83	 	932	28.32	 	18	0.55	 	1	0.03	 	14	0.43	 	70	2.13	 	1	0.03	 	3291	96.99	 	102	3.01	 	3393	4.72
Beenleigh Central		                          	5	0.64	 	0	0	 	0	0	 	2	0.26	 	15	1.93	 	2	0.26	 	12	1.54	 	0	0	 	131	16.82	 	3	0.39	 	6	0.77	 	3	0.39	 	0	0	 	49	6.29	 	5	0.64	 	286	36.71	 	239	30.68	 	0	0	 	0	0	 	1	0.13	 	20	2.57	 	0	0	 	779	95.94	 	33	4.06	 	812	1.13
Bethania		                                   	10	0.48	 	1	0.05	 	0	0	 	5	0.24	 	22	1.06	 	4	0.19	 	25	1.21	 	3	0.14	 	338	16.34	 	3	0.14	 	10	0.48	 	0	0	 	1	0.05	 	163	7.88	 	3	0.14	 	759	36.68	 	675	32.62	 	8	0.39	 	0	0	 	4	0.19	 	35	1.69	 	0	0	 	2069	96.05	 	85	3.95	 	2154	3
Boonah		                                     	10	0.53	 	1	0.05	 	0	0	 	4	0.21	 	322	16.93	 	3	0.16	 	18	0.95	 	3	0.16	 	526	27.66	 	4	0.21	 	5	0.26	 	2	0.11	 	0	0	 	115	6.05	 	2	0.11	 	355	18.66	 	510	26.81	 	6	0.32	 	0	0	 	2	0.11	 	14	0.74	 	0	0	 	1902	96.89	 	61	3.11	 	1963	2.73
Brisbane City (Forde)		                      	0	0	 	0	0	 	0	0	 	1	0.92	 	5	4.59	 	0	0	 	1	0.92	 	0	0	 	9	8.26	 	0	0	 	1	0.92	 	0	0	 	0	0	 	11	10.09	 	0	0	 	39	35.78	 	33	30.28	 	1	0.92	 	0	0	 	0	0	 	8	7.34	 	0	0	 	109	98.2	 	2	1.8	 	111	0.15
Canungra		                                   	4	0.4	 	0	0	 	2	0.2	 	2	0.2	 	109	10.99	 	7	0.71	 	10	1.01	 	0	0	 	162	16.33	 	0	0	 	0	0	 	1	0.1	 	3	0.3	 	55	5.54	 	1	0.1	 	167	16.83	 	429	43.25	 	6	0.6	 	1	0.1	 	1	0.1	 	32	3.23	 	0	0	 	992	96.69	 	34	3.31	 	1026	1.43
Cedar Creek		                                	0	0	 	0	0	 	0	0	 	0	0	 	33	10.65	 	1	0.32	 	4	1.29	 	0	0	 	58	18.71	 	0	0	 	1	0.32	 	0	0	 	0	0	 	29	9.35	 	1	0.32	 	61	19.68	 	110	35.48	 	0	0	 	0	0	 	0	0	 	12	3.87	 	0	0	 	310	97.48	 	8	2.52	 	318	0.44
Coomera (Forde)		                            	1	0.2	 	0	0	 	0	0	 	1	0.2	 	32	6.4	 	1	0.2	 	9	1.8	 	0	0	 	79	15.8	 	0	0	 	1	0.2	 	0	0	 	1	0.2	 	30	6	 	0	0	 	106	21.2	 	224	44.8	 	1	0.2	 	0	0	 	1	0.2	 	13	2.6	 	0	0	 	500	95.79	 	22	4.21	 	522	0.73
Cornubia (Forde)		                           	3	0.47	 	1	0.16	 	0	0	 	5	0.79	 	19	3	 	1	0.16	 	7	1.11	 	1	0.16	 	73	11.53	 	0	0	 	2	0.32	 	0	0	 	0	0	 	48	7.58	 	1	0.16	 	138	21.8	 	322	50.87	 	1	0.16	 	0	0	 	2	0.32	 	9	1.42	 	0	0	 	633	98.75	 	8	1.25	 	641	0.89
Eagleby		                                    	5	0.66	 	0	0	 	0	0	 	1	0.13	 	12	1.58	 	1	0.13	 	9	1.18	 	2	0.26	 	161	21.16	 	2	0.26	 	2	0.26	 	3	0.39	 	1	0.13	 	29	3.81	 	2	0.26	 	321	42.18	 	193	25.36	 	7	0.92	 	1	0.13	 	1	0.13	 	8	1.05	 	0	0	 	761	95.96	 	32	4.04	 	793	1.1
Eagleby South		                              	25	0.98	 	1	0.04	 	0	0	 	13	0.51	 	32	1.25	 	9	0.35	 	65	2.55	 	11	0.43	 	424	16.63	 	1	0.04	 	19	0.75	 	1	0.04	 	2	0.08	 	137	5.37	 	12	0.47	 	1203	47.18	 	535	20.98	 	18	0.71	 	1	0.04	 	8	0.31	 	33	1.29	 	0	0	 	2550	96.26	 	99	3.74	 	2649	3.69
Edens Landing		                              	12	0.8	 	1	0.07	 	0	0	 	15	1	 	22	1.46	 	5	0.33	 	27	1.79	 	6	0.4	 	193	12.81	 	1	0.07	 	8	0.53	 	0	0	 	1	0.07	 	102	6.77	 	6	0.4	 	560	37.16	 	518	34.37	 	5	0.33	 	0	0	 	3	0.2	 	22	1.46	 	0	0	 	1507	97.35	 	41	2.65	 	1548	2.15
Flagstone		                                  	2	0.23	 	1	0.12	 	0	0	 	7	0.82	 	32	3.74	 	2	0.23	 	8	0.93	 	0	0	 	156	18.22	 	0	0	 	5	0.58	 	1	0.12	 	2	0.23	 	77	9	 	2	0.23	 	292	34.11	 	244	28.5	 	3	0.35	 	0	0	 	2	0.23	 	20	2.34	 	0	0	 	856	97.49	 	22	2.51	 	878	1.22
Greenbank		                                  	8	0.39	 	1	0.05	 	0	0	 	11	0.53	 	114	5.49	 	8	0.39	 	18	0.87	 	0	0	 	429	20.67	 	6	0.29	 	8	0.39	 	0	0	 	2	0.1	 	174	8.39	 	4	0.19	 	614	29.59	 	615	29.64	 	10	0.48	 	0	0	 	6	0.29	 	47	2.27	 	0	0	 	2075	96.65	 	72	3.35	 	2147	2.99
Hillview		                                   	0	0	 	0	0	 	0	0	 	0	0	 	46	32.62	 	2	1.42	 	0	0	 	0	0	 	40	28.37	 	1	0.71	 	2	1.42	 	0	0	 	0	0	 	10	7.09	 	1	0.71	 	15	10.64	 	20	14.18	 	1	0.71	 	1	0.71	 	1	0.71	 	1	0.71	 	0	0	 	141	99.3	 	1	0.7	 	142	0.2
Jimboomba		                                  	18	0.41	 	2	0.05	 	3	0.07	 	16	0.37	 	249	5.71	 	11	0.25	 	29	0.66	 	4	0.09	 	816	18.7	 	10	0.23	 	26	0.6	 	2	0.05	 	5	0.11	 	403	9.24	 	10	0.23	 	1198	27.46	 	1435	32.89	 	25	0.57	 	1	0.02	 	16	0.37	 	84	1.93	 	0	0	 	4363	96.27	 	169	3.73	 	4532	6.31
Kalbar		                                     	3	0.36	 	0	0	 	0	0	 	1	0.12	 	179	21.72	 	1	0.12	 	5	0.61	 	4	0.49	 	280	33.98	 	1	0.12	 	7	0.85	 	0	0	 	2	0.24	 	39	4.73	 	1	0.12	 	119	14.44	 	168	20.39	 	1	0.12	 	0	0	 	1	0.12	 	12	1.46	 	0	0	 	824	97.63	 	20	2.37	 	844	1.17
Kerry		                                      	0	0	 	0	0	 	0	0	 	1	0.48	 	71	34.3	 	0	0	 	3	1.45	 	0	0	 	44	21.26	 	0	0	 	0	0	 	0	0	 	0	0	 	12	5.8	 	0	0	 	18	8.7	 	57	27.54	 	0	0	 	0	0	 	0	0	 	1	0.48	 	0	0	 	207	98.1	 	4	1.9	 	211	0.29
Loganholme (Forde)		                         	10	0.68	 	0	0	 	2	0.14	 	12	0.82	 	12	0.82	 	4	0.27	 	45	3.08	 	2	0.14	 	212	14.5	 	0	0	 	4	0.27	 	1	0.07	 	0	0	 	106	7.25	 	3	0.21	 	520	35.57	 	492	33.65	 	8	0.55	 	0	0	 	4	0.27	 	25	1.71	 	0	0	 	1462	97.73	 	34	2.27	 	1496	2.08
Loganlea		                                   	14	0.86	 	0	0	 	0	0	 	12	0.74	 	18	1.1	 	1	0.06	 	22	1.35	 	4	0.25	 	264	16.21	 	0	0	 	10	0.61	 	3	0.18	 	4	0.25	 	100	6.14	 	5	0.31	 	656	40.27	 	475	29.16	 	5	0.31	 	0	0	 	6	0.37	 	29	1.78	 	1	0.06	 	1629	97.37	 	44	2.63	 	1673	2.33
Logan Reserve		                              	8	0.67	 	0	0	 	0	0	 	3	0.25	 	91	7.66	 	3	0.25	 	14	1.18	 	1	0.08	 	219	18.43	 	1	0.08	 	5	0.42	 	1	0.08	 	0	0	 	101	8.5	 	0	0	 	339	28.54	 	375	31.57	 	4	0.34	 	0	0	 	4	0.34	 	19	1.6	 	0	0	 	1188	98.34	 	20	1.66	 	1208	1.68
Logan Village		                              	14	0.55	 	0	0	 	0	0	 	7	0.27	 	147	5.72	 	30	1.17	 	19	0.74	 	5	0.19	 	516	20.09	 	12	0.47	 	9	0.35	 	3	0.12	 	3	0.12	 	227	8.84	 	5	0.19	 	720	28.04	 	798	31.07	 	4	0.16	 	0	0	 	4	0.16	 	45	1.75	 	0	0	 	2568	96.83	 	84	3.17	 	2652	3.69
Marsden East		                               	5	0.5	 	1	0.1	 	0	0	 	4	0.4	 	8	0.8	 	3	0.3	 	13	1.31	 	3	0.3	 	210	21.08	 	0	0	 	4	0.4	 	0	0	 	1	0.1	 	42	4.22	 	0	0	 	449	45.08	 	222	22.29	 	4	0.4	 	1	0.1	 	2	0.2	 	24	2.41	 	0	0	 	996	95.59	 	46	4.41	 	1042	1.45
Mount Alford		                               	4	1.33	 	0	0	 	0	0	 	1	0.33	 	61	20.27	 	0	0	 	0	0	 	0	0	 	86	28.57	 	0	0	 	1	0.33	 	0	0	 	0	0	 	10	3.32	 	0	0	 	38	12.62	 	97	32.23	 	0	0	 	0	0	 	0	0	 	3	1	 	0	0	 	301	97.1	 	9	2.9	 	310	0.43
Mount Warren Park		                          	26	0.8	 	0	0	 	1	0.03	 	10	0.31	 	101	3.12	 	3	0.09	 	23	0.71	 	1	0.03	 	415	12.83	 	1	0.03	 	11	0.34	 	1	0.03	 	2	0.06	 	282	8.72	 	9	0.28	 	1150	35.56	 	1139	35.22	 	10	0.31	 	3	0.09	 	7	0.22	 	36	1.11	 	3	0.09	 	3234	95.37	 	157	4.63	 	3391	4.72
Numinbah Valley		                            	1	1.01	 	0	0	 	0	0	 	0	0	 	29	29.29	 	0	0	 	3	3.03	 	0	0	 	28	28.28	 	0	0	 	0	0	 	0	0	 	0	0	 	9	9.09	 	0	0	 	13	13.13	 	15	15.15	 	1	1.01	 	0	0	 	0	0	 	0	0	 	0	0	 	99	95.19	 	5	4.81	 	104	0.14
Ormeau		                                     	5	0.39	 	0	0	 	0	0	 	3	0.23	 	53	4.09	 	1	0.08	 	22	1.7	 	0	0	 	167	12.88	 	0	0	 	4	0.31	 	1	0.08	 	2	0.15	 	76	5.86	 	3	0.23	 	353	27.22	 	577	44.49	 	2	0.15	 	0	0	 	5	0.39	 	23	1.77	 	0	0	 	1297	97.67	 	31	2.33	 	1328	1.85
Oxenford		                                   	12	0.88	 	0	0	 	1	0.07	 	3	0.22	 	91	6.71	 	3	0.22	 	25	1.84	 	2	0.15	 	205	15.12	 	0	0	 	2	0.15	 	0	0	 	0	0	 	88	6.49	 	6	0.44	 	280	20.65	 	605	44.62	 	5	0.37	 	0	0	 	2	0.15	 	26	1.92	 	0	0	 	1356	97.2	 	39	2.8	 	1395	1.94
Park Ridge (Forde)		                         	8	0.4	 	0	0	 	1	0.05	 	4	0.2	 	22	1.11	 	2	0.1	 	9	0.45	 	5	0.25	 	321	16.13	 	0	0	 	10	0.5	 	0	0	 	3	0.15	 	168	8.44	 	7	0.35	 	620	31.16	 	759	38.14	 	9	0.45	 	0	0	 	8	0.4	 	34	1.71	 	0	0	 	1990	97.64	 	48	2.36	 	2038	2.84
Pimpama		                                    	1	0.36	 	0	0	 	0	0	 	2	0.73	 	42	15.27	 	0	0	 	2	0.73	 	1	0.36	 	36	13.09	 	0	0	 	0	0	 	0	0	 	0	0	 	23	8.36	 	1	0.36	 	56	20.36	 	102	37.09	 	0	0	 	0	0	 	0	0	 	9	3.27	 	0	0	 	275	96.49	 	10	3.51	 	285	0.4
Rathdowney		                                 	3	0.63	 	0	0	 	0	0	 	1	0.21	 	103	21.64	 	2	0.42	 	1	0.21	 	1	0.21	 	145	30.46	 	0	0	 	2	0.42	 	0	0	 	1	0.21	 	24	5.04	 	0	0	 	68	14.29	 	112	23.53	 	2	0.42	 	0	0	 	3	0.63	 	7	1.47	 	1	0.21	 	476	97.94	 	10	2.06	 	486	0.68
Roadvale		                                   	2	0.59	 	0	0	 	0	0	 	2	0.59	 	56	16.42	 	0	0	 	1	0.29	 	0	0	 	106	31.09	 	2	0.59	 	3	0.88	 	0	0	 	0	0	 	14	4.11	 	0	0	 	45	13.2	 	104	30.5	 	0	0	 	0	0	 	2	0.59	 	4	1.17	 	0	0	 	341	95.25	 	17	4.75	 	358	0.5
St. Bernard		                                	2	0.24	 	1	0.12	 	0	0	 	0	0	 	41	4.94	 	7	0.84	 	18	2.17	 	1	0.12	 	117	14.1	 	0	0	 	1	0.12	 	1	0.12	 	0	0	 	89	10.72	 	1	0.12	 	149	17.95	 	380	45.78	 	1	0.12	 	0	0	 	2	0.24	 	18	2.17	 	1	0.12	 	830	97.76	 	19	2.24	 	849	1.18
Studio Village		                             	9	0.42	 	5	0.23	 	0	0	 	11	0.51	 	79	3.65	 	2	0.09	 	94	4.34	 	2	0.09	 	220	10.15	 	0	0	 	7	0.32	 	0	0	 	2	0.09	 	153	7.06	 	4	0.18	 	683	31.52	 	842	38.86	 	11	0.51	 	0	0	 	7	0.32	 	36	1.66	 	0	0	 	2167	96.65	 	75	3.35	 	2242	3.12
Tamborine		                                  	4	0.41	 	0	0	 	0	0	 	7	0.72	 	65	6.73	 	7	0.72	 	4	0.41	 	2	0.21	 	205	21.22	 	0	0	 	3	0.31	 	1	0.1	 	0	0	 	81	8.39	 	0	0	 	239	24.74	 	328	33.95	 	0	0	 	0	0	 	4	0.41	 	16	1.66	 	0	0	 	966	96.6	 	34	3.4	 	1000	1.39
Tamborine North		                            	3	0.16	 	1	0.05	 	1	0.05	 	2	0.11	 	121	6.48	 	5	0.27	 	40	2.14	 	0	0	 	284	15.22	 	1	0.05	 	2	0.11	 	0	0	 	2	0.11	 	239	12.81	 	1	0.05	 	381	20.42	 	721	38.64	 	3	0.16	 	0	0	 	4	0.21	 	55	2.95	 	0	0	 	1866	97.65	 	45	2.35	 	1911	2.66
Tamrookum		                                  	10	1.66	 	0	0	 	0	0	 	1	0.17	 	113	18.74	 	4	0.66	 	0	0	 	1	0.17	 	111	18.41	 	0	0	 	5	0.83	 	0	0	 	1	0.17	 	36	5.97	 	1	0.17	 	100	16.58	 	201	33.33	 	1	0.17	 	0	0	 	2	0.33	 	16	2.65	 	0	0	 	603	94.96	 	32	5.04	 	635	0.88
Upper Coomera		                              	7	0.55	 	0	0	 	0	0	 	6	0.47	 	103	8.12	 	1	0.08	 	12	0.95	 	0	0	 	197	15.54	 	1	0.08	 	9	0.71	 	2	0.16	 	0	0	 	71	5.6	 	4	0.32	 	232	18.3	 	582	45.9	 	5	0.39	 	0	0	 	1	0.08	 	35	2.76	 	0	0	 	1268	95.92	 	54	4.08	 	1322	1.84
Waterford		                                  	3	0.98	 	0	0	 	0	0	 	1	0.33	 	8	2.61	 	1	0.33	 	4	1.31	 	0	0	 	50	16.34	 	0	0	 	1	0.33	 	0	0	 	0	0	 	23	7.52	 	1	0.33	 	107	34.97	 	98	32.03	 	2	0.65	 	0	0	 	0	0	 	7	2.29	 	0	0	 	306	96.84	 	10	3.16	 	316	0.44
Waterford West		                             	14	0.56	 	1	0.04	 	0	0	 	16	0.64	 	33	1.32	 	5	0.2	 	25	1	 	1	0.04	 	468	18.76	 	5	0.2	 	9	0.36	 	0	0	 	4	0.16	 	207	8.3	 	11	0.44	 	974	39.04	 	664	26.61	 	12	0.48	 	3	0.12	 	5	0.2	 	38	1.52	 	0	0	 	2495	97.54	 	63	2.46	 	2558	3.56
Windaroo		                                   	5	0.31	 	1	0.06	 	0	0	 	4	0.25	 	92	5.75	 	2	0.12	 	14	0.87	 	0	0	 	218	13.62	 	3	0.19	 	5	0.31	 	0	0	 	1	0.06	 	129	8.06	 	4	0.25	 	413	25.8	 	681	42.54	 	3	0.19	 	0	0	 	6	0.37	 	20	1.25	 	0	0	 	1601	97.27	 	45	2.73	 	1646	2.29
Woodhill		                                   	5	0.62	 	0	0	 	0	0	 	1	0.12	 	139	17.2	 	2	0.25	 	6	0.74	 	0	0	 	165	20.42	 	1	0.12	 	6	0.74	 	0	0	 	0	0	 	51	6.31	 	0	0	 	172	21.29	 	249	30.82	 	2	0.25	 	0	0	 	1	0.12	 	8	0.99	 	0	0	 	808	96.88	 	26	3.12	 	834	1.16
Special Hospitals		                          	6	2.96	 	2	0.99	 	0	0	 	1	0.49	 	23	11.33	 	2	0.99	 	1	0.49	 	0	0	 	14	6.9	 	1	0.49	 	0	0	 	0	0	 	1	0.49	 	7	3.45	 	2	0.99	 	67	33	 	73	35.96	 	2	0.99	 	0	0	 	1	0.49	 	0	0	 	0	0	 	203	93.55	 	14	6.45	 	217	0.3
Total Ordinary		                             	342	0.59	 	21	0.04	 	12	0.02	 	237	0.41	 	3586	6.16	 	163	0.28	 	743	1.28	 	79	0.14	 	10132	17.41	 	74	0.13	 	243	0.42	 	34	0.06	 	52	0.09	 	4383	7.53	 	130	0.22	 	17302	29.74	 	19227	33.05	 	215	0.37	 	13	0.02	 	155	0.27	 	1032	1.77	 	8	0.01	 	58183	96.72	 	1975	3.28	 	60158	83.73
ABSENT		                                     	24	0.41	 	3	0.05	 	2	0.03	 	25	0.43	 	299	5.12	 	10	0.17	 	109	1.87	 	12	0.21	 	876	15.01	 	2	0.03	 	30	0.51	 	6	0.1	 	1	0.02	 	450	7.71	 	15	0.26	 	1698	29.1	 	2017	34.56	 	28	0.48	 	6	0.1	 	10	0.17	 	209	3.58	 	4	0.07	 	5836	98.28	 	102	1.72	 	5938	8.26
POSTAL		                                     	12	0.53	 	0	0	 	1	0.04	 	5	0.22	 	140	6.18	 	7	0.31	 	41	1.81	 	2	0.09	 	373	16.45	 	6	0.26	 	3	0.13	 	3	0.13	 	4	0.18	 	144	6.35	 	5	0.22	 	660	29.11	 	799	35.24	 	14	0.62	 	1	0.04	 	4	0.18	 	42	1.85	 	1	0.04	 	2267	98.95	 	24	1.05	 	2291	3.19
PRE_POLL		                                   	15	0.5	 	0	0	 	1	0.03	 	18	0.6	 	99	3.28	 	6	0.2	 	49	1.62	 	7	0.23	 	517	17.13	 	1	0.03	 	18	0.6	 	2	0.07	 	3	0.1	 	173	5.73	 	10	0.33	 	905	29.99	 	1097	36.35	 	14	0.46	 	0	0	 	6	0.2	 	76	2.52	 	1	0.03	 	3018	98.66	 	41	1.34	 	3059	4.26
PROVISIONAL		                                	3	0.77	 	0	0	 	1	0.26	 	1	0.26	 	12	3.08	 	2	0.51	 	6	1.54	 	1	0.26	 	75	19.23	 	0	0	 	1	0.26	 	1	0.26	 	0	0	 	15	3.85	 	2	0.51	 	161	41.28	 	96	24.62	 	0	0	 	0	0	 	0	0	 	12	3.08	 	1	0.26	 	390	97.01	 	12	2.99	 	402	0.56
Division Summary		                           	396	0.57	 	24	0.03	 	17	0.02	 	286	0.41	 	4136	5.93	 	188	0.27	 	948	1.36	 	101	0.14	 	11973	17.18	 	83	0.12	 	295	0.42	 	46	0.07	 	60	0.09	 	5165	7.41	 	162	0.23	 	20726	29.74	 	23236	33.34	 	271	0.39	 	20	0.03	 	175	0.25	 	1371	1.97	 	15	0.02	 	69694	97	 	2154	3	 	71848	93.62


Griffith (86293)																																																																												

