House of Representatives - 2001 Election: Victoria																																									
Distribution of Preferences																																									
By Polling Place																																									
Gippsland																																									
				JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			MCGAURAN			ROBINSON			AITKEN				
		TOTAL					90	7.46		45	3.73														362	29.99		95	7.87		592	49.05					23	1.91		1207	
	EIGHTH						8	17.78			Excluded														16	35.56		8	17.78		9	20.00					4	8.89		45	
		TOTAL					98	8.12																	378	31.32		103	8.53		601	49.79					27	2.24		1207	
	NINTH							Excluded																	35	35.71		52	53.06		9	9.18					2	2.04		98	
		TOTAL																							413	34.22		155	12.84		610	50.54					29	2.40		1207	
	TENTH																								15	51.72		11	37.93		3	10.34						Excluded		29	
		TOTAL																							428	35.46		166	13.75		613	50.79								1207	
	ELEVENTH																								94	56.63			Excluded		72	43.37								166	
		TOTAL																							522	43.25					685	56.75								1207	
																															Elected										
																																									
Inverloch                                                      																																									
	FIRST			26	1.16		86	3.84		107	4.78		25	1.12		15	0.67		25	1.12		2	0.09		777	34.70		78	3.48		843	37.65		5	0.22		250	11.17		2239	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		27	1.21		86	3.84		107	4.78		25	1.12		15	0.67		25	1.12					777	34.70		78	3.48		843	37.65		5	0.22		251	11.21		2239	
	THIRD			4	80.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	20.00		5	
		TOTAL		31	1.38		86	3.84		107	4.78		25	1.12		15	0.67		25	1.12					777	34.70		78	3.48		843	37.65					252	11.26		2239	
	FOURTH			12	48.00		0	0.00		2	8.00		3	12.00		3	12.00			Excluded					2	8.00		2	8.00		0	0.00					1	4.00		25	
		TOTAL		43	1.92		86	3.84		109	4.87		28	1.25		18	0.80								779	34.79		80	3.57		843	37.65					253	11.30		2239	
	FIFTH			1	5.56		0	0.00		3	16.67		6	33.33			Excluded								2	11.11		3	16.67		2	11.11					1	5.56		18	
		TOTAL		44	1.97		86	3.84		112	5.00		34	1.52											781	34.88		83	3.71		845	37.74					254	11.34		2239	
	SIXTH			7	20.59		3	8.82		3	8.82			Excluded											0	0.00		15	44.12		2	5.88					4	11.76		34	
		TOTAL		51	2.28		89	3.97		115	5.14														781	34.88		98	4.38		847	37.83					258	11.52		2239	
	SEVENTH				Excluded		13	25.49		6	11.76														3	5.88		12	23.53		3	5.88					14	27.45		51	
		TOTAL					102	4.56		121	5.40														784	35.02		110	4.91		850	37.96					272	12.15		2239	
	EIGHTH						6	4.96			Excluded														15	12.40		7	5.79		14	11.57					79	65.29		121	
		TOTAL					108	4.82																	799	35.69		117	5.23		864	38.59					351	15.68		2239	
	NINTH							Excluded																	28	25.93		59	54.63		15	13.89					6	5.56		108	
		TOTAL																							827	36.94		176	7.86		879	39.26					357	15.94		2239	
	TENTH																								213	59.66		50	14.01		94	26.33						Excluded		357	
		TOTAL																							1040	46.45		226	10.09		973	43.46								2239	
	ELEVENTH																								124	54.87			Excluded		102	45.13								226	
		TOTAL																							1164	51.99					1075	48.01								2239	
																															Elected										
																																									
Johnsonville                                                   																																									
	FIRST			10	1.86		57	10.61		16	2.98		15	2.79		6	1.12		3	0.56		4	0.74		121	22.53		22	4.10		265	49.35		0	0.00		18	3.35		537	
	SECOND			1	25.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		11	2.05		57	10.61		18	3.35		15	2.79		6	1.12		3	0.56					121	22.53		23	4.28		265	49.35		0	0.00		18	3.35		537	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		11	2.05		57	10.61		18	3.35		15	2.79		6	1.12		3	0.56					121	22.53		23	4.28		265	49.35					18	3.35		537	
	FOURTH			0	0.00		0	0.00		2	66.67		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		1	33.33					0	0.00		3	
		TOTAL		11	2.05		57	10.61		20	3.72		15	2.79		6	1.12								121	22.53		23	4.28		266	49.53					18	3.35		537	
	FIFTH			0	0.00		0	0.00		0	0.00		1	16.67			Excluded								0	0.00		3	50.00		2	33.33					0	0.00		6	
		TOTAL		11	2.05		57	10.61		20	3.72		16	2.98											121	22.53		26	4.84		268	49.91					18	3.35		537	
	SIXTH			4	25.00		1	6.25		0	0.00			Excluded											2	12.50		6	37.50		2	12.50					1	6.25		16	
		TOTAL		15	2.79		58	10.80		20	3.72														123	22.91		32	5.96		270	50.28					19	3.54		537	
	SEVENTH				Excluded		7	46.67		2	13.33														0	0.00		3	20.00		2	13.33					1	6.67		15	
		TOTAL					65	12.10		22	4.10														123	22.91		35	6.52		272	50.65					20	3.72		537	
	EIGHTH						0	0.00			Excluded														5	22.73		2	9.09		5	22.73					10	45.45		22	
		TOTAL					65	12.10																	128	23.84		37	6.89		277	51.58					30	5.59		537	
	NINTH							Excluded																	11	16.92		40	61.54		12	18.46					2	3.08		65	
		TOTAL																							139	25.88		77	14.34		289	53.82					32	5.96		537	
	TENTH																								22	68.75		5	15.63		5	15.63						Excluded		32	
		TOTAL																							161	29.98		82	15.27		294	54.75								537	
	ELEVENTH																								52	63.41			Excluded		30	36.59								82	
		TOTAL																							213	39.66					324	60.34								537	
																															Elected										
																																									
Kilmany                                                        																																									
	FIRST			3	2.65		8	7.08		8	7.08		0	0.00		2	1.77		1	0.88		0	0.00		10	8.85		7	6.19		71	62.83		1	0.88		2	1.77		113	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.65		8	7.08		8	7.08		0	0.00		2	1.77		1	0.88					10	8.85		7	6.19		71	62.83		1	0.88		2	1.77		113	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		3	2.65		8	7.08		8	7.08		0	0.00		2	1.77		1	0.88					10	8.85		7	6.19		72	63.72					2	1.77		113	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	2.65		8	7.08		8	7.08		0	0.00		3	2.65								10	8.85		7	6.19		72	63.72					2	1.77		113	
	FIFTH			1	33.33		0	0.00		0	0.00		1	33.33			Excluded								1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL		4	3.54		8	7.08		8	7.08		1	0.88											11	9.73		7	6.19		72	63.72					2	1.77		113	
	SIXTH			0	0.00		0	0.00		1	100.00			Excluded											0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	3.54		8	7.08		9	7.96														11	9.73		7	6.19		72	63.72					2	1.77		113	
	SEVENTH				Excluded		1	25.00		0	0.00														0	0.00		0	0.00		1	25.00					2	50.00		4	
		TOTAL					9	7.96		9	7.96														11	9.73		7	6.19		73	64.60					4	3.54		113	
	EIGHTH						1	11.11			Excluded														1	11.11		2	22.22		1	11.11					4	44.44		9	
		TOTAL					10	8.85																	12	10.62		9	7.96		74	65.49					8	7.08		113	
	NINTH							Excluded																	1	10.00		7	70.00		1	10.00					1	10.00		10	
		TOTAL																							13	11.50		16	14.16		75	66.37					9	7.96		113	
	TENTH																								2	22.22		6	66.67		1	11.11						Excluded		9	
		TOTAL																							15	13.27		22	19.47		76	67.26								113	
	ELEVENTH																								14	63.64			Excluded		8	36.36								22	
		TOTAL																							29	25.66					84	74.34								113	
																															Elected										
																																									
Kongwak                                                        																																									
	FIRST			4	1.85		6	2.78		2	0.93		3	1.39		1	0.46		1	0.46		0	0.00		38	17.59		16	7.41		128	59.26		1	0.46		16	7.41		216	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	1.85		6	2.78		2	0.93		3	1.39		1	0.46		1	0.46					38	17.59		16	7.41		128	59.26		1	0.46		16	7.41		216	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		4	1.85		6	2.78		2	0.93		3	1.39		1	0.46		1	0.46					38	17.59		17	7.87		128	59.26					16	7.41		216	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL		4	1.85		6	2.78		2	0.93		3	1.39		1	0.46								38	17.59		17	7.87		129	59.72					16	7.41		216	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		4	1.85		6	2.78		2	0.93		3	1.39											38	17.59		18	8.33		129	59.72					16	7.41		216	
	SIXTH			1	33.33		0	0.00		0	0.00			Excluded											0	0.00		2	66.67		0	0.00					0	0.00		3	
		TOTAL		5	2.31		6	2.78		2	0.93														38	17.59		20	9.26		129	59.72					16	7.41		216	
	SEVENTH				Excluded		1	20.00		0	0.00														0	0.00		4	80.00		0	0.00					0	0.00		5	
		TOTAL					7	3.24		2	0.93														38	17.59		24	11.11		129	59.72					16	7.41		216	
	EIGHTH						0	0.00			Excluded														1	50.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL					7	3.24																	39	18.06		24	11.11		130	60.19					16	7.41		216	
	NINTH							Excluded																	1	14.29		3	42.86		3	42.86					0	0.00		7	
		TOTAL																							40	18.52		27	12.50		133	61.57					16	7.41		216	
	TENTH																								9	56.25		3	18.75		4	25.00						Excluded		16	
		TOTAL																							49	22.69		30	13.89		137	63.43								216	
	ELEVENTH																								17	56.67			Excluded		13	43.33								30	
		TOTAL																							66	30.56					150	69.44								216	
																															Elected										
																																									
Koonwarra                                                      																																									
	FIRST			3	1.06		11	3.90		11	3.90		4	1.42		1	0.35		0	0.00		1	0.35		26	9.22		13	4.61		167	59.22		0	0.00		45	15.96		282	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	1.06		11	3.90		11	3.90		4	1.42		1	0.35		1	0.35					26	9.22		13	4.61		167	59.22		0	0.00		45	15.96		282	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	1.06		11	3.90		11	3.90		4	1.42		1	0.35		1	0.35					26	9.22		13	4.61		167	59.22					45	15.96		282	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					1	100.00		1	
		TOTAL		3	1.06		11	3.90		11	3.90		4	1.42		1	0.35								26	9.22		13	4.61		167	59.22					46	16.31		282	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		3	1.06		11	3.90		11	3.90		4	1.42											26	9.22		14	4.96		167	59.22					46	16.31		282	
	SIXTH			1	25.00		1	25.00		0	0.00			Excluded											0	0.00		2	50.00		0	0.00					0	0.00		4	
		TOTAL		4	1.42		12	4.26		11	3.90														26	9.22		16	5.67		167	59.22					46	16.31		282	
	SEVENTH				Excluded		2	50.00		1	25.00														0	0.00		0	0.00		0	0.00					1	25.00		4	
		TOTAL					14	4.96		12	4.26														26	9.22		16	5.67		167	59.22					47	16.67		282	
	EIGHTH						1	8.33			Excluded														3	25.00		2	16.67		0	0.00					6	50.00		12	
		TOTAL					15	5.32																	29	10.28		18	6.38		167	59.22					53	18.79		282	
	NINTH							Excluded																	2	13.33		6	40.00		5	33.33					2	13.33		15	
		TOTAL																							31	10.99		24	8.51		172	60.99					55	19.50		282	
	TENTH																								29	52.73		12	21.82		14	25.45						Excluded		55	
		TOTAL																							60	21.28		36	12.77		186	65.96								282	
	ELEVENTH																								18	50.00			Excluded		18	50.00								36	
		TOTAL																							78	27.66					204	72.34								282	
																															Elected										
																																									
Korumburra                                                     																																									
	FIRST			50	2.19		98	4.30		87	3.82		26	1.14		8	0.35		17	0.75		2	0.09		643	28.21		77	3.38		1099	48.22		5	0.22		167	7.33		2279	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		50	2.19		99	4.34		87	3.82		27	1.18		8	0.35		17	0.75					643	28.21		77	3.38		1099	48.22		5	0.22		167	7.33		2279	
	THIRD			1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	40.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		51	2.24		99	4.34		87	3.82		27	1.18		8	0.35		17	0.75					643	28.21		79	3.47		1100	48.27					168	7.37		2279	
	FOURTH			8	47.06		0	0.00		1	5.88		1	5.88		5	29.41			Excluded					0	0.00		1	5.88		1	5.88					0	0.00		17	
		TOTAL		59	2.59		99	4.34		88	3.86		28	1.23		13	0.57								643	28.21		80	3.51		1101	48.31					168	7.37		2279	
	FIFTH			3	23.08		3	23.08		0	0.00		5	38.46			Excluded								0	0.00		1	7.69		1	7.69					0	0.00		13	
		TOTAL		62	2.72		102	4.48		88	3.86		33	1.45											643	28.21		81	3.55		1102	48.35					168	7.37		2279	
	SIXTH			9	27.27		0	0.00		8	24.24			Excluded											2	6.06		9	27.27		3	9.09					2	6.06		33	
		TOTAL		71	3.12		102	4.48		96	4.21														645	28.30		90	3.95		1105	48.49					170	7.46		2279	
	SEVENTH				Excluded		21	29.58		7	9.86														2	2.82		23	32.39		6	8.45					12	16.90		71	
		TOTAL					123	5.40		103	4.52														647	28.39		113	4.96		1111	48.75					182	7.99		2279	
	EIGHTH						12	11.65			Excluded														18	17.48		10	9.71		13	12.62					50	48.54		103	
		TOTAL					135	5.92																	665	29.18		123	5.40		1124	49.32					232	10.18		2279	
	NINTH							Excluded																	38	28.15		68	50.37		20	14.81					9	6.67		135	
		TOTAL																							703	30.85		191	8.38		1144	50.20					241	10.57		2279	
	TENTH																								120	49.79		44	18.26		77	31.95						Excluded		241	
		TOTAL																							823	36.11		235	10.31		1221	53.58								2279	
	ELEVENTH																								126	53.62			Excluded		109	46.38								235	
		TOTAL																							949	41.64					1330	58.36								2279	
																															Elected										
																																									
Lakes Entrance                                                 																																									
	FIRST			33	1.01		188	5.74		126	3.84		41	1.25		53	1.62		104	3.17		16	0.49		935	28.52		119	3.63		1544	47.10		36	1.10		83	2.53		3278	
	SECOND			5	31.25		0	0.00		1	6.25		3	18.75		2	12.50		1	6.25			Excluded		3	18.75		0	0.00		1	6.25		0	0.00		0	0.00		16	
		TOTAL		38	1.16		188	5.74		127	3.87		44	1.34		55	1.68		105	3.20					938	28.62		119	3.63		1545	47.13		36	1.10		83	2.53		3278	
	THIRD			20	55.56		0	0.00		0	0.00		1	2.78		0	0.00		1	2.78					4	11.11		7	19.44		2	5.56			Excluded		1	2.78		36	
		TOTAL		58	1.77		188	5.74		127	3.87		45	1.37		55	1.68		106	3.23					942	28.74		126	3.84		1547	47.19					84	2.56		3278	
	FOURTH			37	34.91		6	5.66		2	1.89		6	5.66		12	11.32			Excluded					17	16.04		5	4.72		15	14.15					6	5.66		106	
		TOTAL		95	2.90		194	5.92		129	3.94		51	1.56		67	2.04								959	29.26		131	4.00		1562	47.65					90	2.75		3278	
	FIFTH			13	19.40		10	14.93		4	5.97		16	23.88			Excluded								10	14.93		5	7.46		7	10.45					2	2.99		67	
		TOTAL		108	3.29		204	6.22		133	4.06		67	2.04											969	29.56		136	4.15		1569	47.86					92	2.81		3278	
	SIXTH			15	22.39		9	13.43		7	10.45			Excluded											9	13.43		16	23.88		5	7.46					6	8.96		67	
		TOTAL		123	3.75		213	6.50		140	4.27														978	29.84		152	4.64		1574	48.02					98	2.99		3278	
	SEVENTH				Excluded		25	20.33		15	12.20														4	3.25		43	34.96		2	1.63					34	27.64		123	
		TOTAL					238	7.26		155	4.73														982	29.96		195	5.95		1576	48.08					132	4.03		3278	
	EIGHTH						20	12.90			Excluded														28	18.06		13	8.39		24	15.48					70	45.16		155	
		TOTAL					258	7.87																	1010	30.81		208	6.35		1600	48.81					202	6.16		3278	
	NINTH							Excluded																	73	28.29		119	46.12		45	17.44					21	8.14		258	
		TOTAL																							1083	33.04		327	9.98		1645	50.18					223	6.80		3278	
	TENTH																								82	36.77		74	33.18		67	30.04						Excluded		223	
		TOTAL																							1165	35.54		401	12.23		1712	52.23								3278	
	ELEVENTH																								213	53.12			Excluded		188	46.88								401	
		TOTAL																							1378	42.04					1900	57.96								3278	
																															Elected										
																																									
Leongatha                                                      																																									
	FIRST			49	1.50		103	3.16		106	3.26		26	0.80		19	0.58		9	0.28		5	0.15		659	20.24		139	4.27		1793	55.07		13	0.40		335	10.29		3256	
	SECOND			2	40.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00			Excluded		0	0.00		1	20.00		0	0.00		1	20.00		0	0.00		5	
		TOTAL		51	1.57		103	3.16		106	3.26		26	0.80		19	0.58		10	0.31					659	20.24		140	4.30		1793	55.07		14	0.43		335	10.29		3256	
	THIRD			3	21.43		0	0.00		0	0.00		2	14.29		0	0.00		2	14.29					0	0.00		3	21.43		1	7.14			Excluded		3	21.43		14	
		TOTAL		54	1.66		103	3.16		106	3.26		28	0.86		19	0.58		12	0.37					659	20.24		143	4.39		1794	55.10					338	10.38		3256	
	FOURTH			3	25.00		2	16.67		3	25.00		1	8.33		1	8.33			Excluded					1	8.33		0	0.00		0	0.00					1	8.33		12	
		TOTAL		57	1.75		105	3.22		109	3.35		29	0.89		20	0.61								660	20.27		143	4.39		1794	55.10					339	10.41		3256	
	FIFTH			4	20.00		1	5.00		2	10.00		6	30.00			Excluded								0	0.00		2	10.00		5	25.00					0	0.00		20	
		TOTAL		61	1.87		106	3.26		111	3.41		35	1.07											660	20.27		145	4.45		1799	55.25					339	10.41		3256	
	SIXTH			5	14.29		1	2.86		1	2.86			Excluded											6	17.14		20	57.14		0	0.00					2	5.71		35	
		TOTAL		66	2.03		107	3.29		112	3.44														666	20.45		165	5.07		1799	55.25					341	10.47		3256	
	SEVENTH				Excluded		22	33.33		6	9.09														8	12.12		16	24.24		6	9.09					8	12.12		66	
		TOTAL					129	3.96		118	3.62														674	20.70		181	5.56		1805	55.44					349	10.72		3256	
	EIGHTH						14	11.86			Excluded														27	22.88		10	8.47		16	13.56					51	43.22		118	
		TOTAL					143	4.39																	701	21.53		191	5.87		1821	55.93					400	12.29		3256	
	NINTH							Excluded																	44	30.77		57	39.86		23	16.08					19	13.29		143	
		TOTAL																							745	22.88		248	7.62		1844	56.63					419	12.87		3256	
	TENTH																								195	46.54		90	21.48		134	31.98						Excluded		419	
		TOTAL																							940	28.87		338	10.38		1978	60.75								3256	
	ELEVENTH																								174	51.48			Excluded		164	48.52								338	
		TOTAL																							1114	34.21					2142	65.79								3256	
																															Elected										
																																									
Leongatha South                                                																																									
	FIRST			1	0.60		5	3.01		2	1.20		0	0.00		0	0.00		2	1.20		0	0.00		15	9.04		10	6.02		121	72.89		0	0.00		10	6.02		166	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.60		5	3.01		2	1.20		0	0.00		0	0.00		2	1.20					15	9.04		10	6.02		121	72.89		0	0.00		10	6.02		166	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.60		5	3.01		2	1.20		0	0.00		0	0.00		2	1.20					15	9.04		10	6.02		121	72.89					10	6.02		166	
