Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Federal		                                    	8	6.56	 	27	22.13	 	39	31.97	 	0	0	 	0	0	 	5	4.1	 	37	30.33	 	0	0	 	0	0	 	0	0	 	5	4.1	 	1	0.82	 	122	99.19	 	1	0.81	 	123	0.17
Forest Glen		                                	27	3.3	 	169	20.69	 	306	37.45	 	4	0.49	 	0	0	 	36	4.41	 	201	24.6	 	0	0	 	2	0.24	 	8	0.98	 	64	7.83	 	0	0	 	817	98.91	 	9	1.09	 	826	1.12
Kenilworth		                                 	19	3.82	 	166	33.4	 	131	26.36	 	4	0.8	 	0	0	 	20	4.02	 	103	20.72	 	0	0	 	4	0.8	 	11	2.21	 	39	7.85	 	0	0	 	497	97.64	 	12	2.36	 	509	0.69
Kin Kin		                                    	8	2.55	 	79	25.16	 	107	34.08	 	2	0.64	 	0	0	 	19	6.05	 	71	22.61	 	0	0	 	3	0.96	 	2	0.64	 	22	7.01	 	1	0.32	 	314	98.74	 	4	1.26	 	318	0.43
Kuluin		                                     	12	0.76	 	225	14.23	 	632	39.97	 	10	0.63	 	0	0	 	65	4.11	 	503	31.82	 	0	0	 	3	0.19	 	8	0.51	 	122	7.72	 	1	0.06	 	1581	98.75	 	20	1.25	 	1601	2.18
Kureelpa		                                   	12	3.04	 	91	23.04	 	152	38.48	 	4	1.01	 	0	0	 	7	1.77	 	86	21.77	 	0	0	 	1	0.25	 	5	1.27	 	37	9.37	 	0	0	 	395	99.5	 	2	0.5	 	397	0.54
Mapleton		                                   	28	3.56	 	119	15.14	 	264	33.59	 	1	0.13	 	2	0.25	 	44	5.6	 	229	29.13	 	1	0.13	 	4	0.51	 	16	2.04	 	75	9.54	 	3	0.38	 	786	98.37	 	13	1.63	 	799	1.09
Maroochydore		                               	31	1.42	 	254	11.64	 	831	38.07	 	22	1.01	 	3	0.14	 	91	4.17	 	732	33.53	 	1	0.05	 	8	0.37	 	10	0.46	 	200	9.16	 	0	0	 	2183	98.42	 	35	1.58	 	2218	3.02
Maroochydore East		                          	44	1.53	 	356	12.34	 	1035	35.89	 	11	0.38	 	1	0.03	 	80	2.77	 	1126	39.04	 	5	0.17	 	15	0.52	 	12	0.42	 	196	6.8	 	3	0.1	 	2884	98.03	 	58	1.97	 	2942	4.01
Montville		                                  	17	3.31	 	96	18.71	 	209	40.74	 	0	0	 	0	0	 	35	6.82	 	110	21.44	 	0	0	 	6	1.17	 	3	0.58	 	35	6.82	 	2	0.39	 	513	98.28	 	9	1.72	 	522	0.71
Mooloolaba		                                 	61	1.35	 	500	11.03	 	2044	45.08	 	15	0.33	 	4	0.09	 	168	3.71	 	1389	30.64	 	2	0.04	 	7	0.15	 	52	1.15	 	290	6.4	 	2	0.04	 	4534	98.33	 	77	1.67	 	4611	6.28
Mountain Creek		                             	20	1.29	 	170	10.94	 	815	52.45	 	6	0.39	 	0	0	 	23	1.48	 	423	27.22	 	0	0	 	0	0	 	8	0.51	 	89	5.73	 	0	0	 	1554	98.79	 	19	1.21	 	1573	2.14
Mudjimba Beach		                             	28	1.71	 	177	10.81	 	463	28.28	 	8	0.49	 	1	0.06	 	60	3.67	 	769	46.98	 	0	0	 	3	0.18	 	7	0.43	 	121	7.39	 	0	0	 	1637	97.21	 	47	2.79	 	1684	2.29
Nambour		                                    	41	2.41	 	307	18.05	 	518	30.45	 	23	1.35	 	0	0	 	73	4.29	 	548	32.22	 	2	0.12	 	8	0.47	 	14	0.82	 	165	9.7	 	2	0.12	 	1701	97.65	 	41	2.35	 	1742	2.37
Nambour Hospital		                           	71	3.82	 	369	19.85	 	626	33.67	 	34	1.83	 	3	0.16	 	58	3.12	 	546	29.37	 	0	0	 	7	0.38	 	14	0.75	 	131	7.05	 	0	0	 	1859	97.79	 	42	2.21	 	1901	2.59
Nambour South		                              	47	3.15	 	330	22.1	 	441	29.54	 	18	1.21	 	0	0	 	47	3.15	 	459	30.74	 	0	0	 	3	0.2	 	5	0.33	 	141	9.44	 	2	0.13	 	1493	97.9	 	32	2.1	 	1525	2.08
Noosa Heads		                                	44	1.44	 	156	5.09	 	1507	49.22	 	7	0.23	 	1	0.03	 	128	4.18	 	972	31.74	 	2	0.07	 	6	0.2	 	15	0.49	 	223	7.28	 	1	0.03	 	3062	98.87	 	35	1.13	 	3097	4.22
Noosaville		                                 	45	1.73	 	232	8.9	 	1221	46.85	 	10	0.38	 	0	0	 	94	3.61	 	818	31.39	 	0	0	 	5	0.19	 	11	0.42	 	169	6.49	 	1	0.04	 	2606	98.71	 	34	1.29	 	2640	3.59
North Arm		                                  	12	4.86	 	68	27.53	 	65	26.32	 	0	0	 	1	0.4	 	19	7.69	 	62	25.1	 	0	0	 	1	0.4	 	1	0.4	 	18	7.29	 	0	0	 	247	99.2	 	2	0.8	 	249	0.34
Palmwoods		                                  	41	2.68	 	349	22.83	 	550	35.97	 	14	0.92	 	1	0.07	 	57	3.73	 	381	24.92	 	2	0.13	 	2	0.13	 	23	1.5	 	106	6.93	 	3	0.2	 	1529	97.95	 	32	2.05	 	1561	2.13
Peregian Beach		                             	30	2.18	 	97	7.06	 	552	40.17	 	4	0.29	 	0	0	 	57	4.15	 	480	34.93	 	2	0.15	 	2	0.15	 	5	0.36	 	145	10.55	 	0	0	 	1374	97.93	 	29	2.07	 	1403	1.91
Pomona		                                     	51	5.01	 	204	20.04	 	302	29.67	 	3	0.29	 	2	0.2	 	33	3.24	 	335	32.91	 	0	0	 	4	0.39	 	3	0.29	 	80	7.86	 	1	0.1	 	1018	97.7	 	24	2.3	 	1042	1.42
Tewantin		                                   	80	2.12	 	388	10.26	 	1618	42.78	 	17	0.45	 	5	0.13	 	81	2.14	 	1281	33.87	 	0	0	 	17	0.45	 	9	0.24	 	286	7.56	 	0	0	 	3782	97.6	 	93	2.4	 	3875	5.28
Woombye		                                    	79	4.76	 	460	27.71	 	523	31.51	 	24	1.45	 	2	0.12	 	53	3.19	 	394	23.73	 	0	0	 	5	0.3	 	7	0.42	 	111	6.69	 	2	0.12	 	1660	97.53	 	42	2.47	 	1702	2.32
Yandina		                                    	81	3.94	 	417	20.28	 	630	30.64	 	17	0.83	 	3	0.15	 	94	4.57	 	605	29.43	 	1	0.05	 	6	0.29	 	14	0.68	 	187	9.1	 	1	0.05	 	2056	98.33	 	35	1.67	 	2091	2.85
Special Hospitals		                          	3	0.6	 	139	28.02	 	197	39.72	 	2	0.4	 	0	0	 	5	1.01	 	113	22.78	 	1	0.2	 	3	0.6	 	0	0	 	33	6.65	 	0	0	 	496	94.84	 	27	5.16	 	523	0.71
Total Ordinary		                             	1433	2.3	 	9202	14.77	 	24163	38.77	 	398	0.64	 	39	0.06	 	2262	3.63	 	19334	31.02	 	27	0.04	 	190	0.3	 	386	0.62	 	4850	7.78	 	36	0.06	 	62320	98.16	 	1170	1.84	 	63490	86.44
ABSENT		                                     	88	2.43	 	421	11.65	 	1335	36.93	 	48	1.33	 	4	0.11	 	220	6.09	 	1166	32.25	 	1	0.03	 	12	0.33	 	25	0.69	 	292	8.08	 	3	0.08	 	3615	98.82	 	43	1.18	 	3658	4.98
POSTAL		                                     	52	2.11	 	492	19.92	 	1030	41.7	 	21	0.85	 	1	0.04	 	52	2.11	 	663	26.84	 	0	0	 	5	0.2	 	3	0.12	 	150	6.07	 	1	0.04	 	2470	98.88	 	28	1.12	 	2498	3.4
PRE_POLL		                                   	72	2.03	 	518	14.57	 	1593	44.81	 	28	0.79	 	5	0.14	 	127	3.57	 	960	27	 	0	0	 	6	0.17	 	21	0.59	 	221	6.22	 	4	0.11	 	3555	98.61	 	50	1.39	 	3605	4.91
PROVISIONAL		                                	7	3.65	 	15	7.81	 	66	34.38	 	0	0	 	1	0.52	 	16	8.33	 	66	34.38	 	1	0.52	 	0	0	 	2	1.04	 	18	9.38	 	0	0	 	192	98.46	 	3	1.54	 	195	0.27
ADJUSTMENT		                                 	0		       	-1		       	-1		       	0		       	1		       	0		       	0		       	0		       	-1		       	0		       	-1		       	0		       	-3		       	3		       	0	
Division Summary		                           	1652	2.29	 	10647	14.76	 	28186	39.07	 	495	0.69	 	51	0.07	 	2677	3.71	 	22189	30.75	 	29	0.04	 	212	0.29	 	437	0.61	 	5530	7.66	 	44	0.06	 	72149	98.23	 	1297	1.77	 	73446	95.11
 																																														


Fisher (76577)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Banksia Beach		                              	43	3.22	 	126	9.44	 	525	39.33	 	5	0.37	 	0	0	 	20	1.5	 	511	38.28	 	2	0.15	 	3	0.22	 	2	0.15	 	97	7.27	 	1	0.07	 	1335	97.52	 	34	2.48	 	1369	1.86
Beachmere		                                  	74	4.68	 	143	9.05	 	501	31.71	 	10	0.63	 	3	0.19	 	41	2.59	 	678	42.91	 	1	0.06	 	8	0.51	 	5	0.32	 	116	7.34	 	0	0	 	1580	98.38	 	26	1.62	 	1606	2.18
Beerburrum		                                 	18	6.23	 	43	14.88	 	86	29.76	 	4	1.38	 	0	0	 	8	2.77	 	107	37.02	 	0	0	 	1	0.35	 	0	0	 	21	7.27	 	1	0.35	 	289	98.3	 	5	1.7	 	294	0.4
Beerwah		                                    	97	5.54	 	371	21.2	 	525	30	 	24	1.37	 	0	0	 	68	3.89	 	515	29.43	 	2	0.11	 	11	0.63	 	5	0.29	 	130	7.43	 	2	0.11	 	1750	98.76	 	22	1.24	 	1772	2.4
Bellara		                                    	48	2.34	 	232	11.3	 	731	35.61	 	3	0.15	 	4	0.19	 	40	1.95	 	862	41.99	 	3	0.15	 	9	0.44	 	2	0.1	 	118	5.75	 	1	0.05	 	2053	96.98	 	64	3.02	 	2117	2.87
Blackbutt		                                  	52	6.34	 	180	21.95	 	212	25.85	 	3	0.37	 	0	0	 	15	1.83	 	297	36.22	 	1	0.12	 	4	0.49	 	2	0.24	 	52	6.34	 	2	0.24	 	820	97.04	 	25	2.96	 	845	1.15
Bongaree		                                   	47	2.16	 	210	9.66	 	795	36.59	 	6	0.28	 	4	0.18	 	47	2.16	 	922	42.43	 	0	0	 	8	0.37	 	2	0.09	 	132	6.07	 	0	0	 	2173	97.84	 	48	2.16	 	2221	3.01
Brisbane City (Fisher)		                     	2	2.06	 	9	9.28	 	21	21.65	 	0	0	 	0	0	 	15	15.46	 	36	37.11	 	0	0	 	0	0	 	0	0	 	14	14.43	 	0	0	 	97	97.98	 	2	2.02	 	99	0.13
Buddina (Fisher)		                           	104	2.21	 	498	10.6	 	2039	43.41	 	35	0.75	 	5	0.11	 	119	2.53	 	1572	33.47	 	2	0.04	 	14	0.3	 	11	0.23	 	295	6.28	 	3	0.06	 	4697	98.55	 	69	1.45	 	4766	6.46
Caboolture		                                 	144	3.56	 	455	11.25	 	1165	28.79	 	47	1.16	 	6	0.15	 	130	3.21	 	1732	42.81	 	3	0.07	 	25	0.62	 	10	0.25	 	323	7.98	 	6	0.15	 	4046	98.2	 	74	1.8	 	4120	5.58
Caboolture East		                            	75	4.36	 	173	10.06	 	487	28.31	 	9	0.52	 	4	0.23	 	84	4.88	 	736	42.79	 	3	0.17	 	12	0.7	 	4	0.23	 	131	7.62	 	2	0.12	 	1720	98.45	 	27	1.55	 	1747	2.37
Caboolture West		                            	104	4.12	 	371	14.71	 	772	30.61	 	40	1.59	 	2	0.08	 	71	2.82	 	978	38.78	 	3	0.12	 	12	0.48	 	2	0.08	 	162	6.42	 	5	0.2	 	2522	98.06	 	50	1.94	 	2572	3.49
Caloundra		                                  	92	2.63	 	437	12.48	 	1353	38.65	 	31	0.89	 	7	0.2	 	119	3.4	 	1202	34.33	 	6	0.17	 	8	0.23	 	8	0.23	 	231	6.6	 	7	0.2	 	3501	98.23	 	63	1.77	 	3564	4.83
Caloundra West		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0
Conondale		                                  	25	7.55	 	101	30.51	 	58	17.52	 	2	0.6	 	4	1.21	 	51	15.41	 	73	22.05	 	0	0	 	0	0	 	2	0.6	 	14	4.23	 	1	0.3	 	331	97.93	 	7	2.07	 	338	0.46
Cooyar		                                     	18	9.23	 	100	51.28	 	22	11.28	 	0	0	 	0	0	 	2	1.03	 	44	22.56	 	0	0	 	0	0	 	1	0.51	 	8	4.1	 	0	0	 	195	97.99	 	4	2.01	 	199	0.27
Currimundi		                                 	93	2.2	 	485	11.45	 	1677	39.6	 	39	0.92	 	6	0.14	 	115	2.72	 	1513	35.73	 	0	0	 	19	0.45	 	9	0.21	 	276	6.52	 	3	0.07	 	4235	98.24	 	76	1.76	 	4311	5.84
Donnybrook		                                 	9	2.96	 	34	11.18	 	87	28.62	 	1	0.33	 	1	0.33	 	9	2.96	 	136	44.74	 	1	0.33	 	1	0.33	 	1	0.33	 	24	7.89	 	0	0	 	304	96.82	 	10	3.18	 	314	0.43
Elimbah		                                    	21	3.57	 	101	17.18	 	189	32.14	 	1	0.17	 	0	0	 	17	2.89	 	216	36.73	 	0	0	 	0	0	 	1	0.17	 	40	6.8	 	2	0.34	 	588	98.82	 	7	1.18	 	595	0.81
Glasshouse Mountains		                       	81	6.74	 	300	24.96	 	321	26.71	 	6	0.5	 	0	0	 	34	2.83	 	377	31.36	 	2	0.17	 	4	0.33	 	1	0.08	 	72	5.99	 	4	0.33	 	1202	97.88	 	26	2.12	 	1228	1.66
Glenview		                                   	23	3.76	 	81	13.24	 	266	43.46	 	7	1.14	 	0	0	 	24	3.92	 	160	26.14	 	0	0	 	1	0.16	 	0	0	 	50	8.17	 	0	0	 	612	98.71	 	8	1.29	 	620	0.84
Golden Beach		                               	73	2.34	 	381	12.2	 	1263	40.45	 	7	0.22	 	2	0.06	 	65	2.08	 	1115	35.71	 	2	0.06	 	20	0.64	 	3	0.1	 	189	6.05	 	2	0.06	 	3122	98.05	 	62	1.95	 	3184	4.32
Jimna		                                      	6	10.53	 	14	24.56	 	15	26.32	 	0	0	 	0	0	 	0	0	 	22	38.6	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	57	93.44	 	4	6.56	 	61	0.08
Kawana Waters		                              	74	2.5	 	258	8.73	 	1131	38.25	 	13	0.44	 	4	0.14	 	81	2.74	 	1163	39.33	 	0	0	 	11	0.37	 	5	0.17	 	214	7.24	 	3	0.1	 	2957	98.27	 	52	1.73	 	3009	4.08
Kilcoy		                                     	49	4.05	 	359	29.67	 	332	27.44	 	10	0.83	 	1	0.08	 	21	1.74	 	363	30	 	2	0.17	 	4	0.33	 	2	0.17	 	64	5.29	 	3	0.25	 	1210	97.82	 	27	2.18	 	1237	1.68
Landsborough		                               	92	6.13	 	194	12.92	 	469	31.25	 	24	1.6	 	3	0.2	 	61	4.06	 	533	35.51	 	0	0	 	2	0.13	 	3	0.2	 	118	7.86	 	2	0.13	 	1501	97.85	 	33	2.15	 	1534	2.08
Little Mountain		                            	18	3.79	 	60	12.63	 	254	53.47	 	3	0.63	 	2	0.42	 	6	1.26	 	101	21.26	 	0	0	 	1	0.21	 	1	0.21	 	29	6.11	 	0	0	 	475	98.96	 	5	1.04	 	480	0.65
Maidenwell		                                 	18	10.34	 	85	48.85	 	37	21.26	 	0	0	 	0	0	 	3	1.72	 	26	14.94	 	0	0	 	0	0	 	0	0	 	5	2.87	 	0	0	 	174	98.31	 	3	1.69	 	177	0.24
Maleny		                                     	126	5.31	 	626	26.36	 	664	27.96	 	7	0.29	 	1	0.04	 	169	7.12	 	549	23.12	 	0	0	 	12	0.51	 	9	0.38	 	208	8.76	 	4	0.17	 	2375	98.34	 	40	1.66	 	2415	3.27
Mooloolah		                                  	67	7.3	 	107	11.66	 	318	34.64	 	6	0.65	 	0	0	 	55	5.99	 	292	31.81	 	2	0.22	 	4	0.44	 	0	0	 	66	7.19	 	1	0.11	 	918	98.82	 	11	1.18	 	929	1.26
Moore		                                      	13	4.48	 	111	38.28	 	78	26.9	 	0	0	 	0	0	 	5	1.72	 	65	22.41	 	0	0	 	1	0.34	 	1	0.34	 	14	4.83	 	2	0.69	 	290	98.31	 	5	1.69	 	295	0.4
Morayfield (Fisher)		                        	79	3.94	 	149	7.44	 	586	29.24	 	29	1.45	 	4	0.2	 	59	2.94	 	920	45.91	 	1	0.05	 	8	0.4	 	8	0.4	 	159	7.93	 	2	0.1	 	2004	98.19	 	37	1.81	 	2041	2.77
Mount Kilcoy		                               	11	4.31	 	107	41.96	 	73	28.63	 	1	0.39	 	0	0	 	7	2.75	 	49	19.22	 	0	0	 	0	0	 	0	0	 	7	2.75	 	0	0	 	255	96.96	 	8	3.04	 	263	0.36
Mount Mee		                                  	12	6.06	 	78	39.39	 	58	29.29	 	0	0	 	1	0.51	 	8	4.04	 	30	15.15	 	0	0	 	1	0.51	 	2	1.01	 	8	4.04	 	0	0	 	198	97.06	 	6	2.94	 	204	0.28
Nanango		                                    	154	6.14	 	680	27.12	 	562	22.42	 	7	0.28	 	4	0.16	 	72	2.87	 	875	34.9	 	1	0.04	 	9	0.36	 	6	0.24	 	133	5.31	 	4	0.16	 	2507	97.51	 	64	2.49	 	2571	3.49
Ningi		                                      	48	3.56	 	147	10.91	 	467	34.67	 	12	0.89	 	0	0	 	23	1.71	 	550	40.83	 	0	0	 	9	0.67	 	1	0.07	 	88	6.53	 	2	0.15	 	1347	98.11	 	26	1.89	 	1373	1.86
Peachester		                                 	25	6.25	 	94	23.5	 	102	25.5	 	1	0.25	 	0	0	 	20	5	 	128	32	 	0	0	 	3	0.75	 	1	0.25	 	25	6.25	 	1	0.25	 	400	98.04	 	8	1.96	 	408	0.55
Shelly Beach		                               	41	2.29	 	291	16.23	 	820	45.73	 	10	0.56	 	3	0.17	 	40	2.23	 	479	26.72	 	2	0.11	 	5	0.28	 	2	0.11	 	100	5.58	 	0	0	 	1793	98.73	 	23	1.27	 	1816	2.46
Somerset Dam		                               	8	12.5	 	17	26.56	 	9	14.06	 	0	0	 	0	0	 	3	4.69	 	24	37.5	 	0	0	 	1	1.56	 	0	0	 	2	3.13	 	0	0	 	64	96.97	 	2	3.03	 	66	0.09
Toogoolawah		                                	48	4.21	 	416	36.52	 	300	26.34	 	6	0.53	 	3	0.26	 	13	1.14	 	275	24.14	 	2	0.18	 	1	0.09	 	1	0.09	 	74	6.5	 	0	0	 	1139	96.61	 	40	3.39	 	1179	1.6
Toorbul		                                    	11	2.51	 	53	12.07	 	155	35.31	 	2	0.46	 	0	0	 	7	1.59	 	176	40.09	 	1	0.23	 	2	0.46	 	1	0.23	 	31	7.06	 	0	0	 	439	97.77	 	10	2.23	 	449	0.61
Upper Caboolture		                           	36	5.37	 	103	15.37	 	198	29.55	 	5	0.75	 	1	0.15	 	26	3.88	 	244	36.42	 	2	0.3	 	2	0.3	 	3	0.45	 	49	7.31	 	1	0.15	 	670	97.95	 	14	2.05	 	684	0.93
Wamuran		                                    	54	6.14	 	204	23.21	 	252	28.67	 	0	0	 	1	0.11	 	32	3.64	 	251	28.56	 	0	0	 	2	0.23	 	7	0.8	 	76	8.65	 	0	0	 	879	98.32	 	15	1.68	 	894	1.21
Woodford		                                   	67	3.93	 	355	20.83	 	448	26.29	 	6	0.35	 	2	0.12	 	65	3.81	 	634	37.21	 	0	0	 	4	0.23	 	2	0.12	 	117	6.87	 	4	0.23	 	1704	97.65	 	41	2.35	 	1745	2.37
Woorim		                                     	20	2.23	 	93	10.36	 	313	34.86	 	8	0.89	 	0	0	 	22	2.45	 	377	41.98	 	0	0	 	2	0.22	 	1	0.11	 	61	6.79	 	1	0.11	 	898	97.93	 	19	2.07	 	917	1.24
Yarraman		                                   	42	6.16	 	251	36.8	 	159	23.31	 	3	0.44	 	0	0	 	10	1.47	 	165	24.19	 	1	0.15	 	1	0.15	 	4	0.59	 	45	6.6	 	1	0.15	 	682	97.71	 	16	2.29	 	698	0.95
Special Hospitals		                          	7	1.51	 	55	11.83	 	212	45.59	 	2	0.43	 	1	0.22	 	1	0.22	 	156	33.55	 	0	0	 	5	1.08	 	0	0	 	25	5.38	 	1	0.22	 	465	94.13	 	29	5.87	 	494	0.67
Total Ordinary		                             	2369	3.79	 	9738	15.56	 	21107	33.73	 	435	0.7	 	79	0.13	 	1903	3.04	 	22229	35.52	 	45	0.07	 	250	0.4	 	131	0.21	 	4213	6.73	 	74	0.12	 	62573	98.05	 	1247	1.95	 	63820	86.51
ABSENT		                                     	143	3.16	 	712	15.75	 	1373	30.38	 	43	0.95	 	9	0.2	 	242	5.35	 	1620	35.84	 	2	0.04	 	20	0.44	 	13	0.29	 	334	7.39	 	9	0.2	 	4520	98.41	 	73	1.59	 	4593	6.23
POSTAL		                                     	53	2.12	 	499	19.95	 	904	36.15	 	30	1.2	 	3	0.12	 	46	1.84	 	791	31.63	 	2	0.08	 	6	0.24	 	3	0.12	 	159	6.36	 	5	0.2	 	2501	98.74	 	32	1.26	 	2533	3.43
PRE_POLL		                                   	62	2.44	 	323	12.73	 	1037	40.88	 	22	0.87	 	5	0.2	 	81	3.19	 	845	33.31	 	2	0.08	 	11	0.43	 	6	0.24	 	139	5.48	 	4	0.16	 	2537	98.75	 	32	1.25	 	2569	3.48
PROVISIONAL		                                	7	2.73	 	30	11.72	 	65	25.39	 	1	0.39	 	0	0	 	21	8.2	 	114	44.53	 	0	0	 	4	1.56	 	0	0	 	14	5.47	 	0	0	 	256	99.22	 	2	0.78	 	258	0.35
ADJUSTMENT		                                 	-1		       	0		       	-2		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	1		       	0		       	-2		       	2		       	0	
Division Summary		                           	2633	3.64	 	11302	15.61	 	24484	33.82	 	531	0.73	 	96	0.13	 	2293	3.17	 	25599	35.37	 	51	0.07	 	291	0.4	 	153	0.21	 	4860	6.71	 	92	0.13	 	72385	98.12	 	1388	1.88	 	73773	96.34
 																																														


Forde (75893)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Acacia Ridge		                               	46	2.13	 	59	2.73	 	533	24.65	 	12	0.56	 	5	0.23	 	70	3.24	 	1276	59.02	 	0	0	 	4	0.19	 	4	0.19	 	152	7.03	 	1	0.05	 	2162	96.86	 	70	3.14	 	2232	3.09
Acacia Ridge South		                         	56	2.87	 	53	2.72	 	444	22.77	 	15	0.77	 	3	0.15	 	56	2.87	 	1177	60.36	 	1	0.05	 	5	0.26	 	1	0.05	 	138	7.08	 	1	0.05	 	1950	96.82	 	64	3.18	 	2014	2.79
Algester		                                   	64	1.47	 	184	4.23	 	1889	43.43	 	29	0.67	 	3	0.07	 	91	2.09	 	1700	39.08	 	4	0.09	 	2	0.05	 	1	0.02	 	378	8.69	 	5	0.11	 	4350	98.22	 	79	1.78	 	4429	6.13
Beenleigh		                                  	127	3.48	 	210	5.75	 	1058	28.96	 	26	0.71	 	0	0	 	103	2.82	 	1799	49.25	 	0	0	 	6	0.16	 	5	0.14	 	318	8.71	 	1	0.03	 	3653	96.97	 	114	3.03	 	3767	5.21
Beenleigh Central		                          	17	2.77	 	43	7.01	 	180	29.36	 	6	0.98	 	0	0	 	18	2.94	 	292	47.63	 	0	0	 	3	0.49	 	0	0	 	53	8.65	 	1	0.16	 	613	96.99	 	19	3.01	 	632	0.87
Berrinba East		                              	35	2.49	 	55	3.91	 	272	19.32	 	12	0.85	 	2	0.14	 	34	2.41	 	838	59.52	 	1	0.07	 	4	0.28	 	0	0	 	152	10.8	 	3	0.21	 	1408	98.05	 	28	1.95	 	1436	1.99
Bethania		                                   	68	3.48	 	113	5.79	 	607	31.08	 	15	0.77	 	2	0.1	 	51	2.61	 	921	47.16	 	1	0.05	 	3	0.15	 	5	0.26	 	167	8.55	 	0	0	 	1953	98.34	 	33	1.66	 	1986	2.75
Brisbane City (Forde)		                      	2	1.14	 	6	3.43	 	57	32.57	 	2	1.14	 	0	0	 	11	6.29	 	83	47.43	 	1	0.57	 	1	0.57	 	0	0	 	11	6.29	 	1	0.57	 	175	97.77	 	4	2.23	 	179	0.25
Calamvale		                                  	16	1.53	 	59	5.62	 	556	53	 	10	0.95	 	0	0	 	29	2.76	 	322	30.7	 	2	0.19	 	1	0.1	 	4	0.38	 	49	4.67	 	1	0.1	 	1049	98.04	 	21	1.96	 	1070	1.48
Coopers Plains (Forde)		                     	10	1.33	 	29	3.85	 	204	27.06	 	3	0.4	 	0	0	 	33	4.38	 	406	53.85	 	1	0.13	 	1	0.13	 	0	0	 	66	8.75	 	1	0.13	 	754	98.18	 	14	1.82	 	768	1.06
Eight Mile Plains (Forde)		                  	24	1.82	 	55	4.16	 	483	36.54	 	13	0.98	 	0	0	 	48	3.63	 	602	45.54	 	1	0.08	 	2	0.15	 	0	0	 	92	6.96	 	2	0.15	 	1322	97.35	 	36	2.65	 	1358	1.88
Harris Fields		                              	80	2.46	 	158	4.86	 	638	19.63	 	35	1.08	 	4	0.12	 	108	3.32	 	1951	60.03	 	1	0.03	 	10	0.31	 	6	0.18	 	254	7.82	 	5	0.15	 	3250	97.33	 	89	2.67	 	3339	4.62
Kingston		                                   	99	2.88	 	94	2.74	 	656	19.1	 	22	0.64	 	7	0.2	 	78	2.27	 	2180	63.46	 	1	0.03	 	6	0.17	 	10	0.29	 	276	8.03	 	6	0.17	 	3435	97.28	 	96	2.72	 	3531	4.89
Kuraby		                                     	32	4.09	 	66	8.43	 	228	29.12	 	1	0.13	 	0	0	 	15	1.92	 	386	49.3	 	2	0.26	 	1	0.13	 	0	0	 	50	6.39	 	2	0.26	 	783	98.12	 	15	1.88	 	798	1.1
Loganholme		                                 	40	1.69	 	131	5.53	 	870	36.69	 	16	0.67	 	1	0.04	 	61	2.57	 	1006	42.43	 	3	0.13	 	5	0.21	 	8	0.34	 	229	9.66	 	1	0.04	 	2371	98.26	 	42	1.74	 	2413	3.34
Loganlea		                                   	19	1.48	 	70	5.43	 	338	26.24	 	16	1.24	 	8	0.62	 	39	3.03	 	697	54.11	 	0	0	 	1	0.08	 	2	0.16	 	96	7.45	 	2	0.16	 	1288	98.25	 	23	1.75	 	1311	1.81
Mabel Park		                                 	86	2.71	 	132	4.16	 	675	21.25	 	27	0.85	 	4	0.13	 	79	2.49	 	1837	57.84	 	2	0.06	 	10	0.31	 	7	0.22	 	315	9.92	 	2	0.06	 	3176	97.16	 	93	2.84	 	3269	4.53
Marsden East		                               	18	2.13	 	38	4.5	 	189	22.39	 	9	1.07	 	1	0.12	 	21	2.49	 	499	59.12	 	1	0.12	 	1	0.12	 	0	0	 	65	7.7	 	2	0.24	 	844	97.57	 	21	2.43	 	865	1.2
