Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Edgeworth		                                  	32	1.3	 	5	0.2	 	0	0	 	5	0.2	 	4	0.16	 	2	0.08	 	80	3.24	 	1	0.04	 	422	17.09	 	4	0.16	 	150	6.08	 	1647	66.71	 	0	0	 	59	2.39	 	38	1.54	 	14	0.57	 	0	0	 	1	0.04	 	0	0	 	1	0.04	 	1	0.04	 	3	0.12	 	2469	97.36	 	67	2.64	 	2536	3.33
Edgeworth Heights		                          	17	1.28	 	2	0.15	 	1	0.08	 	0	0	 	1	0.08	 	1	0.08	 	46	3.46	 	1	0.08	 	208	15.66	 	1	0.08	 	48	3.61	 	955	71.91	 	1	0.08	 	12	0.9	 	22	1.66	 	8	0.6	 	1	0.08	 	1	0.08	 	0	0	 	0	0	 	0	0	 	2	0.15	 	1328	97.08	 	40	2.92	 	1368	1.8
Elermore Vale		                              	24	1.21	 	2	0.1	 	1	0.05	 	5	0.25	 	3	0.15	 	2	0.1	 	40	2.01	 	0	0	 	522	26.27	 	0	0	 	112	5.64	 	1200	60.39	 	1	0.05	 	37	1.86	 	20	1.01	 	9	0.45	 	0	0	 	3	0.15	 	0	0	 	1	0.05	 	1	0.05	 	4	0.2	 	1987	97.4	 	53	2.6	 	2040	2.68
Eraring		                                    	0	0	 	0	0	 	0	0	 	0	0	 	1	2	 	0	0	 	0	0	 	0	0	 	13	26	 	0	0	 	5	10	 	30	60	 	0	0	 	1	2	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	50	94.34	 	3	5.66	 	53	0.07
Fassifern		                                  	8	1.48	 	1	0.19	 	0	0	 	0	0	 	0	0	 	0	0	 	13	2.41	 	0	0	 	119	22.04	 	0	0	 	36	6.67	 	331	61.3	 	0	0	 	18	3.33	 	9	1.67	 	4	0.74	 	0	0	 	1	0.19	 	0	0	 	0	0	 	0	0	 	0	0	 	540	98.72	 	7	1.28	 	547	0.72
Fennell Bay		                                	18	1.35	 	1	0.08	 	0	0	 	1	0.08	 	6	0.45	 	4	0.3	 	25	1.88	 	1	0.08	 	253	19.02	 	1	0.08	 	102	7.67	 	860	64.66	 	0	0	 	17	1.28	 	29	2.18	 	7	0.53	 	1	0.08	 	2	0.15	 	0	0	 	0	0	 	0	0	 	2	0.15	 	1330	98.23	 	24	1.77	 	1354	1.78
Garden Suburb		                              	21	1.92	 	3	0.27	 	0	0	 	2	0.18	 	0	0	 	0	0	 	13	1.19	 	1	0.09	 	318	29.12	 	1	0.09	 	79	7.23	 	585	53.57	 	1	0.09	 	23	2.11	 	35	3.21	 	6	0.55	 	0	0	 	2	0.18	 	0	0	 	0	0	 	1	0.09	 	1	0.09	 	1092	97.85	 	24	2.15	 	1116	1.46
Glendale		                                   	9	1.48	 	1	0.16	 	0	0	 	0	0	 	1	0.16	 	0	0	 	11	1.81	 	0	0	 	106	17.41	 	2	0.33	 	28	4.6	 	439	72.09	 	0	0	 	4	0.66	 	4	0.66	 	2	0.33	 	0	0	 	1	0.16	 	0	0	 	0	0	 	0	0	 	1	0.16	 	609	97.6	 	15	2.4	 	624	0.82
Glendale East		                              	19	1.4	 	1	0.07	 	0	0	 	0	0	 	0	0	 	0	0	 	23	1.7	 	1	0.07	 	304	22.45	 	0	0	 	88	6.5	 	861	63.59	 	0	0	 	32	2.36	 	15	1.11	 	3	0.22	 	1	0.07	 	5	0.37	 	0	0	 	0	0	 	0	0	 	1	0.07	 	1354	98.12	 	26	1.88	 	1380	1.81
Hawkins Village		                            	3	1.13	 	1	0.38	 	0	0	 	0	0	 	1	0.38	 	0	0	 	2	0.75	 	0	0	 	96	36.09	 	0	0	 	15	5.64	 	140	52.63	 	0	0	 	1	0.38	 	4	1.5	 	0	0	 	0	0	 	3	1.13	 	0	0	 	0	0	 	0	0	 	0	0	 	266	97.79	 	6	2.21	 	272	0.36
Hillsborough (Charlton)		                    	0	0	 	0	0	 	0	0	 	3	0.59	 	1	0.2	 	1	0.2	 	13	2.57	 	0	0	 	117	23.12	 	0	0	 	40	7.91	 	311	61.46	 	0	0	 	9	1.78	 	7	1.38	 	3	0.59	 	0	0	 	1	0.2	 	0	0	 	0	0	 	0	0	 	0	0	 	506	99.02	 	5	0.98	 	511	0.67
Holmesville		                                	13	1.84	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.14	 	25	3.54	 	0	0	 	87	12.31	 	1	0.14	 	46	6.51	 	501	70.86	 	0	0	 	5	0.71	 	24	3.39	 	4	0.57	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	707	99.02	 	7	0.98	 	714	0.94
Kilaben Bay		                                	11	1.28	 	0	0	 	1	0.12	 	0	0	 	2	0.23	 	0	0	 	19	2.21	 	0	0	 	344	40	 	0	0	 	65	7.56	 	381	44.3	 	0	0	 	22	2.56	 	6	0.7	 	4	0.47	 	0	0	 	4	0.47	 	0	0	 	0	0	 	0	0	 	1	0.12	 	860	97.84	 	19	2.16	 	879	1.15
Killingworth		                               	3	0.94	 	1	0.31	 	0	0	 	0	0	 	0	0	 	0	0	 	15	4.69	 	0	0	 	54	16.88	 	0	0	 	17	5.31	 	206	64.38	 	0	0	 	10	3.13	 	10	3.13	 	1	0.31	 	0	0	 	2	0.63	 	0	0	 	0	0	 	0	0	 	1	0.31	 	320	99.07	 	3	0.93	 	323	0.42
Marmong Point		                              	1	0.33	 	1	0.33	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.99	 	0	0	 	106	34.98	 	0	0	 	30	9.9	 	145	47.85	 	0	0	 	11	3.63	 	3	0.99	 	2	0.66	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.33	 	303	99.02	 	3	0.98	 	306	0.4
Martinsville		                               	3	2.26	 	1	0.75	 	0	0	 	0	0	 	0	0	 	0	0	 	12	9.02	 	0	0	 	38	28.57	 	0	0	 	10	7.52	 	61	45.86	 	0	0	 	6	4.51	 	0	0	 	2	1.5	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	133	97.08	 	4	2.92	 	137	0.18
Maryland		                                   	15	0.95	 	0	0	 	1	0.06	 	3	0.19	 	5	0.32	 	0	0	 	31	1.96	 	0	0	 	319	20.13	 	2	0.13	 	107	6.75	 	1034	65.24	 	0	0	 	26	1.64	 	17	1.07	 	14	0.88	 	0	0	 	1	0.06	 	0	0	 	0	0	 	2	0.13	 	8	0.5	 	1585	98.75	 	20	1.25	 	1605	2.11
Morisset		                                   	18	1.18	 	3	0.2	 	2	0.13	 	1	0.07	 	2	0.13	 	1	0.07	 	54	3.55	 	2	0.13	 	447	29.43	 	5	0.33	 	136	8.95	 	784	51.61	 	0	0	 	27	1.78	 	26	1.71	 	9	0.59	 	0	0	 	1	0.07	 	0	0	 	0	0	 	0	0	 	1	0.07	 	1519	96.94	 	48	3.06	 	1567	2.06
Morisset Hospital		                          	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.25	 	0	0	 	23	25.84	 	0	0	 	5	5.62	 	56	62.92	 	0	0	 	2	2.25	 	1	1.12	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	89	97.8	 	2	2.2	 	91	0.12
Morisset Park		                              	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	22	43.14	 	0	0	 	6	11.76	 	22	43.14	 	0	0	 	1	1.96	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	51	100	 	0	0	 	51	0.07
Mount Hutton (Charlton)		                    	4	1.72	 	0	0	 	1	0.43	 	0	0	 	0	0	 	1	0.43	 	3	1.29	 	0	0	 	88	37.93	 	1	0.43	 	16	6.9	 	99	42.67	 	0	0	 	7	3.02	 	8	3.45	 	2	0.86	 	0	0	 	1	0.43	 	0	0	 	0	0	 	0	0	 	1	0.43	 	232	98.31	 	4	1.69	 	236	0.31
New Lambton Heights		                        	3	0.77	 	1	0.26	 	0	0	 	1	0.26	 	0	0	 	0	0	 	4	1.03	 	0	0	 	170	43.59	 	0	0	 	39	10	 	139	35.64	 	0	0	 	29	7.44	 	4	1.03	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	390	98.24	 	7	1.76	 	397	0.52
Pittown		                                    	14	2.56	 	0	0	 	1	0.18	 	0	0	 	0	0	 	0	0	 	14	2.56	 	0	0	 	101	18.46	 	0	0	 	36	6.58	 	356	65.08	 	0	0	 	15	2.74	 	7	1.28	 	0	0	 	0	0	 	2	0.37	 	0	0	 	0	0	 	0	0	 	1	0.18	 	547	97.5	 	14	2.5	 	561	0.74
Plattsburg		                                 	34	1.6	 	5	0.23	 	1	0.05	 	3	0.14	 	2	0.09	 	4	0.19	 	72	3.38	 	3	0.14	 	377	17.72	 	1	0.05	 	98	4.61	 	1430	67.2	 	3	0.14	 	44	2.07	 	22	1.03	 	19	0.89	 	0	0	 	2	0.09	 	0	0	 	0	0	 	3	0.14	 	5	0.23	 	2128	97.93	 	45	2.07	 	2173	2.85
Rathmines		                                  	27	1.32	 	3	0.15	 	2	0.1	 	1	0.05	 	4	0.2	 	3	0.15	 	70	3.42	 	0	0	 	650	31.78	 	1	0.05	 	140	6.85	 	1028	50.27	 	1	0.05	 	68	3.33	 	31	1.52	 	9	0.44	 	0	0	 	3	0.15	 	2	0.1	 	0	0	 	0	0	 	2	0.1	 	2045	98.74	 	26	1.26	 	2071	2.72
Speers Point		                               	28	1.95	 	2	0.14	 	0	0	 	0	0	 	3	0.21	 	3	0.21	 	35	2.43	 	1	0.07	 	386	26.84	 	1	0.07	 	112	7.79	 	798	55.49	 	0	0	 	36	2.5	 	19	1.32	 	8	0.56	 	0	0	 	5	0.35	 	0	0	 	0	0	 	0	0	 	1	0.07	 	1438	97.49	 	37	2.51	 	1475	1.94
Speers Point East		                          	23	1.58	 	4	0.27	 	2	0.14	 	0	0	 	3	0.21	 	0	0	 	31	2.13	 	1	0.07	 	508	34.84	 	3	0.21	 	103	7.06	 	708	48.56	 	0	0	 	23	1.58	 	37	2.54	 	6	0.41	 	0	0	 	5	0.34	 	0	0	 	0	0	 	0	0	 	1	0.07	 	1458	98.38	 	24	1.62	 	1482	1.95
Sunshine		                                   	6	1.53	 	1	0.26	 	0	0	 	0	0	 	2	0.51	 	0	0	 	7	1.79	 	0	0	 	122	31.2	 	1	0.26	 	34	8.7	 	201	51.41	 	0	0	 	3	0.77	 	10	2.56	 	1	0.26	 	0	0	 	3	0.77	 	0	0	 	0	0	 	0	0	 	0	0	 	391	96.78	 	13	3.22	 	404	0.53
Sydney (Charlton)		                          	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	7	18.42	 	1	2.63	 	3	7.89	 	25	65.79	 	0	0	 	2	5.26	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	38	100	 	0	0	 	38	0.05
Teralba		                                    	13	1.46	 	1	0.11	 	1	0.11	 	0	0	 	2	0.22	 	2	0.22	 	33	3.71	 	1	0.11	 	156	17.53	 	0	0	 	45	5.06	 	579	65.06	 	0	0	 	21	2.36	 	23	2.58	 	6	0.67	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.34	 	4	0.45	 	890	97.8	 	20	2.2	 	910	1.19
Toronto		                                    	5	0.76	 	1	0.15	 	1	0.15	 	0	0	 	0	0	 	3	0.46	 	10	1.53	 	0	0	 	174	26.56	 	1	0.15	 	42	6.41	 	383	58.47	 	1	0.15	 	12	1.83	 	17	2.6	 	3	0.46	 	0	0	 	1	0.15	 	0	0	 	0	0	 	0	0	 	1	0.15	 	655	98.35	 	11	1.65	 	666	0.87
Toronto North		                              	21	2.07	 	2	0.2	 	1	0.1	 	2	0.2	 	1	0.1	 	2	0.2	 	31	3.06	 	0	0	 	274	27.02	 	1	0.1	 	49	4.83	 	598	58.97	 	0	0	 	14	1.38	 	15	1.48	 	3	0.3	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1014	98.45	 	16	1.55	 	1030	1.35
Toronto West		                               	18	1.65	 	3	0.27	 	0	0	 	0	0	 	1	0.09	 	0	0	 	31	2.83	 	1	0.09	 	107	9.78	 	1	0.09	 	34	3.11	 	863	78.88	 	1	0.09	 	15	1.37	 	7	0.64	 	5	0.46	 	0	0	 	4	0.37	 	0	0	 	0	0	 	0	0	 	3	0.27	 	1094	98.2	 	20	1.8	 	1114	1.46
Wallsend		                                   	56	1.94	 	4	0.14	 	3	0.1	 	2	0.07	 	7	0.24	 	2	0.07	 	73	2.53	 	0	0	 	650	22.56	 	1	0.03	 	156	5.41	 	1826	63.38	 	3	0.1	 	57	1.98	 	22	0.76	 	14	0.49	 	1	0.03	 	1	0.03	 	0	0	 	0	0	 	1	0.03	 	2	0.07	 	2881	97.36	 	78	2.64	 	2959	3.88
Wallsend Hospital		                          	11	2.4	 	0	0	 	2	0.44	 	0	0	 	1	0.22	 	1	0.22	 	4	0.87	 	2	0.44	 	100	21.79	 	0	0	 	20	4.36	 	294	64.05	 	0	0	 	7	1.53	 	7	1.53	 	5	1.09	 	0	0	 	2	0.44	 	0	0	 	0	0	 	2	0.44	 	1	0.22	 	459	97.87	 	10	2.13	 	469	0.62
Wallsend South		                             	37	1.47	 	3	0.12	 	3	0.12	 	0	0	 	8	0.32	 	2	0.08	 	47	1.87	 	1	0.04	 	793	31.58	 	0	0	 	194	7.73	 	1260	50.18	 	1	0.04	 	105	4.18	 	46	1.83	 	3	0.12	 	2	0.08	 	4	0.16	 	0	0	 	1	0.04	 	0	0	 	1	0.04	 	2511	97.74	 	58	2.26	 	2569	3.37
Wangi Wangi		                                	20	1.27	 	1	0.06	 	0	0	 	0	0	 	0	0	 	0	0	 	32	2.03	 	2	0.13	 	396	25.14	 	0	0	 	115	7.3	 	925	58.73	 	1	0.06	 	51	3.24	 	22	1.4	 	6	0.38	 	0	0	 	4	0.25	 	0	0	 	0	0	 	0	0	 	0	0	 	1575	97.95	 	33	2.05	 	1608	2.11
Warners Bay		                                	18	0.92	 	3	0.15	 	2	0.1	 	1	0.05	 	4	0.21	 	0	0	 	52	2.67	 	1	0.05	 	559	28.67	 	0	0	 	140	7.18	 	1063	54.51	 	2	0.1	 	42	2.15	 	42	2.15	 	18	0.92	 	0	0	 	3	0.15	 	0	0	 	0	0	 	0	0	 	0	0	 	1950	97.84	 	43	2.16	 	1993	2.62
Warners Bay Central (Charlton)		             	15	1.19	 	3	0.24	 	2	0.16	 	0	0	 	1	0.08	 	2	0.16	 	23	1.83	 	0	0	 	341	27.15	 	0	0	 	82	6.53	 	732	58.28	 	0	0	 	27	2.15	 	19	1.51	 	5	0.4	 	0	0	 	4	0.32	 	0	0	 	0	0	 	0	0	 	0	0	 	1256	97.59	 	31	2.41	 	1287	1.69
West Wallsend		                              	16	1.24	 	2	0.16	 	2	0.16	 	4	0.31	 	3	0.23	 	1	0.08	 	64	4.98	 	0	0	 	164	12.75	 	0	0	 	58	4.51	 	929	72.24	 	0	0	 	14	1.09	 	18	1.4	 	8	0.62	 	0	0	 	0	0	 	1	0.08	 	0	0	 	0	0	 	2	0.16	 	1286	97.65	 	31	2.35	 	1317	1.73
Whitegates		                                 	29	2.52	 	6	0.52	 	3	0.26	 	1	0.09	 	0	0	 	1	0.09	 	22	1.91	 	1	0.09	 	268	23.26	 	2	0.17	 	57	4.95	 	718	62.33	 	1	0.09	 	18	1.56	 	19	1.65	 	3	0.26	 	0	0	 	2	0.17	 	0	0	 	0	0	 	1	0.09	 	0	0	 	1152	97.13	 	34	2.87	 	1186	1.56
Wyee		                                       	7	0.62	 	1	0.09	 	2	0.18	 	0	0	 	4	0.35	 	2	0.18	 	52	4.58	 	0	0	 	352	31.01	 	3	0.26	 	78	6.87	 	540	47.58	 	0	0	 	15	1.32	 	68	5.99	 	3	0.26	 	1	0.09	 	6	0.53	 	0	0	 	0	0	 	0	0	 	1	0.09	 	1135	96.93	 	36	3.07	 	1171	1.54
Special Hospitals		                          	0	0	 	0	0	 	0	0	 	0	0	 	4	1.11	 	0	0	 	0	0	 	0	0	 	119	32.96	 	0	0	 	11	3.05	 	217	60.11	 	0	0	 	2	0.55	 	7	1.94	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.28	 	0	0	 	361	99.45	 	2	0.55	 	363	0.48
Total Ordinary		                             	899	1.38	 	107	0.16	 	53	0.08	 	58	0.09	 	114	0.18	 	65	0.1	 	1643	2.53	 	34	0.05	 	16315	25.13	 	55	0.08	 	4118	6.34	 	38444	59.21	 	28	0.04	 	1384	2.13	 	1062	1.64	 	301	0.46	 	11	0.02	 	130	0.2	 	5	0.01	 	3	0	 	29	0.04	 	71	0.11	 	64929	97.82	 	1446	2.18	 	66375	87.12
ABSENT		                                     	62	1.41	 	14	0.32	 	3	0.07	 	8	0.18	 	5	0.11	 	4	0.09	 	104	2.36	 	1	0.02	 	1149	26.1	 	8	0.18	 	260	5.91	 	2531	57.5	 	2	0.05	 	133	3.02	 	65	1.48	 	36	0.82	 	0	0	 	7	0.16	 	2	0.05	 	0	0	 	0	0	 	8	0.18	 	4402	98.88	 	50	1.12	 	4452	5.84
POSTAL		                                     	12	0.65	 	1	0.05	 	6	0.32	 	3	0.16	 	9	0.49	 	0	0	 	28	1.51	 	1	0.05	 	625	33.77	 	2	0.11	 	102	5.51	 	954	51.54	 	0	0	 	24	1.3	 	33	1.78	 	23	1.24	 	1	0.05	 	23	1.24	 	1	0.05	 	1	0.05	 	0	0	 	2	0.11	 	1851	98.41	 	30	1.59	 	1881	2.47
PRE_POLL		                                   	41	1.46	 	5	0.18	 	1	0.04	 	2	0.07	 	4	0.14	 	1	0.04	 	39	1.39	 	7	0.25	 	1418	50.41	 	3	0.11	 	165	5.87	 	986	35.05	 	1	0.04	 	49	1.74	 	56	1.99	 	19	0.68	 	0	0	 	10	0.36	 	0	0	 	0	0	 	1	0.04	 	5	0.18	 	2813	97.67	 	67	2.33	 	2880	3.78
PROVISIONAL		                                	16	2.72	 	0	0	 	1	0.17	 	0	0	 	0	0	 	1	0.17	 	13	2.21	 	1	0.17	 	115	19.56	 	0	0	 	24	4.08	 	384	65.31	 	0	0	 	17	2.89	 	7	1.19	 	8	1.36	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.17	 	588	98.16	 	11	1.84	 	599	0.79
ADJUSTMENT		                                 	-1		       	0		       	0		       	0		       	0		       	1		       	0		       	0		       	0		       	0		       	0		       	-1		       	-1		       	-1		       	0		       	0		       	0		       	-1		       	0		       	0		       	0		       	0		       	-4		       	4		       	0	
Division Summary		                           	1029	1.38	 	127	0.17	 	64	0.09	 	71	0.1	 	132	0.18	 	72	0.1	 	1827	2.45	 	44	0.06	 	19622	26.31	 	68	0.09	 	4669	6.26	 	43298	58.06	 	30	0.04	 	1606	2.15	 	1223	1.64	 	387	0.52	 	12	0.02	 	169	0.23	 	8	0.01	 	4	0.01	 	30	0.04	 	87	0.12	 	74579	97.89	 	1608	2.11	 	76187	97.71


Chifley (76187)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bennett Road		                               	58	1.37	 	7	0.17	 	9	0.21	 	7	0.17	 	10	0.24	 	2	0.05	 	76	1.8	 	3	0.07	 	1102	26.06	 	6	0.14	 	145	3.43	 	2619	61.94	 	1	0.02	 	51	1.21	 	46	1.09	 	51	1.21	 	1	0.02	 	22	0.52	 	1	0.02	 	1	0.02	 	2	0.05	 	8	0.19	 	4228	96.18	 	168	3.82	 	4396	6
Bidwill		                                    	37	1.36	 	3	0.11	 	0	0	 	4	0.15	 	13	0.48	 	4	0.15	 	20	0.73	 	1	0.04	 	347	12.72	 	7	0.26	 	79	2.9	 	2135	78.26	 	1	0.04	 	21	0.77	 	29	1.06	 	19	0.7	 	0	0	 	3	0.11	 	2	0.07	 	0	0	 	1	0.04	 	2	0.07	 	2728	96.91	 	87	3.09	 	2815	3.84
Blackett		                                   	33	1.45	 	2	0.09	 	2	0.09	 	1	0.04	 	11	0.48	 	3	0.13	 	27	1.19	 	4	0.18	 	298	13.1	 	3	0.13	 	72	3.16	 	1718	75.52	 	1	0.04	 	26	1.14	 	33	1.45	 	22	0.97	 	0	0	 	8	0.35	 	0	0	 	1	0.04	 	2	0.09	 	8	0.35	 	2275	97.18	 	66	2.82	 	2341	3.2
Blacktown West (Chifley)		                   	11	1.49	 	4	0.54	 	1	0.14	 	1	0.14	 	2	0.27	 	4	0.54	 	4	0.54	 	0	0	 	212	28.73	 	1	0.14	 	33	4.47	 	442	59.89	 	0	0	 	7	0.95	 	5	0.68	 	8	1.08	 	0	0	 	2	0.27	 	0	0	 	0	0	 	0	0	 	1	0.14	 	738	96.85	 	24	3.15	 	762	1.04
Clairgate		                                  	26	1.23	 	1	0.05	 	2	0.09	 	2	0.09	 	13	0.61	 	2	0.09	 	15	0.71	 	1	0.05	 	652	30.77	 	2	0.09	 	115	5.43	 	1194	56.35	 	0	0	 	25	1.18	 	43	2.03	 	17	0.8	 	0	0	 	5	0.24	 	0	0	 	0	0	 	2	0.09	 	2	0.09	 	2119	97.51	 	54	2.49	 	2173	2.97
Dharruk		                                    	23	1.4	 	6	0.37	 	3	0.18	 	1	0.06	 	8	0.49	 	0	0	 	25	1.52	 	1	0.06	 	271	16.52	 	1	0.06	 	60	3.66	 	1162	70.85	 	0	0	 	15	0.91	 	35	2.13	 	11	0.67	 	0	0	 	5	0.3	 	0	0	 	0	0	 	2	0.12	 	11	0.67	 	1640	95.68	 	74	4.32	 	1714	2.34
Doonside		                                   	33	1.82	 	5	0.28	 	4	0.22	 	6	0.33	 	10	0.55	 	0	0	 	21	1.16	 	1	0.06	 	386	21.23	 	3	0.17	 	59	3.25	 	1230	67.66	 	0	0	 	13	0.72	 	20	1.1	 	12	0.66	 	0	0	 	10	0.55	 	0	0	 	2	0.11	 	2	0.11	 	1	0.06	 	1818	96.75	 	61	3.25	 	1879	2.57
Doonside North		                             	31	1.04	 	2	0.07	 	4	0.13	 	6	0.2	 	12	0.4	 	2	0.07	 	33	1.1	 	1	0.03	 	575	19.21	 	3	0.1	 	104	3.47	 	2082	69.56	 	1	0.03	 	32	1.07	 	48	1.6	 	26	0.87	 	0	0	 	12	0.4	 	1	0.03	 	1	0.03	 	3	0.1	 	14	0.47	 	2993	96.21	 	118	3.79	 	3111	4.25
Eastern Creek		                              	9	0.99	 	3	0.33	 	0	0	 	0	0	 	7	0.77	 	0	0	 	18	1.98	 	0	0	 	239	26.23	 	2	0.22	 	40	4.39	 	542	59.5	 	0	0	 	14	1.54	 	13	1.43	 	13	1.43	 	0	0	 	4	0.44	 	0	0	 	0	0	 	0	0	 	7	0.77	 	911	95.39	 	44	4.61	 	955	1.3
Emerton		                                    	21	2	 	5	0.48	 	0	0	 	2	0.19	 	4	0.38	 	6	0.57	 	3	0.29	 	1	0.1	 	159	15.13	 	1	0.1	 	41	3.9	 	770	73.26	 	1	0.1	 	14	1.33	 	14	1.33	 	6	0.57	 	0	0	 	2	0.19	 	0	0	 	0	0	 	1	0.1	 	0	0	 	1051	97.31	 	29	2.69	 	1080	1.47
Erskine Park		                               	14	0.51	 	3	0.11	 	2	0.07	 	1	0.04	 	22	0.8	 	0	0	 	27	0.98	 	2	0.07	 	747	27.22	 	2	0.07	 	88	3.21	 	1731	63.08	 	1	0.04	 	33	1.2	 	33	1.2	 	25	0.91	 	0	0	 	3	0.11	 	0	0	 	0	0	 	3	0.11	 	7	0.26	 	2744	98.6	 	39	1.4	 	2783	3.8
Hassall Grove		                              	7	0.47	 	2	0.13	 	1	0.07	 	6	0.4	 	6	0.4	 	2	0.13	 	10	0.67	 	0	0	 	280	18.63	 	1	0.07	 	48	3.19	 	1098	73.05	 	0	0	 	10	0.67	 	17	1.13	 	12	0.8	 	0	0	 	1	0.07	 	0	0	 	0	0	 	1	0.07	 	1	0.07	 	1503	99.01	 	15	0.99	 	1518	2.07
Hebersham		                                  	35	1.55	 	5	0.22	 	4	0.18	 	2	0.09	 	15	0.67	 	3	0.13	 	31	1.38	 	2	0.09	 	335	14.88	 	1	0.04	 	97	4.31	 	1617	71.8	 	4	0.18	 	29	1.29	 	47	2.09	 	19	0.84	 	0	0	 	5	0.22	 	0	0	 	0	0	 	1	0.04	 	0	0	 	2252	97.28	 	63	2.72	 	2315	3.16
Lethbridge Park		                            	46	1.64	 	7	0.25	 	12	0.43	 	5	0.18	 	11	0.39	 	3	0.11	 	20	0.71	 	1	0.04	 	403	14.35	 	4	0.14	 	105	3.74	 	2110	75.14	 	2	0.07	 	17	0.61	 	26	0.93	 	18	0.64	 	1	0.04	 	10	0.36	 	0	0	 	2	0.07	 	4	0.14	 	1	0.04	 	2808	96.07	 	115	3.93	 	2923	3.99
Madang		                                     	14	1.79	 	3	0.38	 	1	0.13	 	0	0	 	4	0.51	 	1	0.13	 	7	0.9	 	0	0	 	97	12.4	 	1	0.13	 	29	3.71	 	596	76.21	 	0	0	 	8	1.02	 	9	1.15	 	10	1.28	 	0	0	 	0	0	 	2	0.26	 	0	0	 	0	0	 	0	0	 	782	96.19	 	31	3.81	 	813	1.11
Minchinbury		                                	10	0.46	 	2	0.09	 	4	0.18	 	2	0.09	 	16	0.73	 	2	0.09	 	16	0.73	 	1	0.05	 	633	29.08	 	1	0.05	 	71	3.26	 	1347	61.87	 	0	0	 	15	0.69	 	38	1.75	 	12	0.55	 	0	0	 	3	0.14	 	0	0	 	0	0	 	0	0	 	4	0.18	 	2177	97.36	 	59	2.64	 	2236	3.05
Mount Druitt Hospital		                      	5	1.5	 	0	0	 	1	0.3	 	0	0	 	0	0	 	1	0.3	 	2	0.6	 	0	0	 	54	16.17	 	0	0	 	13	3.89	 	244	73.05	 	0	0	 	1	0.3	 	10	2.99	 	1	0.3	 	1	0.3	 	0	0	 	0	0	 	0	0	 	1	0.3	 	0	0	 	334	95.98	 	14	4.02	 	348	0.48
