House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Kalgoorlie																																			
					HODDY			HAASE			BROWNING			SCOTT			MILLER			BURT			BUTSON			SMITH			PAYNE			MCCUMSTIE			
		TOTAL		7	4.67		59	39.33		63	42.00		0	0.00		4	2.67					2	1.33		0	0.00					15	10.00		150	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		7	4.67		59	39.33		63	42.00		0	0.00		4	2.67					2	1.33								15	10.00		150	
	FIFTH			3	20.00		3	20.00		2	13.33		2	13.33		3	20.00					2	13.33									Excluded		15	
		TOTAL		10	6.67		62	41.33		65	43.33		2	1.33		7	4.67					4	2.67											150	
	SIXTH			1	25.00		2	50.00		0	0.00		0	0.00		1	25.00						Excluded											4	
		TOTAL		11	7.33		64	42.67		65	43.33		2	1.33		8	5.33																	150	
	SEVENTH				Excluded		8	72.73		1	9.09		1	9.09		1	9.09																	11	
		TOTAL					72	48.00		66	44.00		3	2.00		9	6.00																	150	
	EIGHTH						1	11.11		4	44.44		4	44.44			Excluded																	9	
		TOTAL					73	48.67		70	46.67		7	4.67																				150	
	NINTH						4	57.14		3	42.86			Excluded																				7	
		TOTAL					77	51.33		73	48.67																							150	
							Elected																												
																																			
Marble Bar                                                     																																			
	FIRST			2	1.50		30	22.56		85	63.91		8	6.02		0	0.00		0	0.00		3	2.26		2	1.50		0	0.00		3	2.26		133	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.50		30	22.56		85	63.91		8	6.02		0	0.00		0	0.00		3	2.26		2	1.50					3	2.26		133	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.50		30	22.56		85	63.91		8	6.02		0	0.00					3	2.26		2	1.50					3	2.26		133	
	FOURTH			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					1	50.00		2	
		TOTAL		2	1.50		31	23.31		85	63.91		8	6.02		0	0.00					3	2.26								4	3.01		133	
	FIFTH			1	25.00		0	0.00		1	25.00		0	0.00		0	0.00					2	50.00									Excluded		4	
		TOTAL		3	2.26		31	23.31		86	64.66		8	6.02		0	0.00					5	3.76											133	
	SIXTH			1	20.00		0	0.00		1	20.00		3	60.00		0	0.00						Excluded											5	
		TOTAL		4	3.01		31	23.31		87	65.41		11	8.27		0	0.00																	133	
	SEVENTH				Excluded		3	75.00		0	0.00		0	0.00		1	25.00																	4	
		TOTAL					34	25.56		87	65.41		11	8.27		1	0.75																	133	
	EIGHTH						0	0.00		1	100.00		0	0.00			Excluded																	1	
		TOTAL					34	25.56		88	66.17		11	8.27																				133	
	NINTH						5	45.45		6	54.55			Excluded																				11	
		TOTAL					39	29.32		94	70.68																							133	
							Elected																												
																																			
Marvel Loch                                                    																																			
	FIRST			2	2.60		38	49.35		17	22.08		9	11.69		3	3.90		2	2.60		3	3.90		1	1.30		0	0.00		2	2.60		77	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	2.60		38	49.35		17	22.08		9	11.69		3	3.90		2	2.60		3	3.90		1	1.30					2	2.60		77	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		3	3.90		38	49.35		17	22.08		9	11.69		4	5.19					3	3.90		1	1.30					2	2.60		77	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		4	5.19		38	49.35		17	22.08		9	11.69		4	5.19					3	3.90								2	2.60		77	
	FIFTH			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00					0	0.00									Excluded		2	
		TOTAL		4	5.19		39	50.65		18	23.38		9	11.69		4	5.19					3	3.90											77	
	SIXTH			0	0.00		1	33.33		1	33.33		1	33.33		0	0.00						Excluded											3	
		TOTAL		4	5.19		40	51.95		19	24.68		10	12.99		4	5.19																	77	
	SEVENTH				Excluded		1	25.00		2	50.00		1	25.00		0	0.00																	4	
		TOTAL					41	53.25		21	27.27		11	14.29		4	5.19																	77	
	EIGHTH						2	50.00		1	25.00		1	25.00			Excluded																	4	
		TOTAL					43	55.84		22	28.57		12	15.58																				77	
	NINTH						6	50.00		6	50.00			Excluded																				12	
		TOTAL					49	63.64		28	36.36																							77	
							Elected																												
																																			
Meekatharra                                                    																																			
	FIRST			15	3.53		163	38.35		191	44.94		40	9.41		7	1.65		0	0.00		4	0.94		2	0.47		0	0.00		3	0.71		425	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		15	3.53		163	38.35		191	44.94		40	9.41		7	1.65		0	0.00		4	0.94		2	0.47					3	0.71		425	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		15	3.53		163	38.35		191	44.94		40	9.41		7	1.65					4	0.94		2	0.47					3	0.71		425	
	FOURTH			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00					0	0.00			Excluded					0	0.00		2	
		TOTAL		15	3.53		164	38.59		191	44.94		40	9.41		8	1.88					4	0.94								3	0.71		425	
	FIFTH			1	33.33		1	33.33		1	33.33		0	0.00		0	0.00					0	0.00									Excluded		3	
		TOTAL		16	3.76		165	38.82		192	45.18		40	9.41		8	1.88					4	0.94											425	
	SIXTH			1	25.00		0	0.00		2	50.00		1	25.00		0	0.00						Excluded											4	
		TOTAL		17	4.00		165	38.82		194	45.65		41	9.65		8	1.88																	425	
	SEVENTH				Excluded		3	17.65		9	52.94		2	11.76		3	17.65																	17	
		TOTAL					168	39.53		203	47.76		43	10.12		11	2.59																	425	
	EIGHTH						6	54.55		3	27.27		2	18.18			Excluded																	11	
		TOTAL					174	40.94		206	48.47		45	10.59																				425	
	NINTH						31	68.89		14	31.11			Excluded																				45	
		TOTAL					205	48.24		220	51.76																							425	
							Elected																												
																																			
Menzies                                                        																																			
	FIRST			1	1.16		33	38.37		35	40.70		12	13.95		1	1.16		2	2.33		1	1.16		1	1.16		0	0.00		0	0.00		86	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.16		33	38.37		35	40.70		12	13.95		1	1.16		2	2.33		1	1.16		1	1.16					0	0.00		86	
	THIRD			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00					0	0.00		2	
		TOTAL		1	1.16		34	39.53		35	40.70		12	13.95		1	1.16					2	2.33		1	1.16					0	0.00		86	
	FOURTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		1	1.16		34	39.53		36	41.86		12	13.95		1	1.16					2	2.33								0	0.00		86	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		1	1.16		34	39.53		36	41.86		12	13.95		1	1.16					2	2.33											86	
	SIXTH			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00						Excluded											2	
		TOTAL		1	1.16		35	40.70		36	41.86		12	13.95		2	2.33																	86	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		1	100.00																	1	
		TOTAL					35	40.70		36	41.86		12	13.95		3	3.49																	86	
	EIGHTH						0	0.00		3	100.00		0	0.00			Excluded																	3	
		TOTAL					35	40.70		39	45.35		12	13.95																				86	
	NINTH						12	100.00		0	0.00			Excluded																				12	
		TOTAL					47	54.65		39	45.35																							86	
							Elected																												
																																			
Merredin                                                       																																			
	FIRST			22	2.61		425	50.42		198	23.49		92	10.91		22	2.61		4	0.47		17	2.02		3	0.36		1	0.12		59	7.00		843	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		22	2.61		425	50.42		198	23.49		92	10.91		22	2.61		4	0.47		17	2.02		3	0.36					60	7.12		843	
	THIRD			1	25.00		1	25.00		1	25.00		0	0.00		0	0.00			Excluded		0	0.00		1	25.00					0	0.00		4	
		TOTAL		23	2.73		426	50.53		199	23.61		92	10.91		22	2.61					17	2.02		4	0.47					60	7.12		843	
	FOURTH			0	0.00		0	0.00		1	25.00		0	0.00		0	0.00					1	25.00			Excluded					2	50.00		4	
		TOTAL		23	2.73		426	50.53		200	23.72		92	10.91		22	2.61					18	2.14								62	7.35		843	
	FIFTH			4	6.45		42	67.74		2	3.23		5	8.06		4	6.45					5	8.06									Excluded		62	
		TOTAL		27	3.20		468	55.52		202	23.96		97	11.51		26	3.08					23	2.73											843	
	SIXTH			3	13.04		3	13.04		5	21.74		6	26.09		6	26.09						Excluded											23	
		TOTAL		30	3.56		471	55.87		207	24.56		103	12.22		32	3.80																	843	
	SEVENTH				Excluded		12	40.00		5	16.67		3	10.00		10	33.33																	30	
		TOTAL					483	57.30		212	25.15		106	12.57		42	4.98																	843	
	EIGHTH						15	35.71		16	38.10		11	26.19			Excluded																	42	
		TOTAL					498	59.07		228	27.05		117	13.88																				843	
	NINTH						66	56.41		51	43.59			Excluded																				117	
		TOTAL					564	66.90		279	33.10																							843	
							Elected																												
																																			
Merredin District Hospital                                     																																			
	FIRST			10	3.88		116	44.96		90	34.88		18	6.98		9	3.49		0	0.00		6	2.33		1	0.39		2	0.78		6	2.33		258	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		10	3.88		117	45.35		90	34.88		18	6.98		9	3.49		0	0.00		6	2.33		1	0.39					7	2.71		258	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		10	3.88		117	45.35		90	34.88		18	6.98		9	3.49					6	2.33		1	0.39					7	2.71		258	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00			Excluded					0	0.00		1	
		TOTAL		10	3.88		117	45.35		90	34.88		18	6.98		9	3.49					7	2.71								7	2.71		258	
	FIFTH			1	14.29		3	42.86		0	0.00		0	0.00		1	14.29					2	28.57									Excluded		7	
		TOTAL		11	4.26		120	46.51		90	34.88		18	6.98		10	3.88					9	3.49											258	
	SIXTH			3	33.33		0	0.00		2	22.22		3	33.33		1	11.11						Excluded											9	
		TOTAL		14	5.43		120	46.51		92	35.66		21	8.14		11	4.26																	258	
	SEVENTH				Excluded		10	71.43		3	21.43		0	0.00		1	7.14																	14	
		TOTAL					130	50.39		95	36.82		21	8.14		12	4.65																	258	
	EIGHTH						2	16.67		4	33.33		6	50.00			Excluded																	12	
		TOTAL					132	51.16		99	38.37		27	10.47																				258	
	NINTH						13	48.15		14	51.85			Excluded																				27	
		TOTAL					145	56.20		113	43.80																							258	
							Elected																												
																																			
Merredin South                                                 																																			
	FIRST			21	4.75		169	38.24		132	29.86		54	12.22		22	4.98		4	0.90		11	2.49		4	0.90		3	0.68		22	4.98		442	
	SECOND			0	0.00		0	0.00		1	33.33		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		21	4.75		169	38.24		133	30.09		56	12.67		22	4.98		4	0.90		11	2.49		4	0.90					22	4.98		442	
	THIRD			1	25.00		1	25.00		2	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		4	
		TOTAL		22	4.98		170	38.46		135	30.54		56	12.67		22	4.98					11	2.49		4	0.90					22	4.98		442	
	FOURTH			0	0.00		0	0.00		1	25.00		0	0.00		0	0.00					2	50.00			Excluded					1	25.00		4	
		TOTAL		22	4.98		170	38.46		136	30.77		56	12.67		22	4.98					13	2.94								23	5.20		442	
	FIFTH			0	0.00		17	73.91		0	0.00		2	8.70		2	8.70					2	8.70									Excluded		23	
		TOTAL		22	4.98		187	42.31		136	30.77		58	13.12		24	5.43					15	3.39											442	
	SIXTH			5	33.33		2	13.33		6	40.00		0	0.00		2	13.33						Excluded											15	
		TOTAL		27	6.11		189	42.76		142	32.13		58	13.12		26	5.88																	442	
	SEVENTH				Excluded		5	18.52		12	44.44		4	14.81		6	22.22																	27	
		TOTAL					194	43.89		154	34.84		62	14.03		32	7.24																	442	
	EIGHTH						14	43.75		11	34.38		7	21.88			Excluded																	32	
		TOTAL					208	47.06		165	37.33		69	15.61																				442	
	NINTH						42	60.87		27	39.13			Excluded																				69	
		TOTAL					250	56.56		192	43.44																							442	
							Elected																												
																																			
Moorine Rock                                                   																																			
	FIRST			1	1.15		68	78.16		7	8.05		8	9.20		1	1.15		0	0.00		0	0.00		0	0.00		0	0.00		2	2.30		87	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.15		68	78.16		7	8.05		8	9.20		1	1.15		0	0.00		0	0.00		0	0.00					2	2.30		87	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	1.15		68	78.16		7	8.05		8	9.20		1	1.15					0	0.00		0	0.00					2	2.30		87	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		1	1.15		68	78.16		7	8.05		8	9.20		1	1.15					0	0.00								2	2.30		87	
	FIFTH			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					1	50.00									Excluded		2	
		TOTAL		1	1.15		69	79.31		7	8.05		8	9.20		1	1.15					1	1.15											87	
	SIXTH			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00						Excluded											1	
		TOTAL		1	1.15		69	79.31		7	8.05		9	10.34		1	1.15																	87	
	SEVENTH				Excluded		0	0.00		1	100.00		0	0.00		0	0.00																	1	
		TOTAL					69	79.31		8	9.20		9	10.34		1	1.15																	87	
	EIGHTH						1	100.00		0	0.00		0	0.00			Excluded																	1	
		TOTAL					70	80.46		8	9.20		9	10.34																				87	
	NINTH						4	44.44		5	55.56			Excluded																				9	
		TOTAL					74	85.06		13	14.94																							87	
							Elected																												
																																			
Mount Magnet                                                   																																			
	FIRST			9	2.95		116	38.03		103	33.77		48	15.74		4	1.31		7	2.30		10	3.28		3	0.98		1	0.33		4	1.31		305	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		9	2.95		116	38.03		103	33.77		48	15.74		4	1.31		7	2.30		10	3.28		4	1.31					4	1.31		305	
	THIRD			0	0.00		1	14.29		2	28.57		1	14.29		0	0.00			Excluded		1	14.29		0	0.00					2	28.57		7	
		TOTAL		9	2.95		117	38.36		105	34.43		49	16.07		4	1.31					11	3.61		4	1.31					6	1.97		305	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					3	75.00			Excluded					1	25.00		4	
		TOTAL		9	2.95		117	38.36		105	34.43		49	16.07		4	1.31					14	4.59								7	2.30		305	
	FIFTH			0	0.00		1	14.29		0	0.00		1	14.29		0	0.00					5	71.43									Excluded		7	
		TOTAL		9	2.95		118	38.69		105	34.43		50	16.39		4	1.31					19	6.23											305	
	SIXTH			3	15.79		6	31.58		2	10.53		2	10.53		6	31.58						Excluded											19	
		TOTAL		12	3.93		124	40.66		107	35.08		52	17.05		10	3.28																	305	
	SEVENTH				Excluded		5	41.67		5	41.67		2	16.67		0	0.00																	12	
		TOTAL					129	42.30		112	36.72		54	17.70		10	3.28																	305	
	EIGHTH						1	10.00		3	30.00		6	60.00			Excluded																	10	
		TOTAL					130	42.62		115	37.70		60	19.67																				305	
	NINTH						42	70.00		18	30.00			Excluded																				60	
		TOTAL					172	56.39		133	43.61																							305	
							Elected																												
																																			
Mowanjum                                                       																																			
	FIRST			0	0.00		19	18.63		76	74.51		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	5.88		102	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		19	18.63		76	74.51		1	0.98		0	0.00		0	0.00		0	0.00		0	0.00					6	5.88		102	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		19	18.63		76	74.51		1	0.98		0	0.00					0	0.00		0	0.00					6	5.88		102	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		19	18.63		76	74.51		1	0.98		0	0.00					0	0.00								6	5.88		102	
	FIFTH			0	0.00		2	33.33		1	16.67		2	33.33		0	0.00					1	16.67									Excluded		6	
		TOTAL		0	0.00		21	20.59		77	75.49		3	2.94		0	0.00					1	0.98											102	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00						Excluded											1	
		TOTAL		0	0.00		21	20.59		77	75.49		3	2.94		1	0.98																	102	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00																	0	
		TOTAL					21	20.59		77	75.49		3	2.94		1	0.98																	102	
	EIGHTH						0	0.00		0	0.00		1	100.00			Excluded																	1	
		TOTAL					21	20.59		77	75.49		4	3.92																				102	
	NINTH						1	25.00		3	75.00			Excluded																				4	
		TOTAL					22	21.57		80	78.43																							102	
							Elected																												
																																			
Mullewa                                                        																																			
	FIRST			10	3.02		191	57.70		79	23.87		27	8.16		5	1.51		3	0.91		4	1.21		0	0.00		0	0.00		12	3.63		331	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		10	3.02		191	57.70		79	23.87		27	8.16		5	1.51		3	0.91		4	1.21		0	0.00					12	3.63		331	
	THIRD			1	33.33		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00					0	0.00		3	
		TOTAL		11	3.32		192	58.01		79	23.87		27	8.16		6	1.81					4	1.21		0	0.00					12	3.63		331	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		11	3.32		192	58.01		79	23.87		27	8.16		6	1.81					4	1.21								12	3.63		331	
	FIFTH			3	25.00		8	66.67		0	0.00		0	0.00		0	0.00					1	8.33									Excluded		12	
		TOTAL		14	4.23		200	60.42		79	23.87		27	8.16		6	1.81					5	1.51											331	
	SIXTH			1	20.00		1	20.00		0	0.00		2	40.00		1	20.00						Excluded											5	
		TOTAL		15	4.53		201	60.73		79	23.87		29	8.76		7	2.11																	331	
	SEVENTH				Excluded		5	33.33		1	6.67		3	20.00		6	40.00																	15	
		TOTAL					206	62.24		80	24.17		32	9.67		13	3.93																	331	
	EIGHTH						4	30.77		3	23.08		6	46.15			Excluded																	13	
		TOTAL					210	63.44		83	25.08		38	11.48																				331	
	NINTH						19	50.00		19	50.00			Excluded																				38	
		TOTAL					229	69.18		102	30.82																							331	
							Elected																												
																																			
Munglinup (Kalgoorlie)                                         																																			
	FIRST			0	0.00		30	68.18		6	13.64		4	9.09		4	9.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		44	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		30	68.18		6	13.64		4	9.09		4	9.09		0	0.00		0	0.00		0	0.00					0	0.00		44	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
