House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		223	54.39		5	1.22		10	2.44					46	11.22		9	2.20					49	11.95					68	16.59		410	
	FIFTH			1	10.00		0	0.00			Excluded					3	30.00		1	10.00					3	30.00					2	20.00		10	
		TOTAL		224	54.63		5	1.22								49	11.95		10	2.44					52	12.68					70	17.07		410	
	SIXTH			2	40.00			Excluded								1	20.00		2	40.00					0	0.00					0	0.00		5	
		TOTAL		226	55.12											50	12.20		12	2.93					52	12.68					70	17.07		410	
	SEVENTH			3	25.00											4	33.33			Excluded					3	25.00					2	16.67		12	
		TOTAL		229	55.85											54	13.17								55	13.41					72	17.56		410	
	EIGHTH			47	87.04												Excluded								5	9.26					2	3.70		54	
		TOTAL		276	67.32																				60	14.63					74	18.05		410	
	NINTH			31	51.67																					Excluded					29	48.33		60	
		TOTAL		307	74.88																										103	25.12		410	
				Elected																															
																																			
Hopetoun                                                       																																			
	FIRST			145	55.34		6	2.29		2	0.76		2	0.76		24	9.16		6	2.29		5	1.91		31	11.83		5	1.91		36	13.74		262	
	SECOND			1	20.00		0	0.00		1	20.00		0	0.00		0	0.00		0	0.00			Excluded		3	60.00		0	0.00		0	0.00		5	
		TOTAL		146	55.73		6	2.29		3	1.15		2	0.76		24	9.16		6	2.29					34	12.98		5	1.91		36	13.74		262	
	THIRD			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		2	
		TOTAL		147	56.11		6	2.29		4	1.53					24	9.16		6	2.29					34	12.98		5	1.91		36	13.74		262	
	FOURTH			3	60.00		0	0.00		0	0.00					1	20.00		0	0.00					0	0.00			Excluded		1	20.00		5	
		TOTAL		150	57.25		6	2.29		4	1.53					25	9.54		6	2.29					34	12.98					37	14.12		262	
	FIFTH			1	25.00		0	0.00			Excluded					2	50.00		0	0.00					1	25.00					0	0.00		4	
		TOTAL		151	57.63		6	2.29								27	10.31		6	2.29					35	13.36					37	14.12		262	
	SIXTH			5	83.33			Excluded								1	16.67		0	0.00					0	0.00					0	0.00		6	
		TOTAL		156	59.54											28	10.69		6	2.29					35	13.36					37	14.12		262	
	SEVENTH			0	0.00											1	16.67			Excluded					3	50.00					2	33.33		6	
		TOTAL		156	59.54											29	11.07								38	14.50					39	14.89		262	
	EIGHTH			22	75.86												Excluded								6	20.69					1	3.45		29	
		TOTAL		178	67.94																				44	16.79					40	15.27		262	
	NINTH			26	59.09																					Excluded					18	40.91		44	
		TOTAL		204	77.86																										58	22.14		262	
				Elected																															
																																			
Hyden                                                          																																			
	FIRST			145	57.31		3	1.19		1	0.40		1	0.40		48	18.97		3	1.19		1	0.40		32	12.65		2	0.79		17	6.72		253	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		145	57.31		3	1.19		1	0.40		1	0.40		48	18.97		3	1.19					33	13.04		2	0.79		17	6.72		253	
	THIRD			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		145	57.31		3	1.19		2	0.79					48	18.97		3	1.19					33	13.04		2	0.79		17	6.72		253	
	FOURTH			1	50.00		0	0.00		0	0.00					1	50.00		0	0.00					0	0.00			Excluded		0	0.00		2	
		TOTAL		146	57.71		3	1.19		2	0.79					49	19.37		3	1.19					33	13.04					17	6.72		253	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		1	50.00					0	0.00					1	50.00		2	
		TOTAL		146	57.71		3	1.19								49	19.37		4	1.58					33	13.04					18	7.11		253	
	SIXTH			2	66.67			Excluded								0	0.00		1	33.33					0	0.00					0	0.00		3	
		TOTAL		148	58.50											49	19.37		5	1.98					33	13.04					18	7.11		253	
	SEVENTH			0	0.00											0	0.00			Excluded					2	40.00					3	60.00		5	
		TOTAL		148	58.50											49	19.37								35	13.83					21	8.30		253	
	EIGHTH			44	89.80												Excluded								3	6.12					2	4.08		49	
		TOTAL		192	75.89																				38	15.02					23	9.09		253	
	NINTH			31	81.58																					Excluded					7	18.42		38	
		TOTAL		223	88.14																										30	11.86		253	
				Elected																															
																																			
Jennacubbine                                                   																																			
	FIRST			42	56.76		4	5.41		0	0.00		1	1.35		9	12.16		2	2.70		0	0.00		10	13.51		0	0.00		6	8.11		74	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		42	56.76		4	5.41		0	0.00		1	1.35		9	12.16		2	2.70					10	13.51		0	0.00		6	8.11		74	
	THIRD			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		43	58.11		4	5.41		0	0.00					9	12.16		2	2.70					10	13.51		0	0.00		6	8.11		74	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		43	58.11		4	5.41		0	0.00					9	12.16		2	2.70					10	13.51					6	8.11		74	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		43	58.11		4	5.41								9	12.16		2	2.70					10	13.51					6	8.11		74	
	SIXTH			2	50.00			Excluded								1	25.00		0	0.00					0	0.00					1	25.00		4	
		TOTAL		45	60.81											10	13.51		2	2.70					10	13.51					7	9.46		74	
	SEVENTH			0	0.00											0	0.00			Excluded					1	50.00					1	50.00		2	
		TOTAL		45	60.81											10	13.51								11	14.86					8	10.81		74	
	EIGHTH			9	90.00												Excluded								0	0.00					1	10.00		10	
		TOTAL		54	72.97																				11	14.86					9	12.16		74	
	NINTH			8	72.73																					Excluded					3	27.27		11	
		TOTAL		62	83.78																										12	16.22		74	
				Elected																															
																																			
Jerdacuttup                                                    																																			
	FIRST			36	58.06		0	0.00		2	3.23		0	0.00		9	14.52		1	1.61		0	0.00		8	12.90		3	4.84		3	4.84		62	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		36	58.06		0	0.00		2	3.23		0	0.00		9	14.52		1	1.61					8	12.90		3	4.84		3	4.84		62	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		36	58.06		0	0.00		2	3.23					9	14.52		1	1.61					8	12.90		3	4.84		3	4.84		62	
	FOURTH			1	33.33		0	0.00		0	0.00					1	33.33		0	0.00					0	0.00			Excluded		1	33.33		3	
		TOTAL		37	59.68		0	0.00		2	3.23					10	16.13		1	1.61					8	12.90					4	6.45		62	
	FIFTH			0	0.00		0	0.00			Excluded					1	50.00		0	0.00					0	0.00					1	50.00		2	
		TOTAL		37	59.68		0	0.00								11	17.74		1	1.61					8	12.90					5	8.06		62	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		37	59.68											11	17.74		1	1.61					8	12.90					5	8.06		62	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					1	100.00		1	
		TOTAL		37	59.68											11	17.74								8	12.90					6	9.68		62	
	EIGHTH			7	63.64												Excluded								2	18.18					2	18.18		11	
		TOTAL		44	70.97																				10	16.13					8	12.90		62	
	NINTH			7	70.00																					Excluded					3	30.00		10	
		TOTAL		51	82.26																										11	17.74		62	
				Elected																															
																																			
Jerramungup                                                    																																			
	FIRST			183	69.58		8	3.04		2	0.76		1	0.38		31	11.79		4	1.52		1	0.38		15	5.70		1	0.38		17	6.46		263	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		183	69.58		8	3.04		2	0.76		1	0.38		31	11.79		4	1.52					16	6.08		1	0.38		17	6.46		263	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		183	69.58		8	3.04		2	0.76					32	12.17		4	1.52					16	6.08		1	0.38		17	6.46		263	
	FOURTH			1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		184	69.96		8	3.04		2	0.76					32	12.17		4	1.52					16	6.08					17	6.46		263	
	FIFTH			1	50.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					1	50.00		2	
		TOTAL		185	70.34		8	3.04								32	12.17		4	1.52					16	6.08					18	6.84		263	
	SIXTH			4	50.00			Excluded								4	50.00		0	0.00					0	0.00					0	0.00		8	
		TOTAL		189	71.86											36	13.69		4	1.52					16	6.08					18	6.84		263	
	SEVENTH			1	25.00											1	25.00			Excluded					0	0.00					2	50.00		4	
		TOTAL		190	72.24											37	14.07								16	6.08					20	7.60		263	
	EIGHTH			28	75.68												Excluded								3	8.11					6	16.22		37	
		TOTAL		218	82.89																				19	7.22					26	9.89		263	
	NINTH			14	73.68																					Excluded					5	26.32		19	
		TOTAL		232	88.21																										31	11.79		263	
				Elected																															
																																			
Jingalup                                                       																																			
	FIRST			37	45.12		2	2.44		0	0.00		0	0.00		30	36.59		0	0.00		2	2.44		7	8.54		1	1.22		3	3.66		82	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		2	
		TOTAL		37	45.12		2	2.44		0	0.00		0	0.00		30	36.59		0	0.00					9	10.98		1	1.22		3	3.66		82	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		37	45.12		2	2.44		0	0.00					30	36.59		0	0.00					9	10.98		1	1.22		3	3.66		82	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		37	45.12		2	2.44		0	0.00					30	36.59		1	1.22					9	10.98					3	3.66		82	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		37	45.12		2	2.44								30	36.59		1	1.22					9	10.98					3	3.66		82	
	SIXTH			0	0.00			Excluded								1	50.00		0	0.00					0	0.00					1	50.00		2	
		TOTAL		37	45.12											31	37.80		1	1.22					9	10.98					4	4.88		82	
	SEVENTH			0	0.00											1	100.00			Excluded					0	0.00					0	0.00		1	
		TOTAL		37	45.12											32	39.02								9	10.98					4	4.88		82	
	EIGHTH			24	75.00												Excluded								3	9.38					5	15.63		32	
		TOTAL		61	74.39																				12	14.63					9	10.98		82	
	NINTH			10	83.33																					Excluded					2	16.67		12	
		TOTAL		71	86.59																										11	13.41		82	
				Elected																															
																																			
Jurien                                                         																																			
	FIRST			445	63.48		6	0.86		11	1.57		3	0.43		25	3.57		21	3.00		0	0.00		81	11.55		10	1.43		99	14.12		701	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		445	63.48		6	0.86		11	1.57		3	0.43		25	3.57		21	3.00					81	11.55		10	1.43		99	14.12		701	
	THIRD			0	0.00		1	33.33		1	33.33			Excluded		1	33.33		0	0.00					0	0.00		0	0.00		0	0.00		3	
		TOTAL		445	63.48		7	1.00		12	1.71					26	3.71		21	3.00					81	11.55		10	1.43		99	14.12		701	
	FOURTH			3	30.00		0	0.00		1	10.00					1	10.00		3	30.00					1	10.00			Excluded		1	10.00		10	
		TOTAL		448	63.91		7	1.00		13	1.85					27	3.85		24	3.42					82	11.70					100	14.27		701	
	FIFTH			1	7.69		1	7.69			Excluded					1	7.69		9	69.23					0	0.00					1	7.69		13	
		TOTAL		449	64.05		8	1.14								28	3.99		33	4.71					82	11.70					101	14.41		701	
	SIXTH			4	50.00			Excluded								2	25.00		0	0.00					1	12.50					1	12.50		8	
		TOTAL		453	64.62											30	4.28		33	4.71					83	11.84					102	14.55		701	
	SEVENTH			10	30.30											9	27.27			Excluded					5	15.15					9	27.27		33	
		TOTAL		463	66.05											39	5.56								88	12.55					111	15.83		701	
	EIGHTH			27	69.23												Excluded								7	17.95					5	12.82		39	
		TOTAL		490	69.90																				95	13.55					116	16.55		701	
	NINTH			66	69.47																					Excluded					29	30.53		95	
		TOTAL		556	79.32																										145	20.68		701	
				Elected																															
																																			
Kalannie                                                       																																			
	FIRST			107	68.15		0	0.00		4	2.55		3	1.91		16	10.19		0	0.00		0	0.00		21	13.38		0	0.00		6	3.82		157	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		107	68.15		0	0.00		4	2.55		3	1.91		16	10.19		0	0.00					21	13.38		0	0.00		6	3.82		157	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	33.33		1	33.33					1	33.33		0	0.00		0	0.00		3	
		TOTAL		107	68.15		0	0.00		4	2.55					17	10.83		1	0.64					22	14.01		0	0.00		6	3.82		157	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		107	68.15		0	0.00		4	2.55					17	10.83		1	0.64					22	14.01					6	3.82		157	
	FIFTH			1	25.00		0	0.00			Excluded					1	25.00		1	25.00					0	0.00					1	25.00		4	
		TOTAL		108	68.79		0	0.00								18	11.46		2	1.27					22	14.01					7	4.46		157	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		108	68.79											18	11.46		2	1.27					22	14.01					7	4.46		157	
	SEVENTH			2	100.00											0	0.00			Excluded					0	0.00					0	0.00		2	
		TOTAL		110	70.06											18	11.46								22	14.01					7	4.46		157	
	EIGHTH			12	66.67												Excluded								3	16.67					3	16.67		18	
		TOTAL		122	77.71																				25	15.92					10	6.37		157	
	NINTH			23	92.00																					Excluded					2	8.00		25	
		TOTAL		145	92.36																										12	7.64		157	
				Elected																															
																																			
Karlgarin                                                      																																			
	FIRST			45	55.56		0	0.00		0	0.00		0	0.00		26	32.10		1	1.23		0	0.00		5	6.17		0	0.00		4	4.94		81	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		45	55.56		0	0.00		0	0.00		0	0.00		26	32.10		1	1.23					5	6.17		0	0.00		4	4.94		81	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		45	55.56		0	0.00		0	0.00					26	32.10		1	1.23					5	6.17		0	0.00		4	4.94		81	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		45	55.56		0	0.00		0	0.00					26	32.10		1	1.23					5	6.17					4	4.94		81	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		45	55.56		0	0.00								26	32.10		1	1.23					5	6.17					4	4.94		81	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		45	55.56											26	32.10		1	1.23					5	6.17					4	4.94		81	
	SEVENTH			0	0.00											0	0.00			Excluded					1	100.00					0	0.00		1	
		TOTAL		45	55.56											26	32.10								6	7.41					4	4.94		81	
	EIGHTH			25	96.15												Excluded								1	3.85					0	0.00		26	
		TOTAL		70	86.42																				7	8.64					4	4.94		81	
	NINTH			3	42.86																					Excluded					4	57.14		7	
		TOTAL		73	90.12																										8	9.88		81	
				Elected																															
																																			
Katanning                                                      																																			
	FIRST			734	44.48		21	1.27		27	1.64		9	0.55		158	9.58		42	2.55		9	0.55		220	13.33		16	0.97		414	25.09		1650	
	SECOND			0	0.00		0	0.00		0	0.00		3	33.33		3	33.33		1	11.11			Excluded		2	22.22		0	0.00		0	0.00		9	
		TOTAL		734	44.48		21	1.27		27	1.64		12	0.73		161	9.76		43	2.61					222	13.45		16	0.97		414	25.09		1650	
	THIRD			2	16.67		1	8.33		1	8.33			Excluded		5	41.67		1	8.33					2	16.67		0	0.00		0	0.00		12	
		TOTAL		736	44.61		22	1.33		28	1.70					166	10.06		44	2.67					224	13.58		16	0.97		414	25.09		1650	
	FOURTH			4	25.00		0	0.00		2	12.50					2	12.50		2	12.50					3	18.75			Excluded		3	18.75		16	
		TOTAL		740	44.85		22	1.33		30	1.82					168	10.18		46	2.79					227	13.76					417	25.27		1650	
	FIFTH			5	16.67		3	10.00			Excluded					4	13.33		9	30.00					1	3.33					8	26.67		30	
		TOTAL		745	45.15		25	1.52								172	10.42		55	3.33					228	13.82					425	25.76		1650	
	SIXTH			11	44.00			Excluded								5	20.00		4	16.00					2	8.00					3	12.00		25	
		TOTAL		756	45.82											177	10.73		59	3.58					230	13.94					428	25.94		1650	
	SEVENTH			9	15.25											20	33.90			Excluded					10	16.95					20	33.90		59	
		TOTAL		765	46.36											197	11.94								240	14.55					448	27.15		1650	
	EIGHTH			136	69.04												Excluded								33	16.75					28	14.21		197	
		TOTAL		901	54.61																				273	16.55					476	28.85		1650	
	NINTH			162	59.34																					Excluded					111	40.66		273	
		TOTAL		1063	64.42																										587	35.58		1650	
				Elected																															
																																			
Katanning District Hospital                                    																																			
	FIRST			105	47.09		8	3.59		0	0.00		1	0.45		19	8.52		2	0.90		1	0.45		19	8.52		1	0.45		67	30.04		223	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		105	47.09		8	3.59		0	0.00		1	0.45		19	8.52		2	0.90					20	8.97		1	0.45		67	30.04		223	
	THIRD			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		106	47.53		8	3.59		0	0.00					19	8.52		2	0.90					20	8.97		1	0.45		67	30.04		223	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	100.00			Excluded		0	0.00		1	
		TOTAL		106	47.53		8	3.59		0	0.00					19	8.52		2	0.90					21	9.42					67	30.04		223	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		106	47.53		8	3.59								19	8.52		2	0.90					21	9.42					67	30.04		223	
	SIXTH			3	37.50			Excluded								1	12.50		1	12.50					0	0.00					3	37.50		8	
		TOTAL		109	48.88											20	8.97		3	1.35					21	9.42					70	31.39		223	
	SEVENTH			1	33.33											0	0.00			Excluded					1	33.33					1	33.33		3	
		TOTAL		110	49.33											20	8.97								22	9.87					71	31.84		223	
	EIGHTH			14	70.00												Excluded								3	15.00					3	15.00		20	
		TOTAL		124	55.61																				25	11.21					74	33.18		223	
	NINTH			19	76.00																					Excluded					6	24.00		25	
		TOTAL		143	64.13																										80	35.87		223	
				Elected																															
																																			
Kellerberrin                                                   																																			
	FIRST			301	55.43		4	0.74		3	0.55		4	0.74		47	8.66		12	2.21		0	0.00		51	9.39		2	0.37		119	21.92		543	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		301	55.43		4	0.74		3	0.55		4	0.74		47	8.66		12	2.21					51	9.39		2	0.37		119	21.92		543	
	THIRD			0	0.00		0	0.00		1	25.00			Excluded		0	0.00		1	25.00					1	25.00		0	0.00		1	25.00		4	
		TOTAL		301	55.43		4	0.74		4	0.74					47	8.66		13	2.39					52	9.58		2	0.37		120	22.10		543	
	FOURTH			1	50.00		0	0.00		0	0.00					1	50.00		0	0.00					0	0.00			Excluded		0	0.00		2	
		TOTAL		302	55.62		4	0.74		4	0.74					48	8.84		13	2.39					52	9.58					120	22.10		543	
